siCtrl_t0_Scr_rep_1	siCtrl_t0_Scr_rep_2	siCtrl_t0_Tyr_rep_1	siCtrl_t0_Tyr_rep_2	siCtrl_t8_Scr_rep_1	siCtrl_t8_Scr_rep_2	siCtrl_t8_Tyr_rep_1	siCtrl_t8_Tyr_rep_2
AFP	0	1	0	2	0	0	2	1
AFTPH	1424	1095	817	1329	355	382	393	345
AGA	470	437	283	459	474	526	484	315
AGAP1	2131	1873	1294	1986	867	976	843	489
AGAP1-IT1	10	7	8	5	6	13	14	13
AGAP11	37	32	22	32	73	73	75	61
AGAP2	510	436	273	416	128	168	111	70
AGAP2-AS1	614	539	329	505	160	189	131	81
AGAP3	3436	2918	2096	3088	1635	1785	1571	846
AGAP4	105	75	52	96	60	87	80	50
AGAP5	84	80	53	55	170	206	167	110
AGAP6	301	252	216	285	242	292	233	152
AGAP7P	6	4	2	3	5	8	6	1
AGAP9	213	165	99	171	262	275	276	160
AGBL1	2	3	0	1	0	0	0	0
AGBL1-AS1	5	4	5	4	0	1	3	0
AGBL2	2	4	1	6	6	1	6	10
AGBL3	55	28	27	32	36	54	52	28
AGBL4	1	1	0	1	0	0	0	0
AGBL4-IT1	1	0	0	0	0	0	0	0
AGBL5	1675	1494	959	1523	1843	2224	1899	1030
AGBL5-AS1	0	0	0	0	0	2	1	0
AGER	133	109	70	135	285	340	280	190
AGFG1	4908	4008	2610	4272	1451	1575	1349	1032
AGFG2	827	713	468	783	232	232	211	83
AGGF1	1879	1609	1126	1739	915	993	920	714
AGK	1710	1549	1027	1672	1479	1681	1461	923
AGL	1578	1244	953	1488	721	874	834	613
AGMAT	4	6	2	5	3	3	4	1
AGMO	0	0	0	2	0	0	0	0
AGO1	1744	1432	1028	1612	863	1163	1019	576
AGO2	2321	1938	1349	1994	866	1188	1075	728
AGO3	509	399	261	419	236	303	310	206
AGO4	616	456	289	473	240	244	266	162
AGPAT1	2176	1877	1264	2061	1798	2116	1888	1026
AGPAT2	1365	1083	692	1149	901	1035	834	467
AGPAT3	5064	4500	2918	4468	2652	3316	2856	1532
AGPAT4	620	481	378	564	334	350	338	166
AGPAT4-IT1	72	60	49	62	10	16	18	11
AGPAT5	3357	2792	1956	3037	1687	1995	1720	1284
AGPS	3823	2863	2192	3549	1979	2261	2155	1545
AGR2	42	35	33	37	16	20	32	9
AGR3	1	0	0	0	0	0	0	1
AGRN	14053	11821	7677	10929	11994	13764	11639	6115
AGRP	3	0	4	1	2	0	0	0
AGT	1	3	0	1	1	0	1	2
AGTPBP1	750	605	451	737	305	323	307	200
AGTR1	1	1	0	1	0	0	0	0
AGTR2	0	1	0	0	0	0	0	0
AGTRAP	2018	1878	1128	1924	1778	2043	1664	938
AGXT	0	0	0	0	0	0	0	0
AGXT2	0	2	2	0	1	1	1	0
AHCTF1	7405	6049	4485	6761	2140	2225	2054	1336
AHCTF1P1	142	133	86	145	46	44	46	13
AHCY	23064	19973	13405	21801	20536	25116	21540	12411
AHCYL1	6257	5288	3864	5908	5146	6139	5716	3709
AHCYL2	1021	911	619	879	799	925	813	413
AHDC1	1184	1083	669	1001	67	59	60	53
AHI1	835	715	566	842	547	598	601	374
AHNAK	57649	44247	32278	48508	17539	21867	20548	12331
