	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16
HERC3	1324	1089	838	1218	1421	1212	2380	1689	639	765	697	467	678	1126	1196	580
HERC4	3805	3008	2229	3474	2874	2384	4688	3599	1501	1664	1634	1065	1608	2241	2132	1197
HERC5	49	40	26	42	115	112	158	62	30	36	34	22	42	89	64	40
HERC6	755	606	470	684	1529	1388	2229	1165	639	709	631	424	1349	2237	1789	1068
HERPUD1	1030	998	583	1014	876	719	1239	962	80	119	84	87	64	105	141	62
HERPUD2	966	754	443	796	756	691	1382	938	227	282	209	161	180	282	278	176
HES1	1119	941	587	908	702	540	1238	942	24	32	17	8	21	34	28	19
HES2	1581	1145	1028	1555	1209	700	2396	1613	1276	1482	1213	912	741	1494	1520	693
HES3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HES4	225	119	72	107	99	76	270	95	112	119	91	41	21	61	80	34
HES5	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1
HES6	155	156	82	169	181	125	367	240	229	232	218	112	165	317	376	150
HES7	567	362	245	417	342	215	800	400	94	102	93	53	49	130	136	57
HESX1	19	18	8	20	14	10	21	20	16	18	10	14	12	20	19	8
HEXA	2625	2310	1488	2417	2920	2432	4736	3522	2739	3189	2725	1699	2381	4665	4754	2195
HEXA-AS1	18	18	15	12	21	25	37	22	13	14	21	12	11	36	41	22
HEXB	4027	3142	2133	3527	3520	2988	6303	4445	3637	4133	3517	2345	3208	5332	5484	2704
HEXDC	276	208	122	213	285	189	566	344	290	283	252	170	215	427	493	223
HEXIM1	3912	3320	2373	3557	2601	2215	4489	3253	2759	3000	2737	1779	2193	3625	4093	2029
HEXIM2	143	178	95	142	195	190	318	238	80	77	83	45	51	74	93	48
HEY1	82	105	50	65	77	74	113	105	6	7	9	10	9	14	18	7
HEY2	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0
HEYL	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0
HFE	384	364	258	439	419	324	612	452	306	341	299	204	233	385	470	202
HFE2	0	3	1	0	0	0	1	0	0	0	0	0	1	0	1	0
HFM1	0	2	1	1	0	0	0	0	0	0	0	0	0	1	0	0
HGC6.3	0	1	0	0	0	0	0	0	0	0	3	0	0	0	1	0
HGD	3	4	2	6	5	2	5	7	23	29	18	17	18	29	38	25
HGF	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
HGFAC	1	2	0	0	2	0	1	0	2	7	9	11	6	9	9	2
HGH1	2708	2131	1590	2435	2215	1720	4059	2983	1263	1318	1171	627	843	1660	1928	834
HGS	4981	4425	2820	4233	3970	3006	6871	4877	3859	4539	3863	2487	2195	4330	5216	2264
HGSNAT	2642	2145	1594	2451	1063	888	1884	1293	1790	2035	1902	1243	718	1340	1395	716
HHAT	182	144	117	180	138	123	230	170	181	173	177	105	100	205	215	124
HHATL	0	0	0	0	0	0	0	0	11	8	2	11	2	5	4	2
HHEX	97	63	47	68	68	81	170	117	16	23	19	13	28	39	44	14
HHIP	6	5	2	6	4	3	9	5	1	1	3	0	2	4	4	5
HHIP-AS1	1	2	0	2	5	6	9	2	2	3	0	0	5	3	3	2
HHIPL1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0
HHIPL2	13	17	6	7	16	7	14	22	18	35	35	16	23	34	44	24
HHLA1	0	3	0	1	0	0	0	0	0	0	0	0	0	0	2	0
HHLA2	1	0	0	0	0	0	0	2	3	0	2	1	0	0	6	2
HHLA3	66	49	21	25	139	98	215	147	83	96	48	31	128	232	302	92
HIAT1	2899	2432	1625	2628	1664	1482	2781	2043	895	1009	944	779	524	704	859	351
HIATL1	4160	3502	2510	4004	4063	3282	6955	4992	2637	3130	2856	2075	2777	4352	4487	2160
HIATL2	96	111	51	86	116	85	211	157	67	73	66	39	66	120	146	76
HIBADH	1975	1783	1171	1925	1490	1167	2294	1758	1685	1982	1822	1166	1197	2000	2003	973
HIBCH	1048	901	671	908	705	616	1119	867	986	1153	984	714	695	943	1043	508
HIC1	6	0	2	5	6	1	7	3	13	12	11	4	4	3	15	2
HIC2	347	351	249	358	370	271	671	459	188	264	269	183	191	351	432	192
HID1	14	33	14	35	27	20	47	23	30	24	13	14	11	20	20	6
HID1-AS1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2
HIF1A	12019	10428	6520	10410	9119	8318	14866	10741	5448	6698	5644	4033	4719	6900	6942	3615
HIF1A-AS1	646	600	368	526	516	467	853	616	289	387	308	192	175	350	422	198
HIF1A-AS2	1081	860	555	836	748	642	1114	930	490	478	452	926	1234	608	546	339
HIF1AN	2788	2321	1591	2526	2698	2104	4375	3213	1625	2034	1744	1218	1226	2383	2619	1282
HIF3A	3	3	0	1	0	1	0	1	2	1	6	2	0	1	1	1
HIGD1A	5276	4370	3029	4851	4652	3966	7723	5756	5603	6414	5762	4366	5117	7286	7524	3755
HIGD1B	9	8	5	18	12	8	22	22	19	25	11	14	17	27	23	7
