	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16
GRXCR2	0	0	2	0	0	0	0	0	0	1	0	0	0	0	1	0
GS1-124K5.11	398	337	228	373	267	232	486	353	181	211	220	117	137	197	296	128
GS1-24F4.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GS1-259H13.2	3	1	2	2	2	0	3	3	4	5	7	5	0	12	6	3
GS1-279B7.1	2	0	0	1	0	0	0	0	2	0	0	0	1	0	1	0
GS1-594A7.3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GS1-600G8.3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GSAP	377	365	216	344	404	319	617	406	469	586	418	312	398	606	651	358
GSC	2	1	0	1	1	0	2	1	0	0	0	0	0	0	0	0
GSC2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GSDMA	11	0	7	7	1	2	2	4	4	5	6	5	2	2	6	1
GSDMB	15	16	11	17	33	18	45	31	31	44	40	32	28	77	79	25
GSDMC	73	62	51	68	18	10	26	19	35	22	21	14	1	12	16	15
GSDMD	852	783	503	738	854	703	1390	1049	641	647	530	302	406	770	902	395
GSE1	2125	1970	1327	1946	2146	1757	3474	2593	705	805	709	421	563	1041	1104	583
GSG1	2	6	6	10	9	4	14	11	9	6	10	6	8	15	20	3
GSG1L	0	1	1	2	0	0	1	0	0	0	0	0	0	1	0	0
GSG1L2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GSG2	848	732	507	750	958	710	1592	1117	259	283	265	160	340	686	784	350
GSK3A	3143	2604	1786	2917	2925	2279	4870	3682	1553	1889	1642	960	1093	2182	2413	1094
GSK3B	4194	3378	2316	3712	2730	2215	4560	3215	1022	1144	1041	868	872	1354	1514	683
GSKIP	1040	795	560	932	603	543	932	773	457	483	442	376	362	457	454	219
GSN	1155	1089	691	1051	922	830	1659	1158	980	919	915	557	639	1283	1359	627
GSN-AS1	70	89	54	68	49	61	106	88	68	51	55	39	46	79	98	34
GSPT1	12084	9531	6348	10191	9291	7555	16529	11304	4691	5208	4639	2699	3490	5933	6034	2911
GSPT2	5	2	1	2	2	1	3	5	0	0	1	0	3	1	2	1
GSR	3995	3246	2240	3962	3886	3198	6491	4770	2289	2843	2518	1438	1968	3531	3656	1622
GSS	3038	2623	1792	2814	3592	2957	5953	4517	3037	3488	2969	1912	2916	5531	5681	2597
GSTA1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GSTA2	1	2	1	1	2	0	3	1	0	0	0	0	0	0	0	0
GSTA3	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
GSTA4	303	254	165	280	275	253	435	312	225	269	273	152	213	364	410	192
GSTA5	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0
GSTA7P	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
GSTCD	1682	1356	910	1534	1266	1019	2039	1597	943	1179	1032	774	732	1228	1328	648
GSTK1	3344	2801	1955	3211	2913	2289	4798	3641	3787	4227	3821	2394	2605	4808	5524	2461
GSTM1	2	3	0	3	1	1	1	2	6	4	3	4	1	3	8	1
GSTM2	4	0	1	1	5	2	3	2	4	3	4	3	5	10	5	9
GSTM2P1	0	1	0	1	0	0	0	0	2	1	2	3	1	3	1	0
GSTM3	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0
GSTM4	210	200	146	213	194	148	305	267	190	221	201	115	128	256	267	118
GSTM5	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
GSTO1	5537	4693	3229	5297	4429	3786	7789	5443	4685	5612	5050	2920	3070	5995	6132	2872
GSTO2	930	761	462	823	942	801	1629	1137	836	930	882	487	727	1285	1353	634
GSTP1	49602	45476	27389	46157	37030	29826	61879	48199	60026	69216	60461	36026	32205	64382	71704	30230
GSTT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GSTT2	169	140	81	139	112	80	164	128	163	169	130	77	68	177	181	63
GSTT2B	169	140	81	139	112	80	164	128	163	169	130	77	68	177	181	63
GSTTP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GSTTP2	2	0	1	1	1	3	2	4	0	1	0	0	0	1	0	0
GSTZ1	346	306	204	337	438	352	712	522	331	381	368	231	310	663	752	314
GSX1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1
GSX2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GTDC1	382	328	234	390	237	197	428	352	160	187	193	128	119	213	223	123
GTF2A1	1712	1358	872	1401	1654	1359	2586	1993	379	462	390	374	626	638	654	357
GTF2A1L	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0
GTF2A2	2843	1948	1502	2421	2458	2141	4058	3242	2086	2394	2147	1784	2362	2916	3167	1441
GTF2B	1361	1109	797	1275	937	841	1569	1237	392	402	400	320	232	419	397	213
GTF2E1	708	628	429	688	519	477	939	652	129	109	108	75	101	166	163	82
GTF2E2	2364	1896	1277	2186	1649	1507	3065	2123	1142	1318	1118	617	629	1086	1125	556
GTF2F1	4335	3643	2558	4095	3880	3058	6585	4872	2657	3042	2689	1563	1634	3492	3793	1694
GTF2F2	2264	1853	1369	2093	2140	1828	3492	2485	1522	1638	1460	959	1143	2083	2003	1016
GTF2H1	2708	2219	1639	2689	1705	1509	2802	2103	1208	1435	1407	929	563	922	927	487
GTF2H2	42	37	27	45	39	29	52	32	20	27	20	8	18	17	27	10
GTF2H2B	237	194	109	208	186	168	308	242	82	85	84	39	53	88	98	42
GTF2H2C	234	197	123	219	190	169	298	237	75	89	79	35	55	75	97	28
GTF2H2C_2	249	204	128	227	198	174	305	244	77	101	83	36	53	78	106	30
GTF2H3	3199	2642	1909	3005	2404	1970	4079	3043	2585	3033	2829	2100	2112	3234	3338	1686
GTF2H4	1223	1071	752	1211	1102	844	1813	1360	664	932	735	446	523	1029	1156	504
GTF2H5	1311	1062	754	1206	985	836	1610	1275	1404	1506	1350	775	904	1589	1573	836
GTF2I	3140	2399	1690	2812	1824	1528	3551	2307	1165	1481	1244	710	756	1345	1431	657
GTF2IP1	29	27	21	39	23	22	39	28	15	15	11	5	11	20	20	6
GTF2IP20	179	149	111	169	185	132	283	165	85	99	80	41	53	106	81	64
GTF2IP4	28	25	20	37	20	22	39	25	15	15	10	5	11	17	19	6
GTF2IRD1	1663	1545	1008	1500	1322	982	2050	1522	304	305	266	180	135	285	305	132
GTF2IRD1P1	337	303	220	367	299	213	436	303	170	141	124	84	120	187	211	102
GTF2IRD2	10	3	1	3	4	3	5	3	11	8	8	9	15	17	11	5
GTF2IRD2B	11	5	1	4	4	2	11	4	9	14	14	10	10	7	8	7
GTF3A	5315	4416	3057	4880	3635	3311	6510	4762	4528	5338	4547	2599	2422	4429	4694	2122
GTF3C1	4692	3998	2819	4172	3749	2981	6359	4490	2263	2777	2249	1417	1530	2898	3322	1631
GTF3C2	4095	3369	2353	3641	3818	3090	6726	4831	1206	1518	1297	810	1223	2279	2349	1132
GTF3C2-AS1	700	548	385	569	620	507	1082	768	210	240	220	131	200	357	405	181
GTF3C3	2584	2098	1552	2279	2375	1930	3741	2688	1550	1763	1501	1086	1247	2281	2324	1120
GTF3C4	2347	1857	1292	2131	1913	1449	3222	2050	424	604	450	309	371	701	754	406
GTF3C5	2646	2377	1699	2496	2424	2004	4146	3243	1464	1685	1470	859	1011	2004	2317	984
GTF3C6	2368	2042	1399	2527	2122	1792	3522	2865	2293	2743	2314	1280	1750	3217	3509	1391
GTPBP1	2077	1739	1207	1832	2728	2206	4501	3176	1148	1449	1281	826	1245	2321	2522	1201
GTPBP10	1045	837	592	930	1047	826	1730	1320	482	488	430	339	625	833	896	428
GTPBP2	1976	1713	1187	1882	1886	1593	3124	2166	361	415	385	252	259	510	561	278
GTPBP3	1625	1343	914	1351	1350	1011	2252	1597	962	1118	970	519	629	1266	1404	607
GTPBP4	6301	5139	3670	5927	5076	4202	8596	6504	2934	3305	2864	1965	2125	3581	3813	1914
GTPBP6	2847	2691	1666	2498	2641	2017	4257	3083	2050	2483	1997	1153	1365	2772	3126	1338
GTPBP8	737	593	398	702	622	512	1036	821	255	304	276	216	278	433	462	216
GTSCR1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GTSE1	3306	2634	2050	3073	3172	2567	5469	3863	736	808	798	425	449	1013	1082	514
GTSE1-AS1	18	12	5	13	16	12	26	30	8	12	13	1	5	13	9	12
GTSF1	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0
GTSF1L	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0
GUCA1A	0	2	0	0	0	0	0	1	17	7	13	6	7	12	12	6
GUCA1B	18	21	11	19	5	8	14	15	208	214	199	137	106	200	192	102
GUCA1C	4	8	6	8	1	1	5	2	4	3	4	3	0	4	3	1
GUCA2A	0	0	0	0	0	0	0	0	0	4	0	1	1	1	3	0
GUCA2B	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
GUCD1	3691	3207	2087	3539	4061	3342	6942	4661	1389	1577	1408	786	1305	2480	2570	1248
GUCY1A2	4	13	0	2	0	1	3	0	2	0	2	1	0	0	2	0
GUCY1A3	260	190	131	263	195	155	354	265	84	90	87	51	97	127	135	70
GUCY1B2	3	9	3	4	0	6	3	4	0	4	1	1	1	8	3	2
GUCY1B3	152	121	103	143	203	148	343	245	88	96	70	43	88	136	126	68
GUCY2C	1	4	0	0	0	0	0	0	0	0	1	0	4	8	2	5
GUCY2D	9	8	3	10	8	1	5	3	5	6	4	1	2	5	4	1
GUCY2EP	1	1	0	0	1	0	1	0	0	0	0	0	1	1	0	0
GUCY2F	0	2	2	0	0	1	0	0	0	2	1	0	0	1	0	0
GUCY2GP	1	0	0	0	0	0	0	0	2	4	0	0	0	0	2	1
GUF1	2689	2078	1662	2565	2481	2080	4250	3069	1360	1745	1560	1282	1587	2402	2574	1265
GUK1	13128	11542	7245	11525	12621	10066	22886	15816	14311	15881	13786	7999	9840	19147	22217	9527
GULP1	163	136	95	136	174	170	258	230	51	89	81	76	132	117	144	77
GUSB	2086	1700	1247	1931	1596	1212	2452	1888	1879	2320	1993	1244	1119	2045	2311	1000
GUSBP1	257	192	137	244	226	194	359	240	191	225	210	160	127	247	284	142
GUSBP10	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GUSBP11	387	381	294	415	396	296	670	431	407	431	425	286	267	493	542	249
GUSBP2	12	11	6	7	15	7	15	8	9	4	9	5	8	24	18	9
GUSBP3	7	3	1	0	3	2	2	3	2	0	1	3	1	3	3	1
GUSBP4	208	157	97	163	141	143	244	193	81	100	91	68	58	80	98	49
GUSBP5	1	1	0	0	0	0	0	2	1	0	1	1	0	0	0	1
GUSBP9	42	49	26	39	35	27	35	46	22	26	21	11	21	32	40	14
GVINP1	28	22	15	30	31	21	36	34	17	19	19	16	13	24	26	15
GXYLT1	1593	1266	1046	1637	1524	1256	2327	1757	663	843	905	876	758	887	1076	485
GXYLT1P3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
GXYLT2	111	114	60	97	164	155	281	212	54	65	47	31	71	123	152	73
GYG1	1530	1349	976	1575	1778	1527	2826	2280	1335	1669	1376	753	1158	2155	2257	1036
GYG2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
GYG2P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GYLTL1B	321	255	194	275	410	340	768	572	295	371	252	145	249	460	514	195
GYPA	2	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0
GYPB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GYPC	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
GYPE	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GYS1	4465	3581	2465	3894	4159	3280	7322	5231	2688	3112	2560	1563	1962	3833	4448	1886
GYS2	8	7	2	7	4	7	4	5	5	10	5	6	10	12	10	1
GZF1	1294	1072	733	1182	1320	1100	2197	1605	314	337	293	196	335	577	647	310
GZMA	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GZMB	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
GZMH	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
GZMK	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0
GZMM	0	0	0	0	0	0	1	0	6	7	3	3	5	5	4	2
H19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1F0	1750	1496	1022	1517	1173	903	2003	1409	207	226	227	102	88	176	240	103
H1FNT	0	0	0	0	0	0	0	0	1	3	2	0	1	0	2	0
H1FOO	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0
H1FX	2595	2296	1191	2046	1988	1606	3864	2605	701	837	657	352	372	806	995	351
H1FX-AS1	171	157	77	146	125	117	225	151	104	109	114	50	58	117	138	47
H2AFB1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1
H2AFB2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1
H2AFB3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1
H2AFJ	1110	1054	614	1008	977	803	1518	1215	1398	1523	1400	834	979	1805	2047	960
H2AFV	4236	3508	2547	3928	5479	4437	8732	6517	3043	3565	3148	2061	3044	5160	5383	2318
H2AFX	4899	3685	2386	3900	3865	2621	7652	4853	1314	1534	1321	599	806	1782	2063	874
H2AFY	16997	13759	9857	15837	13615	10678	22979	17095	13797	16369	14469	8291	8914	16790	17941	7980
H2AFY2	1439	1190	746	1312	1133	926	2067	1329	712	832	670	408	465	863	895	418
H2AFZ	28310	22464	16180	25653	8459	7610	15916	12193	19563	22738	20332	14423	6175	10043	10971	5421
H2BFM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H2BFWT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H2BFXP	2	2	2	1	2	2	3	4	1	2	3	0	2	2	3	0
H3F3A	481	382	214	395	401	363	687	486	497	543	487	410	469	715	670	322
H3F3AP4	1632	1336	869	1468	1384	1168	2325	1805	1651	1765	1609	1260	1599	2384	2225	1078
H3F3B	20842	17680	12257	19644	13101	11003	22210	16891	5843	6228	6351	3863	3603	5795	6110	2911
H3F3C	12	5	4	16	6	9	14	10	5	3	7	1	2	6	7	2
H6PD	1400	1304	815	1237	1282	1013	2090	1484	1056	1245	1134	651	685	1391	1506	768
HAAO	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1
HABP2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
HABP4	263	212	168	265	221	182	375	254	68	90	57	39	51	79	125	55
HACD1	388	252	164	276	416	289	679	451	290	351	308	201	314	410	507	207
HACD2	1811	1449	1011	1697	1548	1097	2381	1774	1022	1140	1120	729	934	1167	1354	630
HACD3	5750	4707	3401	5594	4799	3963	8296	5979	4462	5264	4823	3242	3595	6015	6489	3095
HACD4	0	1	0	0	2	1	0	1	0	2	0	0	2	2	4	2
HACE1	370	315	203	346	325	251	489	381	184	200	173	129	119	192	211	95
HACL1	718	618	442	759	826	728	1464	1128	419	459	399	247	405	746	825	389
HADH	2764	2417	1683	2782	3018	2483	4960	3838	2869	3403	3123	1776	2260	4464	4912	2192
HADHA	12804	10885	7562	12249	11995	10146	20486	14300	12736	14508	12715	7943	9582	18818	19341	9414
HADHB	7712	6496	4474	7395	6972	5731	11053	8077	8426	9525	8672	5745	6521	11688	11956	5694
HAGH	1002	860	537	909	1025	814	1748	1164	1107	1307	1023	623	683	1354	1543	663
HAGHL	354	308	188	264	202	164	407	227	290	311	298	119	126	252	296	106
HAGLR	0	3	0	2	6	1	5	4	1	1	0	1	0	9	3	2
HAGLROS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HAL	23	22	17	18	3	8	15	20	56	51	41	43	36	53	69	35
HAMP	0	1	0	0	0	0	0	0	1	0	2	0	1	2	3	0
HAND1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0
HAND2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HAND2-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HAO1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HAO2	2	2	0	0	0	0	0	0	0	1	0	0	0	2	1	0
HAO2-IT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HAP1	26	26	16	19	19	18	33	28	257	259	237	203	163	325	419	187
HAPLN1	3	1	0	3	0	0	0	0	0	0	0	0	0	1	1	0
HAPLN2	1	0	0	0	1	0	0	1	2	4	4	3	2	7	3	3
HAPLN3	26	36	19	35	22	10	25	26	43	51	51	30	19	37	42	24
HAPLN4	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
HAR1A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HAR1B	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
HARBI1	157	129	85	134	129	100	209	133	31	43	38	20	31	44	58	32
HARS	7695	6316	4327	6892	6641	5253	11287	8191	5047	5764	5042	3090	3553	6749	7248	3329
HARS2	3759	3198	2325	3557	3485	2818	5870	4133	2159	2503	2255	1360	1490	3120	3143	1540
HAS1	3	4	1	4	3	3	7	1	22	19	14	22	13	19	36	7
HAS2	7	8	2	9	2	1	5	7	0	0	0	0	0	0	1	0
HAS2-AS1	0	2	1	0	1	0	1	0	0	0	0	1	0	0	0	0
HAS3	2248	1779	1200	2013	1589	1215	2657	1920	938	961	837	548	645	1154	1183	634
HAT1	3027	2531	1802	2917	3028	2561	5079	3631	2531	2658	2525	1600	2146	3662	3871	1937
HAUS1	1617	1323	974	1499	1379	1216	2434	1733	939	1116	988	600	817	1326	1375	689
HAUS2	1759	1410	1039	1682	1040	833	1779	1256	967	1072	1045	726	506	836	843	450
HAUS3	997	760	542	873	751	634	1178	835	427	431	394	369	362	451	489	302
HAUS4	2478	2010	1438	2409	2267	1883	3897	2815	1763	2073	1831	1109	1244	2542	2745	1295
HAUS5	719	636	451	684	755	572	1326	925	632	785	638	434	551	1028	1220	554
HAUS6	2168	1830	1372	2133	1870	1625	3052	2353	920	1079	1060	846	1035	1327	1567	829
HAUS7	832	697	521	826	951	761	1661	1347	544	729	609	339	497	1010	1188	483
HAUS8	848	683	512	841	842	690	1480	1057	74	95	77	33	79	147	140	71
HAVCR1	1	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0
HAVCR1P1	0	1	1	3	3	1	8	0	4	4	1	1	5	5	7	6
HAVCR2	1	4	0	0	4	0	5	0	6	6	13	6	6	8	12	5
HAX1	4625	4000	2530	4331	4969	3858	8372	5869	4335	5204	4457	2799	3429	6808	7126	3353
HBA1	0	1	2	0	1	0	2	3	6	6	2	0	0	2	5	2
HBA2	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	1
HBB	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0
HBBP1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HBD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HBE1	0	1	0	1	0	0	1	0	2	1	0	3	0	0	0	2
HBEGF	769	642	324	564	297	238	477	309	787	828	679	587	280	558	548	251
HBG1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HBG2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HBM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
HBP1	1156	991	652	1026	838	843	1376	1043	240	276	286	202	193	277	299	156
HBQ1	0	0	0	1	0	1	0	0	0	0	1	2	0	1	2	1
HBS1L	2794	2313	1751	2748	1925	1634	3352	2304	1590	1919	1758	1159	972	1597	1729	815
HBZ	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HCAR1	0	0	0	0	0	0	0	0	0	0	0	0	2	2	4	1
HCAR2	10	3	3	7	12	14	13	6	2	0	1	3	1	6	1	1
HCAR3	7	4	0	1	5	2	5	1	4	9	9	11	1	4	6	3
HCCAT5	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
HCCS	1892	1520	1018	1674	1692	1360	2735	2121	993	1199	992	612	851	1400	1600	683
HCFC1	6335	5547	3707	5501	4918	3746	8223	6093	1775	2337	1904	1240	1078	2230	2585	1080
HCFC1-AS1	2	0	2	1	1	0	1	2	0	1	0	0	1	0	0	0
HCFC1R1	305	272	159	272	272	212	449	344	403	468	489	335	223	453	496	214
HCFC2	373	319	222	306	212	193	356	268	126	174	131	109	120	152	202	96
HCG11	315	253	174	268	224	177	320	249	59	59	52	40	42	82	70	35
HCG14	1	0	0	0	1	3	1	0	0	1	2	0	1	0	1	2
HCG17	13	9	6	11	11	11	11	20	11	10	5	5	5	9	9	2
HCG18	1614	1149	893	1394	1120	891	1941	1321	649	735	727	493	550	1007	1077	535
HCG2040054	1	2	0	1	3	3	6	4	3	1	0	0	5	2	3	3
HCG22	1	4	0	4	2	1	1	1	0	1	0	0	0	0	2	0
HCG23	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HCG25	299	248	162	257	291	209	481	323	228	239	211	138	203	369	360	148
HCG26	3	4	2	6	4	8	11	5	16	10	8	5	7	20	17	17
HCG27	16	9	7	14	42	32	40	32	21	16	7	5	10	23	27	15
HCG4	29	36	22	28	19	21	33	22	22	14	14	10	11	15	15	6
HCG4B	4	3	2	1	1	3	2	0	5	2	1	0	3	5	1	0
HCG8	31	29	22	37	46	38	68	47	13	21	21	12	19	24	35	25
HCG9	1	1	0	2	1	0	5	0	2	1	1	0	5	5	3	3
HCK	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HCLS1	4	1	1	6	6	0	3	2	38	46	46	28	23	37	43	23
HCN1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1
HCN2	42	21	18	33	36	22	41	40	35	23	18	13	13	34	43	9
HCN3	258	224	163	214	162	100	255	182	249	243	244	116	141	249	274	140
HCN4	2	2	1	0	0	1	0	0	2	0	1	0	0	0	1	1
HCP5	394	304	199	324	459	386	699	492	128	97	93	76	112	237	241	124
HCRT	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0
HCRTR1	0	2	0	0	0	0	0	1	7	0	3	3	2	1	2	4
HCRTR2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
HCST	5	4	2	3	2	2	3	5	4	11	7	4	2	3	5	2
HDAC1	5608	4716	3338	5458	4747	3796	7736	5793	5816	6908	6102	3788	3630	6856	7074	3340
HDAC10	710	613	429	607	491	380	882	702	653	739	634	380	329	684	815	301
HDAC11	396	391	257	406	316	272	557	425	247	294	256	192	121	208	244	110
HDAC11-AS1	1	6	0	2	3	0	1	1	1	0	0	0	0	0	1	0
HDAC2	7799	6911	4905	7663	5023	4190	8292	6154	5065	6021	5509	3159	2462	4510	4682	2333
HDAC3	4687	3803	2732	4413	3465	2833	6170	4677	4010	4990	4156	2298	2486	4821	5317	2354
HDAC4	770	704	452	687	776	639	1338	927	254	268	234	164	163	312	353	166
HDAC5	240	248	135	228	152	131	291	170	212	219	189	129	98	220	187	95
HDAC6	1167	1037	742	1030	1122	832	1941	1412	814	951	764	518	658	1262	1289	622
HDAC7	2966	2498	1611	2564	2370	1806	4026	3046	1190	1330	1052	612	649	1132	1449	630
HDAC8	687	650	449	735	419	398	797	532	482	518	466	295	248	438	463	235
HDAC9	72	55	44	61	62	63	98	67	39	35	32	31	22	30	45	28
HDC	0	3	0	4	1	0	1	0	2	2	1	1	0	2	2	3
HDDC2	3387	2908	2025	3378	3659	2894	5899	4345	2854	3337	2836	1698	2346	4300	4574	2104
HDDC3	525	436	304	533	457	374	760	566	275	308	280	152	180	373	417	197
HDGF	34976	29214	19934	32737	23715	18791	40484	30141	24768	28805	25037	12738	10414	20532	20734	9264
HDGFL1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
HDGFRP2	2840	2376	1596	2531	1977	1457	3362	2293	1319	1375	1180	654	581	1137	1387	566
HDGFRP3	2192	1718	1291	2052	1542	1254	2604	1851	1148	1328	1325	937	881	1275	1301	638
HDHD1	1550	1248	875	1417	1943	1565	3301	2579	582	719	572	375	801	1358	1414	629
HDHD2	953	790	571	828	602	528	999	809	873	1115	930	599	676	1001	1033	509
HDHD3	722	602	426	671	641	505	1118	807	95	117	97	47	89	155	202	110
HDLBP	24427	20283	13974	21882	20286	15951	34543	25094	16954	20719	18047	11069	11016	21908	23604	10979
HDX	205	209	129	219	212	202	292	193	23	45	19	37	39	42	51	27
HEATR1	14047	11576	8638	13393	10699	8856	18081	13017	5817	7561	7364	4896	4987	8214	8724	4351
HEATR3	1750	1370	967	1515	1366	1186	2332	1694	351	413	356	233	286	513	508	239
HEATR4	108	77	60	105	91	71	129	94	24	36	35	21	24	46	61	23
HEATR5A	1701	1531	1106	1758	1404	1183	2479	1820	993	1203	1055	707	714	1330	1449	657
HEATR5B	1558	1281	929	1359	1100	962	1848	1310	613	681	699	470	495	894	880	483
HEATR6	866	741	523	838	759	616	1353	930	215	260	254	195	160	292	347	142
HEATR9	2	1	0	1	2	1	2	8	7	12	6	6	3	11	11	6
HEBP1	790	698	472	833	922	786	1546	1202	542	639	575	305	500	964	1049	442
HEBP2	2695	2015	1304	2344	1781	1538	3634	2203	2054	2206	1917	1092	1257	2347	2334	1145
HECA	1026	872	557	889	632	532	1027	767	291	313	317	235	265	325	365	182
HECTD1	9076	7571	5510	8438	7037	5846	11600	8331	3381	3862	3595	2420	2310	3984	4253	2105
HECTD2	329	288	219	318	387	338	631	444	219	202	220	238	289	290	362	182
HECTD2-AS1	2	1	0	1	0	0	0	0	1	1	0	0	0	0	1	0
HECTD3	1942	1635	1041	1732	1869	1379	3251	2324	1099	1241	1091	707	926	1785	1917	869
HECTD4	2677	2240	1646	2473	2237	1648	3541	2574	1219	1547	1544	937	890	1603	1799	920
HECW1	17	29	13	17	25	13	32	18	9	18	20	14	14	23	23	9
HECW2	32	25	12	25	29	12	27	16	5	6	9	5	1	2	8	4
HEG1	674	530	362	588	467	396	782	528	188	245	237	119	140	220	235	130
HEIH	173	158	122	184	147	123	268	202	57	35	44	26	30	55	52	27
HELB	108	92	57	117	87	72	144	110	23	39	25	29	24	40	56	25
HELLS	2225	1678	1356	2071	2562	2039	3986	3133	1118	1429	1325	1088	1640	2141	2725	1313
HELQ	601	504	403	523	466	389	728	536	357	357	361	266	225	398	400	210
HELT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HELZ	3516	2796	2016	3127	2185	1836	3756	2670	1126	1656	1459	1215	1090	1529	1856	906
HELZ2	2393	2069	1273	1757	4204	3882	5667	2236	1492	1674	1391	1079	1830	3582	3493	1697
HEMGN	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
HEMK1	799	628	409	721	686	525	1134	819	480	563	495	333	312	551	676	316
HENMT1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
HEPACAM	1	0	0	3	0	0	1	1	2	1	2	0	0	0	0	1
HEPACAM2	1	1	1	0	0	0	0	0	3	0	0	3	4	2	7	0
HEPH	2	1	0	4	1	0	0	2	0	1	1	1	1	0	0	1
HEPHL1	3	5	3	2	0	1	1	1	4	7	2	1	0	1	7	1
HEPN1	1	0	0	2	0	0	1	1	1	1	2	0	0	0	0	1
HERC1	3539	2834	2120	3113	2342	1945	3988	2710	1219	1537	1369	902	873	1549	1761	856
HERC2	5600	4694	3152	4745	3525	2693	5879	3937	3688	4378	3944	2423	2036	4015	4684	2188
HERC2P10	7	7	4	4	11	7	23	23	2	9	7	4	3	6	17	4
HERC2P2	793	621	467	722	486	426	826	595	856	1042	861	545	497	906	1040	504
HERC2P3	313	261	192	248	217	173	332	218	390	387	341	227	193	382	417	224
