siCtrl_t0_Scr_rep_1	siCtrl_t0_Scr_rep_2	siCtrl_t0_Tyr_rep_1	siCtrl_t0_Tyr_rep_2	siCtrl_t8_Scr_rep_1	siCtrl_t8_Scr_rep_2	siCtrl_t8_Tyr_rep_1	siCtrl_t8_Tyr_rep_2
AAMP	4039.1831456213	4088.74959195633	4287.59076752177	4405.08243558075	5853.96744452782	5981.62807520488	5691.28532293951	4991.09178703273
AANAT	1.3017025928525	5.39108064488497	4.53353504363919	4.29484800349114	11.7573156146371	14.2589465439926	7.94555190677634	22.8304691173207
AAR2	1620.61972810136	1661.99314738025	1701.20902512561	1731.53955340751	1027.58938471928	1054.14354807374	1045.407615163	1252.16342158844
AARD	22.7797953749187	20.0240138238585	17.000756413647	27.2007040221106	19.9874365448831	21.3884198159889	21.5664980326786	5.26856979630478
AARS	4550.10141331591	4634.01889146755	4954.02041893673	4974.86560404391	4504.22761196748	4660.63852752214	4419.9970178553	4516.9205053653
AARS2	1075.20634169616	1070.51458519859	1073.31442158158	1138.13472092515	977.032927576344	1084.69843352515	1022.7060382865	1025.61492034733
AARSD1	892.317127400387	959.612354789525	948.642207881501	977.793728794817	1209.82777674616	1092.84640297886	1114.64742463634	1060.73871898936
AASDH	362.524172109421	423.584907812391	451.0867368421	448.811616364824	335.083495017158	340.177724692394	372.305860774663	375.824645469741
AASDHPPT	2499.91982957322	2477.58663351356	2560.31391589523	2567.60329808712	1815.32953089997	1846.53357744704	1955.7408479108	2658.87155720181
AASS	634.580014015592	636.147516096427	751.433433483196	681.449216553928	774.807099004586	737.391235560759	767.313298425829	795.554039242022
AATBC	5.85766166783624	8.47169815624781	5.66691880454899	11.4529280093097	39.9748730897662	43.7953358136915	46.5382325968328	50.9295080309462
AATF	3377.91822845223	3186.12866112702	3268.67876646386	3433.73097879117	2559.5676093065	2573.73985119066	2505.1190083222	2486.76494385586
AATK	69.6410887176086	80.8662096732746	75.9367119809565	57.2646400465486	51.7321887044033	40.7398472685502	52.2136268159588	47.417128166743
AATK-AS1	0	0	0	0.715808000581857	0	0	0	0
ABALON	1046.56888465341	968.084052945773	1060.84720021157	1067.26972886755	1065.21279468612	1126.45677697541	1052.21808822595	1050.20157939675
ABAT	17.5729850035087	18.483705068177	18.1341401745568	25.7690880209469	54.0836518273307	52.9618014491153	60.1591787227351	86.0533066729781
ABCA1	3.25425648213124	6.93138940056639	2.2667675218196	6.44227200523671	4.70292624585484	5.09248090856877	2.27015768765038	3.51237986420319
ABCA10	123.661746320987	134.006861744284	154.140191483733	115.960896094261	170.481076412238	187.403297435331	183.882772699681	224.792311309004
ABCA11P	180.936660406497	184.06689630393	202.875693202854	219.037248178048	176.359734219557	208.79171725132	196.368639981758	223.036121376902
ABCA12	1439.68306769486	1471.7650160536	1590.13741655645	1542.5662412539	1501.40920398916	1590.89103583689	1755.96697139757	2332.22022983092
ABCA13	4.55595907498374	6.16123502272568	3.40015128272939	3.57904000290929	2.35146312292742	1.01849618171375	4.54031537530077	5.26856979630478
ABCA17P	8.46106685354123	6.93138940056639	2.2667675218196	4.29484800349114	9.40585249170969	9.1664656354238	5.67539421912596	5.26856979630478
ABCA2	1517.13437196959	1558.7924607496	1497.19994816184	1372.919745116	2631.28723455579	2906.78810261106	2578.89913317084	2249.67930302214
ABCA3	20.82724148564	33.1166382471505	28.334594022745	27.2007040221106	32.9204837209839	40.7398472685502	24.9717345641542	31.6114187778287
ABCA4	1.3017025928525	3.08061751136284	0	0.715808000581857	0	0	1.13507884382519	0
ABCA5	173.777296145808	176.365352525523	189.275088071936	167.499072136155	228.09192292396	216.93968670503	278.094316737172	396.89892465496
ABCA6	175.078998738661	163.272728102231	201.742309441944	195.415584158847	110.518766777589	127.312022714219	162.316274667002	166.838043549651
ABCA7	372.937792852241	420.504290301028	405.751386405708	332.850720270564	873.568550167537	784.242059919591	776.393929176431	727.062631890059
ABCA8	0	3.08061751136284	3.40015128272939	3.57904000290929	0	1.01849618171375	0	3.51237986420319
ABCA9	7.81021555711498	13.0926244232921	15.8673726527372	16.4635840133827	25.8660943522016	28.5178930879851	27.2418922518046	50.9295080309462
ABCA9-AS1	0.650851296426249	0	0	1.43161600116371	1.17573156146371	0	0	0
ABCB1	0	0.77015437784071	1.1333837609098	2.14742400174557	0	0	0	3.51237986420319
ABCB10	2557.84559495516	2332.79761047951	2347.23776884419	2399.38841795039	2610.12406644944	2604.29473664207	2485.82266797717	2866.1019691898
ABCB11	1.3017025928525	3.85077188920355	0	0	0	1.01849618171375	0	1.75618993210159
ABCB4	1.3017025928525	3.08061751136284	0	2.14742400174557	1.17573156146371	0	2.27015768765038	7.02475972840637
ABCB5	1.3017025928525	0.77015437784071	0	0	0	0	0	0
ABCB6	696.410887176086	657.711838675966	608.627079608562	608.436800494579	1248.62691827446	1164.14113569882	1082.86521700923	1118.69298674871
ABCB7	900.127342957502	920.334481519649	965.642964295148	962.761760782598	1087.55169435393	1127.47527315713	1129.40344960607	1076.54442837828
ABCB8	1223.60043728135	1291.54889163887	1180.98587886801	1205.42067297985	1945.83573422244	2031.89988251894	2071.51888998097	1770.23945155841
ABCB9	117.804084653151	122.454546076673	95.204235916423	96.6340800785507	126.979008638081	129.349015077647	121.453436289295	122.933295247112
ABCC1	3021.25171801065	2932.74787081742	3046.53554932554	3010.68845044729	3451.94786445746	3455.75754455477	3479.01665632421	3287.58755289418
ABCC10	1077.80974688187	1135.97770731505	1149.25113356254	1020.02640082915	1290.95325448715	1167.19662424396	1185.0223129535	1023.85873041523
ABCC11	3.90510777855749	4.62092626704426	4.53353504363919	8.58969600698228	12.9330471761008	9.1664656354238	18.1612615012031	14.0495194568127
ABCC12	0	1.54030875568142	0	0	0	0	0	0
ABCC13	0	0.77015437784071	0	0	0	0	0	0
ABCC2	576.00339733723	638.457979229949	720.832071938632	725.829312590003	880.62293953632	902.387616998387	1202.04849561088	1311.87387927989
ABCC3	2453.70938752696	2349.74100679201	2443.57538852152	2428.02073797366	6270.17641728597	6276.99196790187	6261.09490253976	5883.23627254034
