siHNRNPa1_t0_Scr_rep_1	siHNRNPa1_t0_Scr_rep_2	siHNRNPa1_t0_Tyr_rep_1	siHNRNPa1_t0_Tyr_rep_2	siHNRNPa1_t8_Scr_rep_1	siHNRNPa1_t8_Scr_rep_2	siHNRNPa1_t8_Tyr_rep_1	siHNRNPa1_t8_Tyr_rep_2
ACOT4	0	0	0	0	1	8	5	2
ACOT6	1	0	1	0	1	4	6	2
ACOT7	3811	3016	6517	5040	2379	5021	5555	2488
ACOT8	626	483	906	783	339	637	815	356
ACOT9	1404	1113	2361	1708	727	1333	1365	697
ACOX1	1040	890	1701	1314	836	1386	1709	754
ACOX2	307	301	578	462	206	385	391	187
ACOX3	613	492	1042	746	288	527	562	252
ACOXL	1	0	1	1	0	1	1	0
ACP1	3482	2714	5674	4219	2571	4099	4507	2049
ACP2	746	551	1239	913	416	813	922	415
ACP5	7	2	4	6	3	5	13	2
ACP6	541	386	927	632	242	468	468	210
ACPP	7	4	10	3	1	9	3	1
ACPT	5	6	4	0	8	7	13	6
ACR	0	0	0	0	0	0	0	0
ACRBP	0	1	4	0	3	16	11	8
ACRC	51	40	75	62	269	388	413	219
ACRV1	11	13	18	15	1	22	11	4
ACSBG1	16	12	30	11	12	22	27	7
ACSBG2	8	7	20	11	4	6	6	4
ACSF2	548	493	1020	743	565	1133	1252	498
ACSF3	923	746	1579	1179	454	897	997	393
ACSL1	4695	4444	6807	5098	2311	3871	3895	1924
ACSL3	6294	5233	10771	7756	2690	4062	4046	2018
ACSL4	4231	4129	7210	5276	2501	3137	3109	1709
ACSL5	78	80	123	87	73	155	128	60
ACSL6	2	3	8	1	3	4	5	2
ACSM1	0	0	1	0	2	5	5	0
ACSM2A	0	0	0	0	0	0	0	0
ACSM2B	0	0	0	0	0	0	0	0
ACSM3	211	137	275	248	271	169	196	103
ACSM4	2	0	1	1	0	0	0	0
ACSM5	2	0	0	0	0	0	0	0
ACSM6	0	1	1	0	0	1	0	0
ACSS1	9	8	25	14	13	9	10	5
ACSS2	1903	1667	3466	2445	1473	2682	2862	1371
ACSS3	1	0	0	0	0	1	0	0
ACTA1	3	3	6	5	51	82	113	43
ACTA2	246	185	412	316	239	479	546	247
ACTA2-AS1	99	80	160	143	117	243	243	109
ACTB	117209	88986	206386	158031	61244	115272	134016	54447
ACTBL2	3	0	1	1	3	0	2	3
ACTC1	0	1	2	0	28	47	58	17
ACTG1	41958	32315	76754	55959	28222	50580	54671	24055
ACTG1P17	7	6	8	10	20	44	45	22
ACTG1P20	93	68	120	99	39	63	70	52
ACTG1P4	5	3	6	3	45	70	67	40
ACTG2	7	7	8	4	8	11	10	3
ACTL10	118	79	254	99	12	17	25	9
ACTL6A	3912	3139	6602	4678	2148	3829	3974	1930
ACTL6B	0	0	0	0	0	0	0	0
ACTL7A	0	0	1	0	4	2	3	0
ACTL7B	0	0	1	0	1	2	4	4
ACTL8	9	5	24	15	7	11	21	4
ACTL9	0	0	0	0	0	0	0	0
ACTN1	14370	11192	25320	18783	5707	10908	12171	5534
ACTN1-AS1	1	0	1	2	1	1	8	3
ACTN2	1	0	2	0	0	0	0	0
ACTN3	0	0	2	1	1	1	2	0
ACTN4	19692	14541	34266	25294	13869	25359	28105	12306
ACTR10	1766	1435	2855	2118	1268	2088	2118	1114
ACTR1A	4995	4005	8338	6173	2406	4599	5170	2304
ACTR1B	1347	1041	2355	1722	794	1572	1862	738
ACTR2	10738	8746	17349	13705	10868	13232	13864	6755
ACTR3	6351	5162	10600	7755	3745	5432	5451	2779
ACTR3B	310	267	544	439	98	173	208	92
ACTR3BP2	0	0	0	0	0	0	0	0
ACTR3BP5	0	0	0	0	0	0	0	0
ACTR3C	7	11	22	8	5	8	10	2
ACTR5	986	801	1739	1205	249	427	422	208
ACTR6	564	526	914	762	311	416	463	240
ACTR8	1050	792	1659	1243	294	564	675	296
ACTRT1	0	0	0	0	0	0	0	0
ACTRT2	0	0	0	0	0	0	0	0
ACTRT3	83	69	143	93	11	22	25	20
ACVR1	223	185	326	205	31	62	75	27
ACVR1B	413	318	714	486	77	186	204	98
ACVR1C	1	1	4	6	14	11	16	7
ACVR2A	208	192	383	300	97	121	162	85
ACVR2B	234	168	347	253	52	58	82	45
ACVR2B-AS1	8	3	10	9	4	8	8	5
ACVRL1	1	0	0	2	0	1	0	0
ACY1	2074	1740	3592	2672	1522	3102	3382	1487
ACY3	0	0	0	0	0	0	0	0
ACYP1	303	256	540	351	285	408	464	216
ACYP2	44	37	70	56	48	90	83	36
ADA	1285	1011	2417	1628	761	1487	1652	738
ADAD1	0	0	0	0	0	0	0	0
ADAD2	0	0	1	1	0	0	1	0
ADAL	550	488	897	614	406	707	822	401
ADAM10	2583	2062	4375	3032	1093	1605	1758	897
ADAM11	15	21	57	36	19	56	70	32
ADAM12	262	239	529	330	176	272	286	141
ADAM15	14472	11827	25201	18192	9999	19433	21743	9451
ADAM17	1237	1035	2127	1587	718	1222	1192	586
ADAM18	0	0	0	0	0	1	0	0
ADAM19	863	617	1436	983	247	436	554	228
ADAM1A	127	107	217	158	54	82	100	41
ADAM2	0	0	0	0	0	0	0	1
ADAM20	0	1	3	6	1	1	5	0
ADAM20P1	4	1	1	11	4	2	8	3
ADAM21	148	122	239	161	79	138	159	66
ADAM21P1	15	13	28	15	9	25	24	13
ADAM22	11	10	28	20	13	12	16	6
ADAM23	44	30	75	52	22	29	39	14
ADAM28	0	0	0	1	3	3	1	1
ADAM29	0	0	0	0	1	0	1	0
ADAM30	0	0	0	0	0	1	6	0
ADAM32	13	4	22	11	19	20	27	11
ADAM33	0	0	0	0	0	0	0	0
ADAM3A	0	0	0	0	0	0	0	0
ADAM5	0	0	0	0	0	0	1	0
ADAM6	0	0	0	0	0	0	0	0
ADAM7	0	0	0	0	0	0	0	0
ADAM8	280	206	423	330	180	332	338	129
ADAM9	5857	4823	9687	6807	5053	6614	6990	3388
ADAMDEC1	0	0	0	0	0	0	0	0
ADAMTS1	72	38	130	68	0	3	2	1
ADAMTS10	0	0	0	0	0	2	1	0
ADAMTS12	22	26	41	29	4	14	18	7
ADAMTS13	50	32	71	49	56	65	82	31
ADAMTS14	10	20	18	16	14	18	28	7
ADAMTS15	84	72	179	123	4	16	5	3
ADAMTS16	0	0	2	2	0	2	2	0
ADAMTS17	6	6	13	8	1	10	15	6
ADAMTS18	0	0	0	0	0	0	0	0
ADAMTS19	3	3	10	5	5	3	1	4
ADAMTS19-AS1	2	2	0	4	2	1	0	0
ADAMTS2	2	1	4	5	1	0	2	2
ADAMTS20	0	0	1	0	0	0	1	0
ADAMTS3	24	7	32	15	5	7	13	3
ADAMTS4	8	7	12	13	0	6	4	3
ADAMTS5	1	1	0	1	1	2	2	0
ADAMTS6	47	40	76	52	17	23	22	18
ADAMTS7	359	266	624	388	265	576	689	318
ADAMTS7P1	7	3	11	6	6	9	10	10
ADAMTS8	0	2	1	1	3	2	5	2
ADAMTS9	8	9	12	9	2	10	7	1
ADAMTS9-AS1	0	0	0	0	0	0	1	0
ADAMTS9-AS2	1	0	2	2	0	1	0	0
ADAMTSL1	0	0	0	0	1	0	0	0
ADAMTSL2	0	0	0	0	0	0	1	0
ADAMTSL3	33	26	54	37	22	34	34	10
ADAMTSL4	576	409	925	725	653	1224	1409	637
ADAMTSL4-AS1	14	15	16	32	27	41	56	29
ADAMTSL5	135	88	210	170	40	108	121	34
ADAP1	624	442	1034	797	226	421	467	184
ADAP2	15	18	29	20	23	18	30	11
ADAR	20636	17982	33567	21620	8641	16326	16621	7994
ADARB1	711	576	1176	811	445	915	951	514
ADARB2	45	37	79	40	22	46	61	27
ADARB2-AS1	2	0	2	2	0	1	3	1
ADAT1	1134	879	1808	1333	683	1258	1434	694
ADAT2	1181	944	1912	1381	941	1393	1620	794
ADAT3	227	151	494	286	40	109	123	54
ADCK1	249	212	408	307	120	250	263	118
ADCK2	1036	793	1738	1287	400	850	881	372
ADCK3	3282	2586	5091	4068	1358	2744	3376	1615
ADCK4	559	465	951	698	277	519	630	263
ADCK5	345	250	558	415	268	558	604	300
ADCY1	10	13	19	10	13	17	22	8
ADCY10	8	5	10	5	22	32	37	12
ADCY10P1	183	126	240	201	169	287	319	167
ADCY2	0	0	0	0	0	0	1	1
ADCY3	3642	2787	5859	4432	1854	3548	3710	1801
ADCY4	0	0	1	0	1	1	4	0
ADCY5	8	5	8	4	31	59	54	36
ADCY6	1274	1079	2259	1552	969	1796	2025	967
ADCY7	1285	1053	2311	1674	534	1007	1063	527
ADCY8	0	0	1	0	0	1	1	0
ADCY9	867	724	1496	994	348	636	670	339
ADCYAP1	0	0	0	0	0	0	0	0
ADCYAP1R1	0	0	1	0	0	0	1	0
ADD1	4273	3536	7539	5446	2266	4217	4598	2192
ADD2	394	287	591	427	85	162	164	81
ADD3	1886	1687	2894	2280	1563	2180	2280	1129
ADD3-AS1	37	39	72	58	19	54	57	21
ADGB	0	0	0	0	0	0	0	0
