siHNRNPa1_t0_Scr_rep_1	siHNRNPa1_t0_Scr_rep_2	siHNRNPa1_t0_Tyr_rep_1	siHNRNPa1_t0_Tyr_rep_2	siHNRNPa1_t8_Scr_rep_1	siHNRNPa1_t8_Scr_rep_2	siHNRNPa1_t8_Tyr_rep_1	siHNRNPa1_t8_Tyr_rep_2
AAR2	1872.2377714421	1858.64233782623	1887.59890067874	1821.41466404594	1171.70262375398	1164.5494033614	1162.31853322699	1229.49595149203
AARD	40.4947884297187	24.1928544255819	50.3770948438227	38.0488943359693	51.9218297084482	41.59105012005	30.7300389811179	34.6336887744233
AARS	8472.88828548625	8156.14753112879	8489.56858516053	8661.0557255136	7365.97690797185	8137.98214015646	8224.80455082861	8142.76504963108
AARS2	1288.94049980551	1209.6427212791	1331.90870143209	1367.64636863178	858.440917846344	1032.84441131458	1087.30108512602	1137.13944809357
AARSD1	1381.13076282636	1396.87437726838	1400.79166785119	1419.08283690078	1510.92524451584	1717.11621209921	1701.90186474838	1587.37740216107
AASDH	541.079300720497	533.294660598697	499.658532532609	491.817189750121	422.297548295379	413.929975004308	351.587798931025	377.122388877054
AASDHPPT	2714.87400727752	2629.65808973717	2603.67332024451	2733.17890980046	3046.08067622896	2163.7248693407	2170.98687154839	2260.81023944152
AASS	960.674236151837	1046.60391971539	966.931789808475	1004.77265413134	1433.04249995317	1266.54650246533	1229.20155924472	1379.57526951453
AATBC	7.75432118866954	11.5704955948435	9.2529357876409	7.04609154369801	36.3452807959137	39.6105239238572	55.1333052308292	57.7228146240389
AATF	3873.71422936203	3887.68651986743	3966.42514096873	4302.34349658201	2926.66046789953	3181.71533418383	3302.57536579426	2982.34542224201
AATK	63.7577519957273	51.5412985588485	72.4813303365204	60.5963872758029	27.6916425111724	28.7176298447965	32.5376883329484	17.3168443872117
AATK-AS1	0	0	0.514051988202272	0	0	0	0.903824675915232	0
ABALON	865.899199401432	768.912025439147	998.803013077016	957.56384078856	922.47784115343	944.710995583994	930.939416192689	908.172283418211
ABAT	30.1556935114927	22.0891279537922	29.8150153157318	22.5474929398336	70.9598339348792	68.3281537686536	66.8830260177272	82.7360342944557
ABCA1	8.61591243185505	1.05186323589487	6.68267584662954	4.22765492621881	0	8.91236788286787	7.23059740732186	5.77228146240389
ABCA10	110.283679127745	114.65309271254	97.6698777584318	107.80520061858	174.803493351776	160.422621891622	128.343103979963	192.40938208013
ABCA11P	286.048292737587	278.74375751214	259.596254042148	262.819214579936	292.492974024258	264.400247191747	323.569233977653	321.323668073816
ABCA12	970.151739826878	1137.06415800235	1001.88732500623	942.767048546794	1389.77430852946	1480.44333165416	1536.50194905589	1595.07377744427
ABCA13	0.861591243185505	2.10372647178973	0	1.4092183087396	3.46145531389655	0	2.7114740277457	1.9240938208013
ABCA17P	3.44636497274202	4.20745294357947	3.08431192921363	0.704609154369801	1.73072765694827	2.97078929428929	5.42294805549139	13.4686567456091
ABCA2	1898.08550873767	1837.60507310833	1844.41853366975	1927.10603720141	2795.12516597146	3128.24112688662	3245.6344112116	3249.79446333339
ABCA3	18.9550073500811	26.2965808973717	19.0199235634841	17.615228859245	19.038004226431	23.7663143543143	23.499441573796	25.0132196704168
ABCA4	0.861591243185505	0	0	0	3.46145531389655	0	3.61529870366093	9.62046910400648
ABCA5	165.425518691617	161.986938327809	143.420504708434	136.694175947741	328.838254820172	227.760512562179	237.705889765706	230.891258496155
ABCA6	91.3286717776635	128.327314779174	110.007125475286	108.509809772949	91.7285658182585	65.3573644743644	68.6906753695576	96.2046910400648
ABCA7	386.854468190292	358.685363440149	389.13735506912	376.261288433474	668.060875582034	790.229952280951	832.422526517929	831.20853058616
ABCA8	0.861591243185505	0	0	0	0	0.99026309809643	0	0
ABCA9	7.75432118866954	8.41490588715893	1.54215596460682	3.52304577184901	31.1530978250689	24.7565774524107	26.2109156015417	28.8614073120194
ABCA9-AS1	0	0	0	0	1.73072765694827	0.99026309809643	0	1.9240938208013
ABCB1	0	0	1.54215596460682	0.704609154369801	0	1.98052619619286	1.80764935183046	1.9240938208013
ABCB10	3051.75618336306	2988.34345317732	3089.45244909566	3053.07146588435	4880.65199259413	3433.24216110032	3155.25194362008	3361.39190493986
ABCB11	0	0	0	0.704609154369801	0	0.99026309809643	0.903824675915232	0
ABCB4	0.861591243185505	3.1555897076846	2.05620795280909	0.704609154369801	1.73072765694827	2.97078929428929	4.51912337957616	1.9240938208013
ABCB5	0	0	0	0	0	0	0.903824675915232	1.9240938208013
ABCB6	1069.23473279321	1090.78217562298	979.269037525329	1016.75100975562	1635.53763581612	1752.76568363068	1806.74552715455	1783.6349718828
ABCB7	1127.82293732983	1194.91663597657	1141.19541380905	1149.92213993152	1311.89156396679	1344.77728721495	1437.08123470522	1318.00426724889
ABCB8	1587.91266119088	1481.02343613997	1513.88310525569	1521.2511642844	2026.68208628643	2026.0782987053	2305.65674825976	2056.85629443658
ABCB9	155.086423773391	150.416442732966	144.962660673041	167.696978740013	121.150935986379	127.743939654439	154.554019581505	136.610661276892
ABCC1	3853.89763076876	3744.63311978572	3747.43899399457	3814.04935260373	4330.28059768458	4272.98526828609	4201.88091832991	3967.48145849227
ABCC10	856.421695726391	807.830965167257	886.225627660718	883.579879579731	962.28457726324	1040.76651609935	1089.10873447785	1083.26482111113
ABCC11	1.72318248637101	2.10372647178973	3.08431192921363	3.52304577184901	13.8458212555862	4.95131549048215	6.32677273140663	5.77228146240389
ABCC12	0	0	0	0	1.73072765694827	0	0.903824675915232	0
ABCC13	0	0	0	0	0	0	0	0
