AD_C1	AD_C2	AD_C3	AD_T1	AD_T2	AD_T3
Gm24276	1284.14990945133	1200.43614515039	1213.84260238218	1201.69464899977	1177.8348364215	1284.25450332229
Gm6152	1167.40900859212	1217.75012801314	1186.78241697876	1134.26924787942	1158.6048799085	1121.15742173973
Gm7445	703.247186775893	690.635538636202	749.95370975205	610.091129492192	565.360721482321	663.189457560881
Gm7493	144.758717065423	126.007319723318	153.663195683732	105.488127559256	98.072778216321	79.928371106686
Gm37629	696.709696327777	629.074710679772	740.289357822256	635.103778294902	606.70512798528	774.441109236404
Gm38008	1093.6287592491	928.22185903055	995.42824876883	1422.45846234543	1245.13968421702	1357.7021956906
Gm37143	0	0	0	0	0	0
Gm6187	3351.86474546969	3466.64412429648	3438.57641662087	3364.74501719936	3492.16010276155	3221.9774460979
Gm18299	0	0	0	0	0	0
Gm7512	4773.30195433146	4995.08405590222	5267.07180173798	4790.46599895384	4755.56824566592	4846.46758318514
Gm24765	0	0	0	0	0	2.16022624612665
Gm18300	4307.27227810148	4361.19990553835	4666.91554689775	5520.18284011117	5697.83611480312	5378.96335285536
Rrs1	0	0	0.966435192979446	1.08750646968305	9.61497825650206	1.08011312306332
Adhfe1	747.141765498956	851.270824085012	802.14121017294	841.730007534682	860.540553956934	734.476923683061
2610203C22Rik	92.4587934804959	95.226905745103	86.0127321751707	63.075375241617	60.5743630159629	87.4891629681293
Gm6161	1131.91977473092	1017.67743715474	1070.81019382123	952.655667442353	1027.84117562007	912.695588988509
3110035E14Rik	781.697072153283	748.348814845355	791.510423050167	563.328351295821	645.165041011288	710.714434975667
Gm29520	0	0	0	0	0	0
Mybl1	0	0	0	0	0	0
Vcpip1	9.33927206873696	8.656991431373	3.86574077191779	4.3500258787322	5.76898695390123	7.56079186144327
1700034P13Rik	3620.83578104932	3476.26300366467	3257.85303553371	2561.07773610359	2628.73505532766	2364.36762638562
Sgk3	5271.08515559514	4886.39071904165	4730.70026963439	4849.19134831672	4425.7744914679	4652.04722103374
Gm6195	0	0	0	0	0	0
Gm22607	0	0	0.966435192979446	3.26251940904915	0	0
Mcmdc2	0	0	0	0	0	0
Snhg6	83.1195214117589	100.998233366018	87.9456025611296	122.888231074185	95.1882847393703	118.812443536966
Snord87	7.47141765498956	6.73321555773456	0.966435192979446	5.43753234841526	2.88449347695062	3.24033936918997
Tcf24	648.145481570345	564.628218912884	604.988430805133	737.329386445109	644.203543185638	618.904819515285
E330040D14Rik	0	0	0	0	0	0
Ppp1r42	0.933927206873696	0.961887936819223	1.93287038595889	2.1750129393661	0	0
Gm15818	1405.56044634491	1417.82281887153	1390.70024269742	1616.03461394901	1617.23934274365	1490.55610982739
Gm24674	1000.23603856173	1040.7627476384	1014.75695262842	911.330421594397	1098.03051689253	1032.58814564854
Cops5	0	0	0	0	0	0
Cspp1	0	0	0	0	0	0
1700047N06Rik	0	0	0	0	0	1.08011312306332
Arfgef1	0	0	0	0	0	0
Gm26348	1962.18106164163	1877.60525267112	1949.29978423954	2074.96234415526	2040.29838602974	1912.88034094515
Gm37569	1.86785441374739	0	0.966435192979446	0	0	0
Cpa6	7596.56390071064	6431.18274557332	7103.29866839893	7294.99339863391	6545.8771970266	7832.98036845523
Gm38005	1441.04968020611	1364.91898234648	1368.4722332589	1261.50750483234	1085.53104515908	1398.74649436701
Gm15604	1661.4565010283	1635.20949259268	1834.29399627499	1993.39935892903	2062.41283601969	1910.72011469902
Gm25253	0.933927206873696	0.961887936819223	0	0	0.961497825650205	1.08011312306332
Gm15603	2142.42901256826	2269.09364295655	2191.87501767738	2578.47783961851	2341.24720545825	2088.93878000447
Gm37133	0	0	0	0	0	0
Gm5522	977.821785596759	937.840738398742	924.87847968133	868.917669276758	894.192977854691	848.968914727773
Gm28659	14.9428353099791	16.3520949259268	13.5300927017122	5.43753234841526	8.65348043085185	11.8812443536966
Gm22963	12902.2043629601	13988.736265162	12738.5822786621	12389.961209099	12740.8076876909	11549.6496249161
Prex2	3.73570882749478	1.92377587363845	7.73148154383557	2.1750129393661	3.84599130260082	6.48067873837995
Gm24173	6.53749044811587	2.88566381045767	3.86574077191779	9.78755822714746	8.65348043085185	15.1215837228865
Gm28686	34.5553066543267	36.5517415991305	11.5972223157534	13.0500776361966	25.9604412925555	24.8426018304565
Gm37410	1917.3525557117	2083.44927115044	1926.10533960804	1836.79842729467	1950.87908824427	1839.43264857684
A830018L16Rik	0.933927206873696	0	0	0	0	0
Gm38178	621.061592571008	553.085563671053	599.189819647257	402.377393782729	499.017371512457	455.807737932723
Gm29273	0	0	0	0	0	0
Gm38069	605.184830054155	565.590106849703	564.398152699997	540.490715432476	517.285830199811	559.498597746802
Gm7560	4036.43338810811	4283.286982656	4251.34841391658	3235.33174730708	3540.23499404406	3541.69093052464
Gm22633	2010.74527639907	2045.93564161449	2039.17825718663	2265.2759763498	2517.20130755224	2457.25735496906
