WT_Input	WT_Arc_IP
Gm22438	0	0
Gm22439	0	0
Gm22443	0	0
Gm22444	22.6274169979695	9.19238815542512
Gm22446	0	0
Gm22447	0	0
Gm22448	0	0.707106781186547
Gm22449	53.7401153701776	79.9030662740799
Gm22450	0	14.8492424049175
Gm22451	16.9705627484771	21.2132034355964
Gm22452	0	0
Gm22454	0	0
Gm22455	22.6274169979695	11.3137084989848
Gm22456	2.82842712474619	38.1837661840736
Gm22458	0	0
Gm22459	0	0
Gm22460	0	0
Gm22461	0	0
Gm22463	0	0
Gm22464	0	0
Gm22466	0	0
Gm22468	0	0
Gm22469	0	0
Gm22470	0	0
Gm22471	0	0
Gm22472	8.48528137423857	12.0208152801713
Gm22473	0	0
Gm22474	1.41421356237309	0
Gm22475	0	0
Gm22476	0	0
Gm22478	0	0
Gm22479	0	0
Gm22480	2.82842712474619	0
Gm22485	0	0
Gm22486	93.3380951166243	195.868578388674
Gm22488	52.3259018078045	29.698484809835
Gm22489	289.913780286484	418.607214462436
Gm22490	0	0
Gm22491	0	0
Gm22493	0	0
Gm22494	0	0
Gm22495	0	0
Gm22496	12.7279220613579	12.0208152801713
Gm22497	0	0
Gm22498	0	0
Gm22499	2.82842712474619	0
Gm22500	1.41421356237309	0
Gm22501	0	0
Gm22502	0	0
Gm22503	0	0
Gm22504	0	0
Gm22505	33.9411254969543	30.4055915910215
Gm22506	0	0
Gm22507	0	0
Gm22509	0	0
Gm22510	50.9116882454314	78.4888527117068
Gm22511	76.3675323681471	91.9238815542512
Gm22513	4402.44681966744	23009.2546598103
Gm22516	0	0
Gm22517	0	0
Gm22518	0	0
Gm22519	5.65685424949238	15.556349186104
Gm22520	0	0
Gm22521	0	0
Gm22522	0	0
Gm22523	0	0
Gm22524	65.0538238691624	72.1248916810278
Gm22528	0	0
Gm22529	0	0
Gm22530	0	0
Gm22531	0	0
Gm22532	0	0
Gm22534	0	0
Gm22536	0	0
Gm22539	0	0
Gm22540	0	0
Gm22541	0	0
Gm22542	0	0
Gm22543	0	0
Gm22544	1.41421356237309	0
Gm22545	0	0
Gm22546	0	0
Gm22547	0	0
Gm22548	0	0
Gm22549	0	0
Gm22550	4.24264068711928	2.12132034355964
Gm22551	0	2.82842712474619
Gm22554	0	0
Gm22555	0	0
Gm22557	0	0
Gm22558	0	0
Gm22559	0	0
Gm22565	0	0
Gm22566	0	0
Gm22569	0	0
Gm22571	22.6274169979695	26.1629509039023
Gm22572	0	0
Gm22573	0	0
Gm22575	0	0
Gm22576	0	0
Gm22577	0	0
Gm22578	0	0
Gm22579	1.41421356237309	2.12132034355964
Gm22580	48.0832611206852	40.3050865276332
Gm22581	2.82842712474619	21.920310216783
Gm22582	0	0
Gm22583	1.41421356237309	0
Gm22584	35.3553390593274	55.1543289325507
Gm22588	0	0
Gm22589	196.57568516986	79.1959594928933
Gm22590	0	0
Gm22591	0	0
Gm22592	0	0
Gm22593	0	0
Gm22594	0	0
Gm22595	0	0
Gm22597	0	0.707106781186547
Gm22598	0	0
Gm22599	0	0
Gm22602	0	0
Gm22603	0	0
Gm22605	0	0
Gm22606	0	0
Gm22607	0	0
Gm22608	0	0
Gm22609	0	0
Gm22611	0	0
Gm22612	0	0
Gm22614	3710.896387667	6756.40529423746
Gm22615	0	0
Gm22616	0	0
Gm22617	0	0
Gm22618	18.3847763108502	24.7487373415292
Gm22619	0	0
Gm22620	5.65685424949238	0
Gm22621	0	0
Gm22622	0	0
Gm22623	25.4558441227157	18.3847763108502
Gm22625	0	0
Gm22626	0	0
Gm22627	74.953318805774	101.116269709676
Gm22628	16.9705627484771	16.2634559672906
Gm22629	123.036579926459	110.308657865101
Gm22630	77.7817459305202	86.2670273047588
Gm22631	41.0121933088198	33.2340187157677
Gm22632	29.698484809835	37.476659402887
Gm22633	9.89949493661167	8.48528137423857
Gm22634	4228.49855149555	21036.4267402998
Gm22635	0	0
Gm22638	4.24264068711928	0.707106781186547
Gm22639	0	0
Gm22640	124.450793488832	112.429978208661
Gm22643	0	0
Gm22645	16.9705627484771	31.8198051533946
Gm22646	0	0
Gm22650	0	0
Gm22652	0	0
Gm22654	0	0
Gm22655	0	0
Gm22656	0	0
Gm22657	0	0
Gm22658	0	0
Gm22659	0	0
Gm22660	0	0
Gm22661	0	0
Gm22663	0	0
Gm22666	0	0
Gm22670	0	0
Gm22671	0	0
Gm22672	0	0
Gm22673	1.41421356237309	0
Gm22674	0	0
Gm22675	0	0
Gm22676	2.82842712474619	8.48528137423857
Gm22677	0	0
Gm22678	0	0
Gm22679	0	0
Gm22680	171.119841047144	283.549819255806
Gm22681	0	0
Gm22682	52.3259018078045	45.9619407771256
Gm22683	0	0
Gm22684	0	0
Gm22685	2.82842712474619	9.19238815542512
Gm22686	0	0
Gm22689	0	0
Gm22690	0	0
Gm22692	0	0
Gm22693	0	0
Gm22694	0	0
Gm22696	0	0
Gm22697	0	0
Gm22698	0	0
Gm22699	0	0
Gm22702	0	0
Gm22704	0	0
Gm22706	0	0
Gm22707	0	0
Gm22708	0	0
Gm22709	0	0
Gm22710	243.244732728172	398.101117808026
Gm22711	0	0
Gm22713	0	0
Gm22715	0	0
Gm22716	0	0.707106781186547
Gm22717	1.41421356237309	0
Gm22720	1.41421356237309	0
Gm22721	0	0
Gm22722	0	0
Gm22723	0	0
Gm22724	0	0
Gm22725	0	0
Gm22727	0	0
Gm22729	0	0
Gm22730	0	0
Gm22732	0	0
Gm22733	0	0
Gm22738	0	0
Gm22739	9.89949493661167	54.4472221513642
Gm22740	18.3847763108502	11.3137084989848
Gm22741	0	0
Gm22743	0	0
Gm22744	244.658946290545	437.699097554473
Gm22745	0	0
Gm22746	0	0
Gm22747	28.2842712474619	26.8700576850888
Gm22748	15.556349186104	8.48528137423857
Gm22749	12.7279220613579	17.6776695296637
Gm22750	0	0
Gm22751	0	0
Gm22752	0	0
Gm22753	2.82842712474619	4.24264068711928
Gm22755	0	0
Gm22756	12.7279220613579	9.89949493661167
Gm22757	0	0
Gm22758	1.41421356237309	2.12132034355964
Gm22759	1.41421356237309	4.94974746830583
Gm22760	0	0
Gm22761	0	0
Gm22762	0	0
Gm22763	0	0
Gm22764	0	0
Gm22765	0	0
Gm22766	0	0
Gm22768	0	1.41421356237309
Gm22769	0	0
Gm22770	0	0
Gm22771	0	0
Gm22772	0	0
Gm22773	0	0
Gm22774	0	0.707106781186547
Gm22775	0	0
Gm22776	56.5685424949238	50.2045814642449
Gm22777	0	0
Gm22778	0	8.48528137423857
Gm22779	0	0
Gm22780	0	0
Gm22781	0	0
Gm22782	0	0
Gm22783	0	0
Gm22784	1.41421356237309	6.36396103067893
Gm22785	0	0
Gm22786	4.24264068711928	5.65685424949238
Gm22787	0	0
Gm22788	0	0
Gm22789	0	0
Gm22791	0	0
Gm22792	0	0
Gm22795	0	0
Gm22796	0	0
Gm22797	0	0
Gm22798	45.254833995939	30.4055915910215
Gm22800	0	0
Gm22801	0	2.12132034355964
Gm22802	0	0
Gm22804	0	0
Gm22805	4.24264068711928	4.24264068711928
Gm22806	1.41421356237309	0
Gm22807	0	2.82842712474619
Gm22808	0	0
Gm22809	0	0
Gm22810	0	0
Gm22812	46.6690475583121	41.7193000900063
Gm22814	0	0
Gm22815	0	0
Gm22818	0	0
Gm22821	16.9705627484771	17.6776695296637
Gm22822	49.4974746830583	21.920310216783
Gm22823	25.4558441227157	40.3050865276332
Gm22824	0	0
Gm22825	0	0
Gm22826	0	0
Gm22827	0	0
Gm22828	0	0
Gm22829	2.82842712474619	6.36396103067893
Gm22830	0	0
Gm22831	0	0
Gm22833	0	0
Gm22834	57.9827560572969	72.1248916810278
Gm22836	0	0
Gm22838	0	0
Gm22840	0	0
Gm22841	0	0
Gm22843	0	0
Gm22845	0	0
Gm22847	0	0
Gm22850	0	0
Gm22851	5.65685424949238	1.41421356237309
Gm22852	0	0
Gm22854	0	0
Gm22857	0	0
Gm22858	60.8111831820431	84.8528137423857
Gm22859	0	0
Gm22860	0	0
Gm22862	0	0
Gm22863	43.8406204335659	46.6690475583121
Gm22864	0	0
Gm22865	1.41421356237309	1.41421356237309
Gm22866	18.3847763108502	28.9913780286484
Gm22867	0	0
Gm22868	1.41421356237309	0
Gm22870	0	0
Gm22871	0	0
Gm22875	0	0
Gm22877	0	0
Gm22879	253.144227664784	391.737156777347
Gm22880	0	0
Gm22881	0	0
Gm22882	0	0
Gm22883	0	0
Gm22884	33.9411254969543	19.0918830920368
Gm22885	0	0
Gm22886	29.698484809835	26.1629509039023
Gm22887	0	0.707106781186547
Gm22888	1.41421356237309	7.07106781186547
Gm22889	0	0
Gm22890	0	0.707106781186547
Gm22891	0	0
Gm22892	1.41421356237309	11.3137084989848
Gm22893	0	0
Gm22894	0	0
Gm22899	0	0
Gm22900	0	0
Gm22901	0	0
Gm22903	0	0
Gm22904	0	0
Gm22907	0	0
Gm22908	0	0
Gm22909	67.8822509939086	99.7020561473032
Gm22910	0	0
Gm22911	2.82842712474619	0.707106781186547
Gm22912	69.2964645562816	93.3380951166243
Gm22913	0	0
Gm22914	0	0
Gm22915	0	0
Gm22916	0	0
Gm22917	0	0
Gm22918	0	0
Gm22920	1.41421356237309	0
Gm22923	0	0
Gm22925	0	0
Gm22926	0	0
Gm22927	0	0
Gm22929	0	0
Gm22932	0	0
Gm22933	0	0
Gm22934	0	0
Gm22935	0	0
Gm22936	0	0
Gm22937	0	0
Gm22938	0	0
Gm22939	0	0
Gm22940	0	0
Gm22941	83.4386001800126	55.8614357137373
Gm22942	0	3.53553390593274
Gm22943	0	0
Gm22944	0	0
Gm22945	0	0
Gm22946	1.41421356237309	0
Gm22947	0	0
Gm22949	0	0
Gm22950	0	0
Gm22951	1.41421356237309	0
Gm22952	0	0
Gm22953	2.82842712474619	3.53553390593274
Gm22955	0	0
Gm22956	0	0
Gm22957	0	0
Gm22958	4.24264068711928	9.89949493661167
Gm22960	0	0
Gm22961	0	0
Gm22962	7.07106781186547	2.82842712474619
Gm22963	0	0
Gm22965	0	0
Gm22966	0	0
Gm22969	28.2842712474619	27.5771644662754
Gm22970	0	3.53553390593274
Gm22971	1.41421356237309	1.41421356237309
Gm22972	0	0
Gm22973	192.333044482741	465.276262020748
Gm22974	0	1.41421356237309
Gm22975	0	0.707106781186547
Gm22977	0	0
Gm22978	0	0
Gm22979	0	0
Gm22980	540.229580826522	598.919443665006
Gm22981	31.1126983722081	74.2462120245875
Gm22983	0	0
Gm22984	8.48528137423857	37.476659402887
Gm22985	0	0.707106781186547
Gm22986	0	0
Gm22988	11.3137084989848	33.9411254969543
Gm22989	0	0
Gm22990	0	0
Gm22991	0	0
Gm22992	0	0
Gm22994	0	0
Gm22995	2.82842712474619	0.707106781186547
Gm22996	41.0121933088198	70.0035713374682
Gm22997	1.41421356237309	0
Gm22999	0	0
Gm23000	1.41421356237309	0
Gm23002	1.41421356237309	0.707106781186547
Gm23003	0	0.707106781186547
Gm23005	0	0
Gm23008	12.7279220613579	56.5685424949238
Gm23010	0	0
Gm23011	0	0
Gm23012	0	0
Gm23013	0	0
Gm23014	0	0
Gm23015	0	0
Gm23016	0	0
Gm23017	26.8700576850888	33.2340187157677
Gm23018	0	0
Gm23021	0	0
Gm23022	0	0
Gm23025	0	0
Gm23026	0	0
Gm23027	0	0
Gm23031	0	0
Gm23032	0	0
Gm23033	0	0
Gm23034	0	0
Gm23035	0	0
Gm23036	0	0
Gm23038	0	0
Gm23039	0	0
Gm23040	0	0
Gm23041	0	0
Gm23042	0	0
Gm23043	0	0
Gm23044	14.1421356237309	6.36396103067893
Gm23045	0	0
Gm23047	9.89949493661167	6.36396103067893
Gm23048	0	0
Gm23049	0	0
Gm23050	0	0
Gm23053	0	0
Gm23054	0	0
Gm23055	0	0.707106781186547
Gm23056	0	0
Gm23057	36.7695526217005	38.8908729652601
Gm23058	0	0.707106781186547
Gm23059	0	0
Gm23060	9.89949493661167	19.7989898732233
Gm23061	0	0
Gm23062	0	0
Gm23063	1.41421356237309	1.41421356237309
Gm23064	0	0
Gm23066	0	0
Gm23067	0	0
Gm23072	0	0
Gm23075	0	0
Gm23076	33.9411254969543	19.0918830920368
Gm23077	0	0
Gm23078	0	0
Gm23079	0	0
Gm23080	0	0
Gm23082	0	0
Gm23083	0	0
Gm23086	0	0
Gm23087	0	0
Gm23089	16.9705627484771	21.2132034355964
Gm23090	0	0
Gm23092	18.3847763108502	21.920310216783
Gm23093	0	0
Gm23095	14.1421356237309	7.77817459305202
Gm23096	0	0
Gm23097	0	0
Gm23099	0	0
Gm23100	0	0
Gm23101	0	0
Gm23102	29.698484809835	43.1335136523794
Gm23103	18.3847763108502	21.920310216783
Gm23104	0	0
Gm23105	2.82842712474619	2.12132034355964
Gm23106	0	0
Gm23108	0	0
Gm23109	0	0
Gm23111	0	0
Gm23112	0	0
Gm23113	0	0
Gm23116	4.24264068711928	12.0208152801713
Gm23117	0	0
Gm23118	0	0
Gm23121	0	0
Gm23122	5.65685424949238	3.53553390593274
Gm23123	0	0
Gm23124	0	0
Gm23125	0	0
Gm23126	0	0
Gm23127	0	0
Gm23128	0	0
Gm23129	0	0
Gm23130	251.730014102411	481.539717988039
Gm23131	0	0
Gm23132	0	0
Gm23133	0	0
Gm23134	8.48528137423857	7.77817459305202
Gm23136	18.3847763108502	54.4472221513642
Gm23137	25.4558441227157	36.0624458405139
Gm23138	1.41421356237309	1.41421356237309
Gm23139	0	0
Gm23140	16.9705627484771	18.3847763108502
Gm23141	15.556349186104	8.48528137423857
Gm23142	0	0
Gm23143	1045.10382259372	1559.17045251634
Gm23144	24.0416305603426	18.3847763108502
Gm23145	94.7523086789974	77.7817459305202
Gm23147	0	0
Gm23148	7.07106781186547	9.89949493661167
Gm23151	16.9705627484771	24.7487373415292
Gm23154	0	0
Gm23156	0	0
Gm23158	0	0
Gm23159	0	0
Gm23162	0	0
Gm23163	0	0
Gm23164	0	0
Gm23166	0	0
Gm23167	0	0
Gm23168	0	0
Gm23169	0	0
Gm23170	1.41421356237309	0
Gm23172	0	2.12132034355964
Gm23173	0	0
Gm23175	0	0
Gm23176	0	0
Gm23177	0	0
Gm23178	0	0
Gm23180	0	0
Gm23181	0	0
Gm23182	0	0
Gm23184	0	0
Gm23185	0	0
Gm23186	0	0
Gm23187	0	6.36396103067893
Gm23189	0	0
Gm23190	0	0
Gm23191	7.07106781186547	2.12132034355964
Gm23192	0	0
Gm23193	2.82842712474619	4.94974746830583
Gm23194	0	0
Gm23195	0	0
Gm23196	0	0
Gm23197	0	0
Gm23199	0	0
Gm23200	0	0
Gm23201	591.141269071954	952.472834258279
Gm23202	0	0
Gm23203	0	0
Gm23205	0	0
Gm23206	0	0
Gm23207	0	0
Gm23208	0	0
Gm23209	0	0
Gm23210	0	0
Gm23212	1711.19841047144	4382.64782979422
Gm23214	0	1.41421356237309
Gm23215	0	0
Gm23216	0	0
Gm23217	41.0121933088198	43.8406204335659
Gm23219	0	0
Gm23220	0	0
Gm23222	0	0
Gm23223	0	0
Gm23225	0	0
Gm23226	0	0
Gm23229	0	0
Gm23230	0	0
Gm23231	0	0
Gm23232	0	2.12132034355964
Gm23233	0	2.12132034355964
Gm23234	0	0
Gm23237	0	0
Gm23238	677.408296376712	12541.2458711246
Gm23239	0	0
Gm23240	87.6812408671319	2407.69858994019
Gm23241	0	0
Gm23242	0	0
Gm23243	0	0
Gm23244	4.24264068711928	8.48528137423857
Gm23245	9.89949493661167	28.2842712474619
Gm23246	209.303607231218	275.771644662753
Gm23247	0	0
Gm23248	1.41421356237309	1.41421356237309
Gm23249	0	0
Gm23251	0	0
Gm23252	0	0
Gm23253	0	0
Gm23254	41.0121933088198	68.5893577750951
