	gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
45	dsRNA_tag_2701	42.9688992194971	3.14206850464278	1.78012698030035	1.76508110905248	0.0775501350874998	0.969053363761131
46	dsRNA_tag_2729	80.6561349123641	1.94661370969571	1.07354846552031	1.81325182068259	0.0697929905443381	0.969053363761131
47	dsRNA_tag_274	80.8751592624713	2.36903832026154	1.20353414589666	1.96840141872049	0.049021868795913	0.969053363761131
48	dsRNA_tag_2742	35.7544711987916	5.31788529025539	2.79003885425984	1.90602553155703	0.0566468932259159	0.969053363761131
49	dsRNA_tag_2743	51.2767770491345	3.13313656435684	1.61657581281469	1.93813153674594	0.0526071767695774	0.969053363761131
50	dsRNA_tag_2860	170.594889609423	1.69651481045997	0.920754151978797	1.84252746166171	0.0653980333932593	0.969053363761131
51	dsRNA_tag_289	70.0777603846693	1.68615344539623	1.01802650129365	1.65629621945358	0.0976618457318758	0.969053363761131
52	dsRNA_tag_2904	141.401117264223	2.31879920324812	1.13911141366453	2.03562107747523	0.0417884196205487	0.969053363761131
53	dsRNA_tag_3092	55.0603808986956	2.40510707116371	1.34678849456215	1.78580904193545	0.074130182211737	0.969053363761131
54	dsRNA_tag_3166	136.52406360573	2.32337105102055	1.14515206994448	2.02887556334173	0.0424709663234197	0.969053363761131
55	dsRNA_tag_317	43.2715206497978	2.85750257929734	1.68390217190472	1.69695284380156	0.0897055761949223	0.969053363761131
56	dsRNA_tag_3175	73.6607312417658	2.73510800075822	1.32983311363859	2.05673025638129	0.0397121800704687	0.969053363761131
57	dsRNA_tag_3228	52.4705433542987	2.50266200969485	1.40757730426233	1.77799258493047	0.0754050727386707	0.969053363761131
58	dsRNA_tag_3234	43.2046429856429	4.56707710347349	2.22743017928375	2.05037946686261	0.0403274153030555	0.969053363761131
59	dsRNA_tag_3256	50.1331689920864	3.0968405018857	1.62264475982314	1.90851416068618	0.0563247946991898	0.969053363761131
60	dsRNA_tag_3257	42.0777543446336	3.91073676458711	2.04536080193728	1.91200337900434	0.0558757606493077	0.969053363761131
61	dsRNA_tag_3258	49.8305475617856	3.37813554506747	1.71279316986328	1.97229624948652	0.0485757975366187	0.969053363761131
62	dsRNA_tag_3261	44.3649704587298	3.9920369209639	2.010675270122	1.9854210077004	0.0470976506106306	0.969053363761131
63	dsRNA_tag_3278	37.2007006861405	4.34136338074739	2.35813043585975	1.84101918822169	0.0656187468406999	0.969053363761131
64	dsRNA_tag_3399	477.591791087492	1.24578203423848	0.745632776355574	1.67077155637858	0.0947668087696299	0.969053363761131
65	dsRNA_tag_3464	93743.730976142	1.25120889431515	0.709179442618254	1.76430508151188	0.0776806289049973	0.969053363761131
66	dsRNA_tag_3515	39890.5169945657	1.7630162883053	0.95095636250593	1.85394026247372	0.0637477068747714	0.969053363761131
67	dsRNA_tag_3557	58.2387418876553	2.18592753895938	1.2470505738842	1.75287801853203	0.0796229474786313	0.969053363761131
68	dsRNA_tag_3560	278.627396343578	1.23518368688748	0.736929916815843	1.67612096985356	0.0937145000611881	0.969053363761131
69	dsRNA_tag_3570	67.4210451761175	2.17228800026632	1.18303020493675	1.83620670985528	0.0663270906906964	0.969053363761131
70	dsRNA_tag_3595	50.7216924366491	2.8652306681303	1.54297387489178	1.8569534551136	0.0633177763944903	0.969053363761131
71	dsRNA_tag_372	56.2207083717824	2.27648205001494	1.29417125367308	1.7590269012342	0.0785729394614023	0.969053363761131
72	dsRNA_tag_373	56.4397327218896	3.03925972324502	1.5252732373017	1.99260017740929	0.0463052457546299	0.969053363761131
73	dsRNA_tag_3803	376.944250417637	1.86204872016896	0.942215887967084	1.9762442386601	0.0481271216866771	0.969053363761131
74	dsRNA_tag_3834	373.715731180561	1.94734614694007	0.968158060192808	2.0113927952552	0.04428398375578	0.969053363761131
75	dsRNA_tag_3835	405.449182822042	1.77228940346814	0.915069292777428	1.93678163769311	0.0527720414363067	0.969053363761131
76	dsRNA_tag_3836	556.771601563638	1.77472600506963	0.920167435401218	1.92869899193488	0.0537682414699662	0.969053363761131
77	dsRNA_tag_3861	3712.89075136702	1.96672116078843	1.09973658735594	1.78835657865758	0.0737184970300723	0.969053363761131
78	dsRNA_tag_3916	205.322788663437	1.74343494177196	0.912852654548434	1.90987552381539	0.0561492421969165	0.969053363761131
79	dsRNA_tag_3925	50.9407167867563	4.20309171970371	1.94576966360572	2.16011781780734	0.0307635500144822	0.969053363761131
80	dsRNA_tag_3952	632.012317621062	1.76857207023709	0.92226118163243	1.91764773955536	0.0551556924570862	0.969053363761131
81	dsRNA_tag_3953	543.887619564204	1.52980487599381	0.841590605689365	1.81775422117589	0.0691017063951522	0.969053363761131
82	dsRNA_tag_396	44.9702133193312	3.21499994201581	1.75530954693752	1.83158574373677	0.0670131623921734	0.969053363761131
83	dsRNA_tag_403	86.5931995477117	2.48591944445504	1.23026659399129	2.02063476046285	0.0433175878375652	0.969053363761131
84	dsRNA_tag_4081	66.2105594549145	2.71630818578076	1.35493237201132	2.00475554491961	0.0449891871951777	0.969053363761131
85	dsRNA_tag_4131	12958.0740916092	1.65846311595451	0.997179622652365	1.66315383736305	0.0962816454250248	0.969053363761131
86	dsRNA_tag_4144	691.658834339177	1.32189577942132	0.781399997185612	1.69170179700848	0.0907028456378869	0.969053363761131
87	dsRNA_tag_415	44.062349028429	4.59662144980725	2.21420071133513	2.07597325132985	0.0378964249861292	0.969053363761131
88	dsRNA_tag_4167	131.309277743255	1.51117547264863	0.89626110239805	1.68608842736264	0.0917787686600747	0.969053363761131
89	dsRNA_tag_4223	87.7702464368373	2.2940764635281	1.17121031123895	1.95872290528363	0.0501452464725592	0.969053363761131
90	dsRNA_tag_4237	502.871548138029	1.70483432582794	0.895808686837317	1.90312323476892	0.057024466811129	0.969053363761131
91	dsRNA_tag_4242	509.497452714172	1.68805371229466	0.890757806260969	1.89507596838293	0.0580823379050329	0.969053363761131
92	dsRNA_tag_4243	372.588842539552	1.92128222837851	0.960175578027549	2.00096968965335	0.0453956564191316	0.969053363761131
93	dsRNA_tag_4284	58.8272653322181	2.0617857016438	1.20295929073224	1.71392807514608	0.0865419361321392	0.969053363761131
94	dsRNA_tag_433	606.834549008362	6.2499341995098	3.78831260059908	1.64979368347835	0.0989851411374083	0.969053363761131
95	dsRNA_tag_4331	50.1164495760476	3.3871806696701	1.71096547759968	1.97968966295099	0.0477384108192517	0.969053363761131
96	dsRNA_tag_4335	162.069659371282	2.26063044712583	1.10177280530791	2.05181180388097	0.0401879557054202	0.969053363761131
97	dsRNA_tag_4336	35.7544711987916	5.31788529025539	2.79003885425984	1.90602553155703	0.0566468932259159	0.969053363761131
98	dsRNA_tag_4408	54.4551380380941	2.76222344135996	1.46333980194212	1.8876158754747	0.0590775372587794	0.969053363761131
99	dsRNA_tag_4451	42.9187409713809	4.55709298852942	2.23208279267851	2.04163259690779	0.0411879893463614	0.969053363761131
100	dsRNA_tag_4470	69.9272856403208	2.80672329742744	1.36428502505466	2.05728513168646	0.0396588067088566	0.969053363761131
101	dsRNA_tag_4554	62.4269556053534	3.44607519460863	1.59305490984167	2.16318670079685	0.0305268227322122	0.969053363761131
102	dsRNA_tag_4597	383.87277642408	1.81794137106871	0.92878765589524	1.95732723139654	0.0503090078649643	0.969053363761131
103	dsRNA_tag_4665	46.9548080031267	3.63510601752639	1.8426437636433	1.97276657010415	0.0485221635352957	0.969053363761131
104	dsRNA_tag_4677	253.284105512095	1.29178556101584	0.756612222124729	1.70732843488601	0.0877610238065912	0.969053363761131
105	dsRNA_tag_4705	57.6167796110151	2.66020299221516	1.39966591565728	1.9005985374488	0.057354617237692	0.969053363761131
106	dsRNA_tag_4708	67.9259715404867	2.75874336729643	1.35892142872021	2.03009777386064	0.0423466017734724	0.969053363761131
107	dsRNA_tag_4709	46.4164428066801	2.97214496883208	1.64943695293605	1.80191486770172	0.0715588006740223	0.969053363761131
108	dsRNA_tag_4714	49.2587435332616	3.35987336830269	1.71663964996566	1.95723859015484	0.0503194237045346	0.969053363761131
109	dsRNA_tag_4758	94.4128704290187	2.05015128215409	1.09082472070903	1.87945069746998	0.0601829794534898	0.969053363761131
110	dsRNA_tag_4785	40.3790616751001	3.39840586791885	1.93444973549602	1.75678168605785	0.0789550278540065	0.969053363761131
111	dsRNA_tag_4801	61.014164950082	3.16479033104084	1.52141106771454	2.08016781144821	0.0375101435286609	0.969053363761131
112	dsRNA_tag_4841	56.7757929842678	2.45757439818389	1.34551659525803	1.82649133191301	0.0677762857510307	0.969053363761131
113	dsRNA_tag_4874	470.69837585473	1.46691430795287	0.818499889173638	1.79219854193735	0.0731011681469197	0.969053363761131
114	dsRNA_tag_4880	43.2046429856429	4.56707710347349	2.22743017928375	2.05037946686261	0.0403274153030555	0.969053363761131
115	dsRNA_tag_49	41.1866094697701	5.52670172849807	2.64466595704326	2.0897541762427	0.0366398876128654	0.969053363761131
116	dsRNA_tag_4992	212.418508830268	1.36311900471532	0.788002755502359	1.7298404037259	0.0836587934715817	0.969053363761131
117	dsRNA_tag_5001	91.1676317759041	2.57305189411563	1.25131538595375	2.0562776762746	0.0397557587998016	0.969053363761131
118	dsRNA_tag_5002	43.5072644159437	3.96208368470701	2.02276457485312	1.95874682301805	0.0501424439841973	0.969053363761131
119	dsRNA_tag_505	86.8958209780125	2.38153913960995	1.19864260049627	1.98686342252807	0.0469375339937907	0.969053363761131
120	dsRNA_tag_5071	52.3869462741051	3.80503079219852	1.80289220998004	2.11051485559453	0.0348140329545461	0.969053363761131
121	dsRNA_tag_508	5345.81759791216	3.1114988703359	1.44437150055852	2.15422338998846	0.0312226574170716	0.969053363761131
122	dsRNA_tag_5099	53.0590667988615	2.34138158596301	1.34943974688715	1.73507679121208	0.082727204531015	0.969053363761131
123	dsRNA_tag_5102	320.705150688212	1.45547166922746	0.810560280356138	1.7956365547396	0.0725523382431245	0.969053363761131
124	dsRNA_tag_5213	53.3282493970848	2.53014269551596	1.40538259165978	1.8003230654279	0.0718096409227458	0.969053363761131
125	dsRNA_tag_5215	148.685766832291	7.40106744821565	4.46052482645006	1.65923691407987	0.0970680618712227	0.969053363761131
126	dsRNA_tag_5242	101.980078128141	1.59529485215813	0.941713852303367	1.69403354135245	0.0902589095928684	0.969053363761131
127	dsRNA_tag_5289	68.0095686206802	2.06525796847881	1.14691227357331	1.80071136743904	0.0717483849747925	0.969053363761131
128	dsRNA_tag_5339	231.473627289591	1.70911491021084	0.893625106937184	1.91256366561664	0.0558039349021173	0.969053363761131
129	dsRNA_tag_5353	59.9374345571887	2.38718532968599	1.29619168475376	1.84169159373947	0.065520274523794	0.969053363761131
130	dsRNA_tag_5512	131.830923523662	1.67258893481144	0.947979972340677	1.76437159392894	0.0776694374290129	0.969053363761131
131	dsRNA_tag_556	66.0416933529235	1.78353934094385	1.06693064190563	1.67165443646674	0.0945924837201808	0.969053363761131
132	dsRNA_tag_56	41.7918523303715	3.90024438002111	2.0502819869283	1.90229656451521	0.057132394572866	0.969053363761131
133	dsRNA_tag_5643	8774.26928392055	6.21809155989377	3.73789762278626	1.66352644919653	0.0962071009700625	0.969053363761131
134	dsRNA_tag_5652	138.894876800019	2.04401498032385	1.05833887613262	1.93134262231119	0.053440695740612	0.969053363761131
135	dsRNA_tag_58	53.8498951774927	3.21161047019528	1.60598528427324	1.99977577730336	0.0455244813260586	0.969053363761131
136	dsRNA_tag_59	46.4164428066801	2.97214496883208	1.64943695293605	1.80191486770172	0.0715588006740223	0.969053363761131
137	dsRNA_tag_5955	38.0584067289265	4.37585195204447	2.33442439648583	1.87448861425187	0.0608631099092419	0.969053363761131
138	dsRNA_tag_5991	359.199934175749	1.4691895019308	0.816823938315897	1.7986611716595	0.0720722945133573	0.969053363761131
139	dsRNA_tag_5998	56.6921959040742	3.58095203753782	1.68333072483316	2.12730153659658	0.0333950371752206	0.969053363761131
140	dsRNA_tag_6078	64.4784279533037	2.84661574463291	1.40361231130328	2.0280641041042	0.0425537058926174	0.969053363761131
141	dsRNA_tag_61	43.8433246783218	2.87903570882119	1.67670029483094	1.71708427421221	0.085963775065672	0.969053363761131
142	dsRNA_tag_6122	286.450411108093	1.95953358438176	0.968251006573579	2.02378677747633	0.0429920952861692	0.969053363761131
143	dsRNA_tag_618	244.944460791984	1.75569329508517	0.906884097092826	1.93596215956741	0.0528723356862722	0.969053363761131
144	dsRNA_tag_62	40.328903426984	5.49567455629105	2.66292269775476	2.06377547531692	0.0390390093807431	0.969053363761131
145	dsRNA_tag_6227	82.1525226478291	1.6251758465482	0.968791002001582	1.67752987299685	0.0934389129371475	0.969053363761131
146	dsRNA_tag_6270	426.233088899768	1.39924865597513	0.795755782338833	1.75838955497446	0.0786812491329946	0.969053363761131
147	dsRNA_tag_6300	905.623889153026	1.28735211637174	0.782275618236253	1.64565031347167	0.0998357740954994	0.969053363761131
148	dsRNA_tag_6381	49.8138281457469	3.72702839951604	1.81872875996981	2.04924916873141	0.040437756367958	0.969053363761131
149	dsRNA_tag_6533	615.31129293999	1.60602192975812	0.869723128187814	1.84658988327065	0.0648066015313073	0.969053363761131
150	dsRNA_tag_6536	259.002145797335	1.33694404690344	0.771150941392219	1.73369955885647	0.0829714048481058	0.969053363761131
151	dsRNA_tag_6602	41.5059503161095	3.88967512658436	2.0553470586404	1.89246634053003	0.0584288742461092	0.969053363761131
152	dsRNA_tag_6663	61.3502252124601	2.58881869464685	1.34652912340951	1.92258648523827	0.0545320026236855	0.969053363761131
153	dsRNA_tag_6675	78.4023576303454	1.70911459974867	1.00230634721558	1.70518185831768	0.0881605124188963	0.969053363761131
154	dsRNA_tag_6728	70.0610409686306	1.78711701956374	1.05046575209589	1.7012615746854	0.0888938799934883	0.969053363761131
155	dsRNA_tag_6729	88.3922087134775	2.01945448196751	1.08606161856003	1.85942901162923	0.0629663527541097	0.969053363761131
156	dsRNA_tag_6732	516.392539888538	1.68626439651875	0.890463533961383	1.89369281526567	0.058265795542271	0.969053363761131
