WT_Input	WT_Arc_IP
dsRNA_tag_1092	36	120
dsRNA_tag_1093	17	121
dsRNA_tag_1094	33	94
dsRNA_tag_1095	237	853
dsRNA_tag_1096	443	1179
dsRNA_tag_1097	70	93
dsRNA_tag_1098	60	180
dsRNA_tag_1099	45	113
dsRNA_tag_11	225	493
dsRNA_tag_110	31	350
dsRNA_tag_1100	240	601
dsRNA_tag_1101	26	146
dsRNA_tag_1102	43	154
dsRNA_tag_1103	43	198
dsRNA_tag_1104	38	109
dsRNA_tag_1105	71	198
dsRNA_tag_1106	36	268
dsRNA_tag_1107	217	523
dsRNA_tag_1108	60	249
dsRNA_tag_1109	45	155
dsRNA_tag_111	9	148
dsRNA_tag_1110	24	132
dsRNA_tag_1111	76	398
dsRNA_tag_1112	497	1872
dsRNA_tag_1113	20	162
dsRNA_tag_1114	75	181
dsRNA_tag_1115	30	92
dsRNA_tag_1116	87	179
dsRNA_tag_1117	90	148
dsRNA_tag_1118	102	224
dsRNA_tag_1119	66	314
dsRNA_tag_112	108	254
dsRNA_tag_1120	38	136
dsRNA_tag_1121	48	113
dsRNA_tag_1122	772	2404
dsRNA_tag_1123	38	106
dsRNA_tag_1124	47	101
dsRNA_tag_1125	26	104
dsRNA_tag_1126	24	104
dsRNA_tag_1127	20	109
dsRNA_tag_1128	3524	14533
dsRNA_tag_1129	22	100
dsRNA_tag_113	14208	52170
dsRNA_tag_1130	193	845
dsRNA_tag_1131	343	657
dsRNA_tag_1132	35	155
dsRNA_tag_1133	28	98
dsRNA_tag_1134	17	172
dsRNA_tag_1135	48	131
dsRNA_tag_1136	34	140
dsRNA_tag_1137	118	285
dsRNA_tag_1138	50	197
dsRNA_tag_1139	166	596
dsRNA_tag_114	152	283
dsRNA_tag_1140	39	110
dsRNA_tag_1141	34	121
dsRNA_tag_1142	27	128
dsRNA_tag_1143	25	163
dsRNA_tag_1144	128	505
dsRNA_tag_1145	42	199
dsRNA_tag_1146	44	85
dsRNA_tag_1147	42	178
dsRNA_tag_1148	93	241
dsRNA_tag_1149	49	96
dsRNA_tag_115	17	118
dsRNA_tag_1150	94	252
dsRNA_tag_1151	81	273
dsRNA_tag_1152	55	383
dsRNA_tag_1153	53	302
dsRNA_tag_1154	33	110
dsRNA_tag_1155	37	91
dsRNA_tag_1156	40	137
dsRNA_tag_1157	2969	29289
dsRNA_tag_1158	2910	29403
dsRNA_tag_1159	185	358
dsRNA_tag_116	18	133
dsRNA_tag_1160	170	366
dsRNA_tag_1161	165	380
dsRNA_tag_1162	185	370
dsRNA_tag_1163	298	728
dsRNA_tag_1164	26	157
dsRNA_tag_1165	21	142
dsRNA_tag_1166	107	356
dsRNA_tag_1167	18	115
dsRNA_tag_1168	41	90
dsRNA_tag_1169	35	120
dsRNA_tag_117	66	208
dsRNA_tag_1170	47	218
dsRNA_tag_1171	35	131
dsRNA_tag_1172	27	108
dsRNA_tag_1173	55	215
dsRNA_tag_1174	35	150
dsRNA_tag_1175	33	111
dsRNA_tag_1176	51	188
dsRNA_tag_1177	159	475
dsRNA_tag_1178	26	130
dsRNA_tag_1179	7	185
dsRNA_tag_118	34	282
dsRNA_tag_1180	76	213
dsRNA_tag_1181	55	118
dsRNA_tag_1182	56	169
dsRNA_tag_1183	45	99
dsRNA_tag_1184	3653	9923
dsRNA_tag_1185	101	323
dsRNA_tag_1186	94	238
dsRNA_tag_1187	313	1152
dsRNA_tag_1188	35	172
dsRNA_tag_1189	22	121
dsRNA_tag_119	69	233
dsRNA_tag_1190	23	114
dsRNA_tag_1191	83	184
dsRNA_tag_1192	536	1186
dsRNA_tag_1193	538	1271
dsRNA_tag_1194	1020	2454
dsRNA_tag_1195	119	473
dsRNA_tag_1196	113	258
dsRNA_tag_1197	243	1501
dsRNA_tag_1198	98	258
dsRNA_tag_1199	28	136
dsRNA_tag_12	38	172
dsRNA_tag_120	37	149
dsRNA_tag_1200	21	109
dsRNA_tag_1201	89	168
dsRNA_tag_1202	49	175
dsRNA_tag_1203	31	150
dsRNA_tag_1204	166	378
dsRNA_tag_1205	64	123
dsRNA_tag_1206	97	416
dsRNA_tag_1207	29	174
dsRNA_tag_1208	53	124
dsRNA_tag_1209	139	175
dsRNA_tag_121	31	135
dsRNA_tag_1210	273	642
dsRNA_tag_1211	3876	24346
dsRNA_tag_1212	4017	24708
dsRNA_tag_1213	4035	24790
dsRNA_tag_1214	4434	27095
dsRNA_tag_1215	4087	24435
dsRNA_tag_1216	93	182
dsRNA_tag_1217	88	346
dsRNA_tag_1218	26	125
dsRNA_tag_1219	46	138
dsRNA_tag_122	59	206
dsRNA_tag_1220	1229	4538
dsRNA_tag_1221	75	213
dsRNA_tag_1222	42	125
dsRNA_tag_1223	47	171
dsRNA_tag_1224	57	134
dsRNA_tag_1225	20	135
dsRNA_tag_1226	143	188
dsRNA_tag_1227	55	132
dsRNA_tag_1228	40	121
dsRNA_tag_1229	73	149
dsRNA_tag_123	76	385
dsRNA_tag_1230	37	132
dsRNA_tag_1231	157	366
dsRNA_tag_1232	93	255
dsRNA_tag_1233	54	202
dsRNA_tag_1234	70	188
dsRNA_tag_1235	32	172
dsRNA_tag_1236	14	114
dsRNA_tag_1237	34	128
dsRNA_tag_1238	17	139
dsRNA_tag_1239	23	132
