	Exp.hl60.log2FC_120h	Exp.hl60.pval_120h	Exp.kg1.log2FC	Exp.kg1.pval	Exp.molm14.log2FC	Exp.molm14.pval	Exp.ociaml2.log2FC	Exp.ociaml2.pval	Exp.ociaml3.log2FC	Exp.ociaml3.pval	Exp.thp1.log2FC	Exp.thp1.pval	Stbl.hl60.logFC	Stbl.hl60.pval	Stbl.kg1.logFC	Stbl.kg1.pval	Stbl.molm14.logFC	Stbl.molm14.pval	Stbl.ociaml2.logFC	Stbl.ociaml2.pval	Stbl.ociaml3.logFC	Stbl.ociaml3.pval	Stbl.thp1.logFC	Stbl.thp1.pval	TE.Estimate_treatmentDRUG	TE.fdr_Pr...z.._treatmentDRUG	Rho.Mann-Whitney p-value	Rho.rho score	Gamma.Mann-Whitney p-value	Gamma.gamma score
CEBPZ	0.49535850990576497	4.2121365000807195e-10	-0.0395616309401989	0.824545331484819	-0.19785342149121501	0.38807772654864797	-0.303343920366422	0.0764628341941876	-0.33386176179042	0.0915568329634019	0.0934092894401252	0.5850999206471861	-0.0826418268924389	0.687348086790952	-0.0300566865254388	0.810457835220386	-0.058974539225139996	0.700372667116792	0.0501103740563078	0.7137987862551869	-0.261736545308005	0.0824263053698602	0.0977088905985757	0.427878343505776	0.326486963313103	0.38803818231537895	0.0662456374812	-0.101548505546	0.0136573534102	-0.0427769254152
PTCD3	0.500056500527556	5.896847588449611e-11	-0.130049561184583	0.41462826663901703	-0.28506637541738505	0.11117820747182901	0.0241353846609117	0.866953778109909	-0.127677361614671	0.509199778298189	0.120458737774461	0.4947906113332679	-0.0191179724665181	0.8537304362313171	-0.285594276283178	0.025535698430818	-0.29481509289499896	0.0521427738178336	0.150423984148814	0.29163035406635496	0.0465279420521734	0.7430797555715769	-0.0611214648978194	0.525991128537122	0.058767957332049	0.941407613061178	0.50854989373	0.0902695230688	0.317784195636	-0.0174518555686
JAK1	0.508284307259143	0.17707865446400697	0.202571065952213	0.326451878334792	1.14862071205453	0.000425156138149443	0.0533645141179892	0.7767223311728699	0.205834205174684	0.286447409867268	-0.295704104546896	0.180309949879796	-0.0592984467888905	0.6942158355574289	0.0266218486225184	0.7538801973438349	0.23162153469045602	0.037967581970152	0.22620106086791103	0.0924693151116874	0.28882987941940996	0.0350932161458032	0.13951231507619	0.159197438088638	-0.28602249351259695	0.589039065972773	0.1781946073	-0.136396815116	0.621849862654	0.0146480782018
ACBD6	0.51223918177429	0.0073839490130972	-0.300630307000023	0.14248726801653303	-0.21126814285895198	0.29427680312486204	-0.0513207827835535	0.778702014912016	-0.0601608578916294	0.7947663250236909	-0.293984614438569	0.17202033424325797	-1.00163303259489	0.000866307993364048	-0.4003324378356621	0.0338587790312717	-0.464263284682879	0.0406031519589993	-0.23611411608068203	0.12360592366299498	-0.41176481622841404	0.0224875726072176	-0.328948846067151	0.08055891782247099	-0.25685524915312496	0.848797707556016	0.861816624588	-0.0361895851137	0.792593347177	0.0103845541759
NDUFS1	0.5129063393913139	5.37879893668834e-06	-0.035636674232793	0.8060600176885191	-0.0990481012213678	0.6153542306836421	-0.0284671376286452	0.8549556769819381	0.0169139024439311	0.9220849467300392	0.042936983571359	0.819529894094415	0.0438690519765423	0.7387431397165859	-0.11540690713627699	0.273738958425903	-0.10737720836956098	0.582897047051069	0.0466228077568878	0.667666854249772	0.149892070937697	0.26785778728575	0.0020517932288346397	0.9810382763928149	-0.7876976832089129	0.595343507629441	0.258687754258	0.0703383446478	0.628966886504	-0.0241069373968
WDR75	0.55550017359145	2.1871921739545103e-06	0.13475440869731697	0.507109918363608	-0.161660267848883	0.34460924569090196	-0.207208447214901	0.28643555094801193	-0.00441723195632479	0.9839675657795179	0.049936874575939996	0.7611142835468242	0.204396938101736	0.22093164528665302	-0.008753748677343659	0.921717791235474	-0.200849471476968	0.125524643289962	-0.0842714296705418	0.541846502157271	0.0109223968203137	0.918919550650209	0.133218145812786	0.19666887850303602	0.17190527545266798	0.7695452211580649	0.864906805466	0.00993454038361	0.000127562153745	-0.263979716905
MSH2	0.570997214403051	9.34576535375769e-09	-0.327930018625731	0.0623602773711021	-0.7077756283061808	0.00010642073265996899	-0.23430785268829898	0.213572157753964	-0.33688111492960804	0.0548378866720154	-0.308579313028775	0.0648091168797148	0.5929507420192021	0.0008262408199437	-0.0262453429347663	0.805844759406008	0.28371998326854103	0.110560149095634	-0.231405627264771	0.302230132034042	-0.012683667461671998	0.9163664115773921	-0.16778131323538098	0.22169743307685996	0.15478128368759198	0.722209699580853	0.00587055626555	0.142873238825	0.147185602051	-0.0302336646825
RERE	0.5727830254012901	0.187023545927072	-0.11090077438568499	0.589515387017889	-0.61813903006979	0.0585490711578429	-0.843414080801196	4.8859168061707896e-05	-0.815785054148136	0.0648961310238199	-0.17190547463819597	0.5169151152531091	-0.152955520353267	0.4901277105735011	-0.0602664684888842	0.679211040871451	-0.6988264005691999	0.0397946406065505	-0.160070775805235	0.369533166264351	-0.7971408743972109	0.00327802575686084	-0.457359756953865	0.00705822215338482	-0.586057432310617	0.32511327345264	0.826685816771	-0.0254740896527	0.257563504555	0.0212141377323
PPIE	0.572913179974371	0.00061634902647188	-0.0481503182669057	0.784216846298688	0.09495995427493799	0.697815909736437	0.0012552533160070198	0.995374230519861	0.0647686992999419	0.7651191991159549	0.0686209113242957	0.699434571496402	-0.15427023972075	0.231539407408593	-0.08426260719970402	0.336260980034742	0.11724624703706502	0.457599561557677	0.0706088651552653	0.504687897134573	-0.34668587229298303	0.0169469334046995	-0.0490837250028703	0.65593480601472	-0.03851009495741001	0.9712376498290971	0.151466817304	0.0957824860747	0.000366432042429	-0.395722251936
RPL14	0.5817205029577	0.00913646318196841	-0.18715779445601802	0.13412038253505398	-0.154598531921507	0.25079400261224	0.00242651806049495	0.987754241026769	-0.0028813898575958397	0.9876736027460429	-0.108915357265833	0.442376066672747	0.4930805808162	0.0029920329207682697	-0.27516053076056896	0.0722003445644423	0.0418786747466387	0.65254657671676	-0.053513527894303	0.609185759634276	-0.278148326192555	0.0502960249956933	-0.174082514525999	0.21655565024448603	-0.020694132558283	0.9556664316322421	0.12437830671	-0.133127277471	0.00450470171555	-0.290248512745
