enteric_50uM_OXL_1	enteric_50uM_OXL_2	sensory_50uM_OXL_
ADGRA1-AS1	5	0	27
ADGRA2	259	75	100
ADGRA3	50	25	43
ADGRB1	19	29	4
ADGRB2	588	95	288
ADGRB3	152	0	33
ADGRD1	10	0	9
ADGRE1	1	0	0
ADGRE2	18	0	0
ADGRE3	0	0	0
ADGRE4P	0	0	0
ADGRE5	13	2	6
ADGRF1	2	1	8
ADGRF2	1	0	4
ADGRF3	21	0	0
ADGRF4	0	0	3
ADGRF5	2	0	0
ADGRG1	265	1	21
ADGRG2	26	0	0
ADGRG3	0	0	5
ADGRG4	0	0	16
ADGRG5	0	0	6
ADGRG6	5	76	28
ADGRG7	8	0	0
ADGRL1	552	182	352
ADGRL2	242	288	263
ADGRL3	80	11	26
ADGRL3-AS1	6	20	0
ADGRL4	1	0	0
ADGRV1	34	0	51
ADH1A	0	0	0
ADH1B	1	0	0
ADH1C	0	0	1
ADH4	0	0	0
ADH5	144	222	55
ADH6	0	0	0
ADH7	0	0	0
ADHFE1	2	0	1
ADI1	131	174	36
ADIG	0	0	0
ADIPOQ	15	0	23
ADIPOQ-AS1	7	0	7
ADIPOR1	99	127	47
ADIPOR2	366	208	80
ADIRF	5	0	3
ADK	66	1	13
ADM	150	500	23
ADM2	24	32	11
ADM5	13	0	0
ADNP	766	261	187
ADNP-AS1	11	23	0
ADNP2	327	26	58
ADO	96	43	24
ADORA1	128	0	40
ADORA2A	24	0	19
ADORA2A-AS1	16	0	0
ADORA2B	5	0	3
ADORA3	0	0	0
ADPGK	22	58	31
ADPGK-AS1	5	0	2
ADPRH	7	0	6
ADPRHL1	19	0	15
ADPRHL2	188	90	31
ADPRM	44	98	0
ADRA1A	9	0	1
ADRA1B	7	0	0
ADRA1D	4	0	0
ADRA2A	2	0	2
ADRA2B	1	0	0
ADRA2C	23	30	17
ADRB1	0	0	0
ADRB2	29	60	104
ADRB3	9	0	0
ADRBK1	167	187	59
ADRBK2	106	0	15
ADRM1	462	496	171
ADSL	284	167	94
ADSS	118	169	44
ADSSL1	21	0	43
ADTRP	2	0	0
AEBP1	482	116	233
AEBP2	152	119	31
AEN	2056	1305	577
AES	2189	805	968
AFAP1	217	491	77
AFAP1-AS1	27	1	9
AFAP1L1	5	0	0
AFAP1L2	49	0	32
AFF1	36	62	15
AFF2	104	7	76
AFF3	277	470	142
AFF4	551	607	110
AFG3L1P	92	42	14
AFG3L2	356	211	114
AFM	3	0	0
AFMID	11	42	15
AFP	0	0	0
AFTPH	288	155	62
AGA	18	22	27
AGAP1	258	123	125
AGAP1-IT1	6	0	0
AGAP11	9	0	1
AGAP2	294	10	78
