enteric_50uM_OXL_1	enteric_water_1	enteric_50uM_OXL_2	enteric_water_2
ABCF1	2088	1155	1016	488
ABCF2	188	65	315	35
ABCF3	94	44	72	35
ABCG1	10	10	0	14
ABCG2	300	241	38	109
ABCG4	13	0	0	10
ABCG5	0	2	0	0
ABCG8	0	0	0	0
ABHD1	82	51	0	13
ABHD10	248	100	131	38
ABHD11	90	40	20	54
ABHD11-AS1	0	0	0	0
ABHD12	102	54	34	32
ABHD12B	1	15	0	0
ABHD13	59	20	33	6
ABHD14A	51	16	0	68
ABHD14A-ACY1	33	5	24	18
ABHD14B	177	105	1	34
ABHD15	26	2	68	11
ABHD16A	79	18	9	25
ABHD16B	7	2	0	11
ABHD17A	14	8	16	3
ABHD17B	125	67	2	5
ABHD17C	230	107	1	164
ABHD2	227	91	278	137
ABHD3	8	1	5	9
ABHD4	32	13	95	11
ABHD5	271	151	59	78
ABHD6	35	2	0	14
ABHD8	188	83	1	31
ABI1	128	53	57	47
ABI2	645	376	120	158
ABI3	0	0	0	0
ABI3BP	36	20	19	14
ABL1	272	75	437	102
ABL2	493	248	409	56
ABLIM1	523	102	364	253
ABLIM2	25	0	0	10
ABLIM3	89	19	0	93
ABO	0	0	1	0
ABR	99	42	75	32
ABRA	0	0	0	0
ABRACL	130	40	66	5
ABT1	160	36	97	17
ABTB1	19	4	32	17
ABTB2	36	4	0	11
ACAA1	132	48	0	32
ACAA2	91	37	147	56
ACACA	240	122	171	143
ACACB	1	4	0	13
ACAD10	52	25	19	29
ACAD11	233	107	86	43
ACAD8	15	28	0	4
ACAD9	170	37	64	56
ACADL	0	0	0	0
ACADM	207	42	112	102
ACADS	122	49	1	15
ACADSB	73	34	30	36
ACADVL	180	127	165	93
ACAN	9	3	1	77
ACAP1	19	12	19	13
ACAP2	238	164	112	120
ACAP3	104	17	0	17
ACAT1	80	15	35	29
ACAT2	929	600	781	317
ACBD3	1125	938	316	198
ACBD4	70	1	0	12
ACBD5	154	106	20	68
ACBD6	328	129	476	63
ACBD7	18	3	0	8
ACCS	5	0	0	0
ACCSL	0	0	0	0
ACD	79	65	25	66
ACE	0	5	0	1
ACE2	0	7	0	0
ACER1	0	0	0	0
ACER2	3	4	0	0
ACER3	140	149	12	91
ACHE	107	42	0	65
ACIN1	1189	626	384	304
ACKR1	35	3	1	7
ACKR2	4	0	0	0
ACKR3	11	1	70	1
ACKR4	0	0	0	0
ACLY	387	107	378	173
ACMSD	1	0	0	0
ACO1	490	130	319	78
ACO2	508	172	486	97
ACOT1	0	1	0	7
ACOT11	6	0	0	0
ACOT12	0	1	0	0
ACOT13	315	122	139	94
ACOT2	17	2	31	10
ACOT4	0	1	0	2
ACOT6	0	0	0	0
ACOT7	509	405	95	139
ACOT8	57	26	35	15
ACOT9	186	50	189	38
ACOX1	231	76	183	63
ACOX2	0	0	0	0
ACOX3	144	45	26	33
ACOXL	7	0	1	5
ACP1	317	61	163	68
ACP2	185	36	94	93
ACP5	2	0	0	1
ACP6	12	10	88	0
ACPP	23	0	0	1
ACPT	12	0	0	0
ACR	0	0	25	0
ACRBP	3	0	0	0
ACRC	43	10	58	4
ACRV1	10	23	0	0
ACSBG1	0	0	0	0
ACSBG2	7	0	0	6
ACSF2	15	0	0	8
ACSF3	9	8	0	16
ACSL1	77	12	0	10
ACSL3	384	341	317	273
ACSL4	188	89	158	113
ACSL5	16	5	0	0
ACSL6	10	19	0	11
ACSM1	1	0	0	0
ACSM2A	0	1	0	0
ACSM2B	0	0	0	0
ACSM3	27	3	2	16
ACSM4	2	0	0	0
ACSM5	0	0	0	0
ACSM6	2	1	0	0
ACSS1	10	4	0	6
ACSS2	41	8	1	24
ACSS3	3	1	0	0
ACTA1	20	6	64	9
ACTA2	308	17	710	111
ACTA2-AS1	303	17	704	118
ACTB	2039	451	2851	325
ACTBL2	0	0	0	0
ACTC1	148	19	285	247
ACTG1	8626	3290	11518	1174
ACTG1P17	18	5	0	0
ACTG1P20	219	152	61	89
ACTG1P4	2	5	0	2
ACTG2	529	14	300	28
ACTL10	1	0	0	8
ACTL6A	117	40	175	52
ACTL6B	80	28	0	34
ACTL7A	0	0	0	0
ACTL7B	0	0	0	0
ACTL8	0	0	0	0
ACTL9	0	0	0	0
ACTN1	1538	214	3926	204
ACTN1-AS1	0	0	0	0
ACTN2	17	3	0	18
ACTN3	0	0	0	2
ACTN4	875	199	1172	232
ACTR10	450	141	283	180
ACTR1A	913	386	670	291
ACTR1B	280	86	101	55
ACTR2	2496	1313	1612	729
ACTR3	365	110	655	77
ACTR3B	116	43	88	34
ACTR3BP2	0	0	0	0
ACTR3BP5	0	0	0	0
ACTR3C	0	0	0	0
ACTR5	22	9	62	0
ACTR6	239	128	57	46
ACTR8	261	89	182	27
ACTRT1	0	0	0	0
ACTRT2	0	0	0	0
ACTRT3	7	0	0	1
ACVR1	60	15	97	9
ACVR1B	210	116	39	72
ACVR1C	0	0	0	0
ACVR2A	370	273	71	105
ACVR2B	359	355	41	107
ACVR2B-AS1	10	0	0	1
ACVRL1	4	0	0	27
ACY1	32	5	24	18
ACY3	0	0	0	0
ACYP1	82	20	100	2
ACYP2	14	5	54	10
ADA	60	10	2	43
ADAD1	0	0	0	8
ADAD2	10	2	0	1
ADAL	178	33	4	44
ADAM10	102	54	241	29
ADAM11	66	28	0	105
ADAM12	472	125	324	621
ADAM15	2183	864	227	464
ADAM17	187	135	12	110
ADAM18	0	0	0	0
ADAM19	196	44	314	85
ADAM1A	5	3	68	5
ADAM2	0	0	1	0
ADAM20	1	3	0	0
ADAM20P1	26	85	66	26
ADAM21	6	18	0	31
ADAM21P1	0	0	0	0
ADAM22	97	23	0	81
ADAM23	180	54	97	99
ADAM28	1	1	0	0
ADAM29	0	0	0	0
ADAM30	1	0	0	0
ADAM32	1	7	0	0
ADAM33	0	1	0	1
ADAM3A	0	0	0	0
ADAM5	0	0	0	0
ADAM6	0	0	0	0
ADAM7	0	0	0	0
ADAM8	7	2	43	2
ADAM9	101	225	258	60
ADAMDEC1	0	0	0	0
ADAMTS1	89	29	420	16
ADAMTS10	65	13	0	43
ADAMTS12	39	4	30	9
ADAMTS13	16	15	0	16
ADAMTS14	7	1	0	6
ADAMTS15	34	10	71	85
ADAMTS16	0	3	0	9
ADAMTS17	0	0	0	0
ADAMTS18	25	3	1	15
ADAMTS19	26	1	0	9
ADAMTS19-AS1	0	0	0	0
ADAMTS2	7	21	0	14
ADAMTS20	6	15	0	0
ADAMTS3	8	11	0	19
ADAMTS4	53	1	0	10
