enteric_50uM_OXL_1	enteric_water_1	enteric_50uM_OXL_2	enteric_water_2
CTDNEP1	580	301	871	164
CTDP1	60	33	80	13
CTDSP1	146	21	37	164
CTDSP2	93	27	346	23
CTDSPL	96	15	161	28
CTDSPL2	315	163	218	96
CTF1	4	0	0	0
CTGF	199	60	9499	113
CTGLF12P	0	0	0	0
CTH	19	5	19	8
CTHRC1	338	34	67	25
CTIF	114	48	68	31
CTLA4	0	0	0	8
CTNNA1	439	113	953	167
CTNNA2	58	66	0	95
CTNNA3	20	0	0	8
CTNNAL1	236	166	303	100
CTNNB1	863	180	1333	336
CTNNBIP1	291	74	308	31
CTNNBL1	327	170	268	94
CTNND1	412	354	211	136
CTNND2	191	171	63	183
CTNS	245	48	398	75
CTPS1	255	54	296	63
CTPS2	96	76	47	34
CTR9	559	213	152	166
CTRB1	0	0	0	0
CTRB2	0	0	0	0
CTRC	0	0	0	0
CTRL	84	29	140	56
CTSA	1204	234	990	185
CTSB	539	117	489	135
CTSC	143	26	95	33
CTSD	518	191	370	364
CTSE	3	3	0	0
CTSF	0	0	1	0
CTSG	0	0	0	0
CTSH	35	11	176	19
CTSK	46	7	44	47
CTSL	75	28	163	9
CTSL3P	0	0	0	0
CTSLP2	0	0	0	0
CTSLP8	0	0	0	0
CTSO	8	0	0	10
CTSS	52	3	5	12
CTSV	4	0	0	1
CTSW	0	0	0	0
CTSZ	31	5	74	2
CTTN	334	55	718	117
CTTNBP2	146	75	2	10
CTTNBP2NL	515	273	120	55
CTU1	205	71	70	41
CTU2	96	22	188	19
CTXN1	293	57	154	219
CTXN2	21	6	0	8
CTXN3	0	0	0	0
CUBN	13	9	0	8
CUEDC1	278	81	26	131
CUEDC2	273	71	68	93
CUL1	192	55	81	80
CUL2	62	41	1	36
CUL3	201	78	320	86
CUL4A	186	53	136	79
CUL4B	270	110	217	97
CUL5	381	153	238	170
CUL7	50	26	26	19
CUL9	165	112	24	33
CUTA	486	295	154	203
CUTC	20	15	61	16
CUX1	166	175	250	178
CUX2	10	5	0	0
CUZD1	1	1	0	3
CWC15	735	291	205	174
CWC22	238	200	148	146
CWC25	304	265	34	74
CWC27	284	160	379	144
CWF19L1	20	26	0	7
CWF19L2	566	328	106	130
CWH43	0	0	0	0
CX3CL1	17	6	0	3
CX3CR1	0	0	0	0
CXADR	257	235	3	104
CXADRP2	2	3	0	2
CXADRP3	0	0	0	0
CXCL1	3	1	0	1
CXCL10	0	1	0	0
CXCL11	0	0	0	0
CXCL12	24	3	57	74
CXCL13	6	3	0	0
CXCL14	182	35	2	3
CXCL16	22	7	0	15
CXCL17	1	2	20	0
CXCL2	0	0	0	0
CXCL3	1	2	0	0
CXCL5	1	0	0	7
CXCL6	0	0	1	0
CXCL8	2	0	1	0
CXCL9	1	0	2	0
CXCR1	0	0	0	0
CXCR2	2	0	0	4
CXCR2P1	12	0	0	0
CXCR3	10	0	0	0
CXCR4	25	104	1	46
CXCR5	198	74	258	96
CXCR6	1	0	0	0
CXorf21	0	0	0	0
CXorf23	188	120	69	55
CXorf36	0	1	0	1
CXorf38	78	35	71	25
CXorf40A	2	0	0	0
CXorf40B	4	1	5	3
CXorf49	0	0	0	0
CXorf49B	0	0	0	0
CXorf51A	0	0	0	0
CXorf51B	0	0	0	0
CXorf56	97	40	95	21
CXorf57	5	23	0	7
CXorf58	0	0	0	0
CXorf65	0	0	0	0
CXorf66	0	0	0	0
CXorf67	0	0	0	0
CXXC1	145	79	60	29
CXXC1P1	0	0	0	0
CXXC4	284	151	39	64
CXXC5	466	69	687	117
CYB561	177	67	127	47
CYB561A3	29	4	1	6
CYB561D1	106	22	40	25
CYB561D2	19	8	11	1
CYB5A	43	17	68	29
CYB5B	122	74	168	36
CYB5D1	103	24	20	10
CYB5D2	1084	69	174	19
CYB5R1	196	136	137	144
CYB5R2	40	7	1	1
CYB5R3	415	137	840	179
CYB5R4	37	16	60	4
CYB5RL	41	16	2	51
CYBA	7	0	2	1
CYBB	4	1	1	3
CYBRD1	45	9	82	12
CYC1	288	82	29	62
CYCS	3626	1747	848	748
CYCSP52	0	0	0	0
CYFIP1	68	34	246	54
CYFIP2	1083	280	305	342
CYGB	58	20	0	47
CYHR1	310	100	192	97
CYLC1	0	0	0	0
CYLC2	1	0	0	0
CYLD	161	133	47	64
CYMP	0	0	0	0
CYP11A1	0	0	0	0
CYP11B1	0	0	0	0
CYP11B2	0	0	0	0
CYP17A1	6	1	0	0
CYP19A1	0	0	0	0
CYP1A1	0	0	1	0
CYP1A2	0	0	0	3
CYP1B1	363	36	716	332
CYP1B1-AS1	0	0	0	0
CYP20A1	324	208	114	209
CYP21A1P	0	0	0	7
CYP21A2	0	0	0	0
CYP24A1	0	0	0	0
CYP26A1	0	1	0	0
CYP26B1	12	19	0	7
CYP26C1	0	1	0	0
CYP27A1	0	2	0	4
CYP27B1	0	1	0	0
CYP27C1	35	12	0	23
CYP2A13	0	0	0	0
CYP2A6	0	0	0	0
CYP2A7	0	0	0	0
CYP2B6	0	0	0	0
CYP2B7P	0	0	0	0
CYP2C18	0	0	1	0
CYP2C19	0	0	0	0
CYP2C8	0	0	0	5
CYP2C9	0	0	1	0
CYP2D6	2	9	0	0
CYP2D7	2	1	0	0
CYP2E1	1	0	0	0
CYP2F1	0	0	0	0
CYP2G1P	5	0	0	1
CYP2J2	1	0	2	0
CYP2R1	69	15	62	1
CYP2S1	11	5	16	6
CYP2U1	26	6	1	18
CYP2W1	5	0	0	0
CYP39A1	2	4	0	1
CYP3A4	1	2	0	0
CYP3A43	20	6	0	0
CYP3A5	27	6	0	0
CYP3A7	0	0	0	0
CYP3A7-CYP3A51P	0	0	0	0
CYP46A1	48	27	0	39
CYP4A11	0	0	0	0
CYP4A22	0	0	0	0
CYP4B1	0	0	0	0
CYP4F11	3	1	0	0
CYP4F12	0	0	0	0
CYP4F2	0	0	0	0
CYP4F22	0	0	0	0
CYP4F24P	0	0	0	0
CYP4F29P	0	0	0	0
CYP4F3	1	0	0	0
CYP4F30P	0	0	0	0
CYP4F35P	0	0	0	0
CYP4F62P	0	0	0	0
CYP4F8	0	0	0	0
CYP4V2	9	0	0	1
CYP4X1	3	1	0	17
CYP4Z1	0	1	0	0
CYP4Z2P	0	0	0	0
CYP51A1	309	172	569	121
CYP51A1-AS1	11	0	1	1
CYP7A1	1	8	0	0
CYP7B1	1	2	0	0
CYP8B1	0	0	0	0
CYR61	308	27	4110	30
CYS1	1	0	0	12
CYSLTR1	0	0	0	0
CYSLTR2	0	0	0	0
CYSRT1	20	0	0	0
CYSTM1	124	69	153	12
CYTH1	170	63	157	33
CYTH2	141	84	165	59
CYTH3	480	224	971	262
CYTH4	0	0	0	0
CYTIP	0	0	0	1
CYTL1	12	3	155	9
CYYR1	32	0	0	30
D21S2088E	0	0	0	0
D2HGDH	156	48	8	70
DAAM1	1298	1193	336	407
DAAM2	15	0	25	28
DAB1	16	9	0	21
DAB1-AS1	0	0	0	0
DAB2	307	65	455	148
DAB2IP	173	78	0	48
DACH1	81	36	0	71
DACH2	15	3	0	7
DACT1	47	17	72	27
DACT2	1	0	0	0
DACT3	576	262	184	318
DACT3-AS1	2	0	0	0
DAD1	380	93	104	91
DAG1	150	87	173	100
DAGLA	18	3	0	13
DAGLB	187	154	43	26
DALRD3	291	118	137	61
DANCR	127	30	48	55
DAND5	2	0	0	6
DANT2	30	37	58	44
DAO	0	0	0	0
DAOA	0	0	0	0
DAOA-AS1	0	0	0	0
DAP	253	52	175	108
DAP3	257	97	262	63
DAPK1	16	7	60	21
DAPK2	8	2	0	12
DAPK3	407	178	477	60
DAPL1	0	3	0	0
DAPP1	20	1	0	0
DARS	695	469	348	234
DARS-AS1	26	4	0	5
DARS2	85	19	0	13
DAW1	0	0	0	0
DAXX	284	50	128	31
DAZ1	0	0	0	0
DAZ2	0	0	0	0
DAZ3	0	0	0	0
DAZ4	0	0	0	0
DAZAP1	731	332	582	136
DAZAP2	259	151	232	60
DAZL	0	0	0	0
DBET	0	0	0	0
DBF4	147	88	100	36
DBF4B	12	2	0	3
DBH	5	0	0	0
DBH-AS1	4	3	0	19
DBI	596	172	166	206
DBIL5P	4	1	0	0
DBIL5P2	0	0	0	0
DBN1	1078	459	434	195
DBNDD1	126	11	0	17
DBNDD2	14	2	0	1
DBNL	298	69	94	66
DBP	24	4	0	10
DBR1	242	87	0	47
DBT	108	72	90	31
DBX1	0	0	0	0
DBX2	1	0	0	0
DCAF10	244	89	282	100
DCAF11	300	173	343	55
DCAF12	78	28	199	28
DCAF12L1	0	0	0	0
DCAF12L2	13	9	0	32
DCAF13	179	89	168	29
DCAF13P3	14	26	0	7
DCAF15	45	5	69	2
DCAF16	561	271	623	204
DCAF17	180	112	14	70
DCAF4	152	95	65	40
DCAF4L1	30	27	0	10
DCAF4L2	0	0	0	0
DCAF5	392	169	340	133
DCAF6	97	24	119	119
DCAF7	1271	887	996	387
DCAF8	546	264	133	156
DCAF8L1	0	0	0	0
DCAF8L2	0	0	0	0
DCAKD	378	206	196	231
DCANP1	0	0	0	0
DCBLD1	45	17	0	12
DCBLD2	355	56	556	53
DCC	21	92	56	33
DCD	1	0	0	1
DCDC1	0	0	0	0
DCDC2	9	1	0	3
DCDC2B	5	2	0	11
DCDC2C	0	2	0	0
DCDC5	0	1	0	16
DCHS1	267	49	154	103
DCHS2	21	7	0	35
DCK	30	9	0	4
DCLK1	506	66	57	206
DCLK2	274	179	65	93
DCLK3	17	10	0	0
DCLRE1A	8	13	2	0
DCLRE1B	37	7	95	11
DCLRE1C	109	83	2	14
DCN	611	105	1337	183
DCP1A	240	165	14	50
DCP1B	86	6	97	9
DCP2	276	125	98	90
DCPS	30	11	67	25
DCST1	0	0	0	0
DCST2	0	0	0	0
DCSTAMP	0	4	0	0
DCT	0	0	0	5
DCTD	125	34	140	47
DCTN1	1153	423	325	421
DCTN1-AS1	4	2	0	3
DCTN2	1574	1257	325	396
DCTN3	222	131	57	78
DCTN4	308	137	157	107
DCTN5	382	150	34	137
DCTN6	42	4	54	20
DCTPP1	211	78	114	29
DCUN1D1	70	22	3	65
DCUN1D2	52	27	0	12
DCUN1D3	21	1	78	2
DCUN1D4	181	97	172	66
DCUN1D5	310	135	217	82
DCX	3316	1320	123	853
DCXR	359	199	61	113
DDA1	365	145	135	106
DDAH1	156	73	694	181
DDAH2	2019	1604	173	321
DDB1	802	256	758	183
DDB2	274	53	362	32
DDC	5	0	0	0
DDC-AS1	0	0	0	0
DDHD1	128	70	179	77
DDHD2	137	98	28	37
DDI1	0	0	0	0
DDI2	16	0	0	0
DDIAS	12	0	0	1
DDIT3	501	230	237	135
DDIT4	293	159	130	40
DDIT4L	21	3	16	59
DDN	8	7	0	0
DDO	0	0	0	0
DDOST	597	257	586	184
DDR1	1284	1918	327	212
DDR2	29	9	136	7
DDRGK1	485	258	91	88
DDT	459	201	363	126
DDTL	459	201	363	126
DDX1	796	353	202	215
DDX10	510	143	366	88
DDX11	129	37	0	56
DDX11-AS1	20	0	0	0
DDX11L1	0	0	0	0
DDX11L10	0	0	0	0
DDX11L16	0	0	0	0
DDX11L2	3	2	0	0
DDX11L5	0	0	0	0
DDX11L9	0	0	0	0
DDX12P	4	1	0	0
DDX17	1751	580	1614	526
DDX18	726	352	353	138
DDX19A	338	127	206	92
DDX19B	444	152	158	38
DDX20	131	62	12	23
DDX21	4142	1776	1666	520
DDX23	267	93	54	46
DDX24	2018	947	275	380
DDX25	48	23	0	13
DDX26B	34	1	4	6
DDX26B-AS1	3	0	0	0
DDX27	890	451	495	143
DDX28	86	26	21	58
DDX31	34	15	82	26
DDX39A	215	71	230	67
DDX39B	242	163	296	96
DDX3X	1323	582	893	443
DDX3Y	0	0	0	0
DDX4	0	0	1	4
DDX41	326	120	99	48
DDX42	618	412	412	150
DDX43	0	0	0	0
DDX46	1181	385	607	324
DDX47	90	102	62	32
DDX49	518	242	312	89
DDX5	2863	1253	1534	684
DDX50	330	116	213	42
DDX51	205	161	144	30
DDX52	610	251	308	199
DDX53	0	0	0	0
DDX54	605	262	584	82
DDX55	196	156	218	40
DDX56	146	74	354	42
DDX58	39	11	3	10
DDX59	84	37	57	50
DDX6	1781	1086	802	375
DDX60	1	0	48	22
DDX60L	6	1	0	2
DEAF1	334	170	105	138
DEAR	6	0	0	0
DEC1	3	4	0	12
DECR1	67	6	91	35
DECR2	10	1	0	17
DEDD	353	90	114	41
DEDD2	263	127	74	55
DEF6	15	9	1	7
DEF8	153	54	218	69
DEFA1	0	0	0	0
DEFA10P	0	0	0	0
DEFA11P	0	0	0	0
DEFA1B	0	0	0	0
DEFA3	0	0	0	0
DEFA4	0	0	0	0
DEFA5	6	0	0	0
DEFA6	0	0	0	0
DEFA8P	0	0	0	0
DEFA9P	0	0	0	0
DEFB1	2	2	0	2
DEFB103A	0	0	0	0
DEFB103B	0	0	0	0
DEFB104A	0	0	0	0
DEFB104B	0	0	0	0
DEFB105A	0	0	0	0
DEFB105B	0	0	0	0
DEFB106A	0	0	0	0
DEFB106B	0	0	0	0
DEFB107A	0	0	0	0
DEFB107B	0	0	0	0
DEFB108B	0	0	0	0
DEFB109P1	0	0	0	0
DEFB109P1B	0	0	0	0
DEFB110	0	0	0	0
DEFB112	0	0	0	0
DEFB113	0	0	0	0
DEFB114	0	0	0	0
DEFB115	0	0	0	0
DEFB116	0	0	0	0
DEFB118	0	0	0	0
DEFB119	0	0	1	0
DEFB121	0	0	1	0
DEFB122	0	0	0	0
DEFB123	0	0	0	0
DEFB124	0	0	0	0
DEFB125	1	0	0	0
DEFB126	0	0	0	0
DEFB127	0	0	0	0
DEFB128	0	0	0	0
DEFB129	0	0	0	0
DEFB130	0	0	0	0
DEFB131	0	0	0	0
DEFB132	0	0	0	0
DEFB133	0	0	0	0
DEFB134	0	0	0	0
DEFB135	0	0	0	0
DEFB136	0	0	0	0
DEFB4A	0	0	0	0
DEFB4B	0	0	0	0
DEFT1P	0	0	0	0
DEFT1P2	0	0	0	0
DEGS1	124	19	92	93
DEGS2	0	0	0	0
DEK	1234	649	524	363
DENND1A	80	70	8	37
DENND1B	74	23	5	28
DENND1C	0	5	1	0
DENND2A	130	112	198	41
DENND2C	15	5	0	23
DENND2D	3	4	0	0
DENND3	15	0	0	0
DENND4A	99	67	33	51
DENND4B	117	89	2	42
DENND4C	207	135	126	77
DENND5A	154	53	121	58
DENND5B	212	50	60	105
DENND5B-AS1	0	0	0	0
DENND6A	74	10	107	3
DENND6B	76	7	0	5
DENR	364	75	509	142
DEPDC1	13	13	0	5
DEPDC1-AS1	0	0	0	0
DEPDC1B	20	7	1	1
DEPDC4	2	1	0	2
DEPDC5	59	24	3	30
DEPDC7	14	1	0	0
DEPTOR	0	1	0	2
DERA	12	1	0	3
DERL1	122	31	123	23
DERL2	288	251	240	113
DERL3	70	38	60	39
DES	39	9	67	73
DESI1	411	151	62	53
DESI2	79	56	148	48
DET1	21	6	0	9
DEXI	101	39	142	31
DFFA	283	85	112	40
DFFB	16	2	21	2
DFNA5	58	2	32	22
DFNB31	39	25	0	11
DFNB59	30	5	0	1
DGAT1	527	428	179	143
DGAT2	28	3	0	3
DGAT2L6	0	0	0	14
DGCR10	2	0	0	0
DGCR11	1	1	0	0
DGCR14	67	35	1	21
DGCR2	408	148	338	93
DGCR5	18	2	0	5
DGCR6	11	3	0	0
DGCR6L	56	11	14	9
DGCR8	313	189	228	87
DGCR9	1	0	0	1
DGKA	91	10	177	25
DGKB	7	6	0	26
DGKD	295	215	143	208
DGKE	287	228	99	48
DGKG	9	5	1	3
DGKH	198	45	41	39
DGKI	13	9	5	11
DGKK	0	2	0	10
DGKQ	87	28	114	35
DGKZ	314	101	157	100
DGUOK	315	174	256	41
DGUOK-AS1	5	0	14	0
DHCR24	498	390	656	377
DHCR7	76	175	157	43
DHDDS	723	83	130	106
DHDH	11	2	0	0
DHFR	27	22	0	15
DHFRL1	198	34	24	45
DHH	0	2	0	1
DHODH	25	7	0	20
DHPS	222	106	85	34
DHRS1	118	60	58	50
DHRS11	41	19	3	13
DHRS12	25	19	0	1
DHRS13	304	55	0	47
DHRS2	82	16	49	15
DHRS3	30	9	2	41
DHRS4	18	0	0	1
DHRS4-AS1	24	9	0	1
DHRS4L1	0	0	0	0
DHRS4L2	3	1	1	0
DHRS7	255	123	153	75
DHRS7B	75	32	0	9
DHRS7C	0	0	0	3
DHRS9	0	0	0	0
DHRSX	61	84	2	30
DHTKD1	236	259	49	96
DHX15	371	234	220	143
DHX16	91	30	9	19
DHX29	482	157	189	192
DHX30	450	211	222	146
DHX32	49	23	47	19
DHX33	224	70	108	61
DHX34	121	44	61	29
DHX35	23	5	18	1
DHX36	1513	1200	845	376
DHX37	123	40	121	55
DHX38	291	118	208	55
DHX40	302	244	321	162
DHX57	192	90	38	51
DHX58	4	0	0	0
DHX8	81	37	64	48
DHX9	418	281	421	116
DIABLO	1222	700	493	195
DIAPH1	480	154	708	135
DIAPH2	35	19	41	25
DIAPH2-AS1	0	7	0	0
DIAPH3	62	33	0	37
DIAPH3-AS1	3	0	0	0
DIAPH3-AS2	0	4	0	0
DICER1	629	373	183	389
DICER1-AS1	29	11	0	8
DIDO1	162	110	131	65
DIEXF	78	45	32	18
DIMT1	135	64	55	65
DIO1	0	0	0	0
DIO2	3	4	0	25
DIO2-AS1	0	0	0	0
DIO3	25	5	20	24
DIO3OS	0	0	0	0
DIP2A	226	200	16	65
DIP2A-IT1	0	1	0	0
DIP2B	197	186	8	53
DIP2C	552	305	577	331
DIRAS1	230	71	51	45
DIRAS2	29	18	0	29
DIRAS3	23	12	48	6
DIRC1	0	0	0	0
DIRC2	22	21	24	35
DIRC3	12	5	65	16
DIS3	674	510	185	74
DIS3L	58	24	61	65
DIS3L2	104	63	0	32
DISC1	10	2	1	28
DISC1-IT1	0	4	0	0
DISC1FP1	0	0	0	7
DISC2	12	3	1	13
DISP1	39	17	136	19
DISP2	96	23	0	34
DIXDC1	296	203	316	92
DKC1	1924	1098	783	348
DKFZP434A062	0	0	0	0
DKFZP434H168	28	6	0	0
DKFZP434I0714	15	5	0	9
DKFZp434J0226	3	0	0	5
DKFZP434K028	0	0	0	0
DKFZP434L187	3	0	0	0
DKFZp434L192	0	0	0	0
DKFZp451B082	0	0	0	0
DKFZP586I1420	154	83	284	120
DKFZp686K1684	0	0	0	0
DKFZp779M0652	1	0	0	0
DKK1	11	0	36	0
DKK2	533	112	184	16
DKK3	85	34	16	69
DKK4	1	0	0	0
DKKL1	18	0	0	0
DLAT	58	33	69	17
DLC1	280	58	1338	161
DLD	401	154	285	105
DLEC1	39	21	0	14
DLEU1	56	19	84	18
DLEU1-AS1	0	0	0	0
DLEU2	130	71	66	38
DLEU2L	11	8	0	6
DLEU7	1	0	0	0
DLEU7-AS1	6	0	0	0
DLG1	125	86	184	91
DLG1-AS1	1	1	0	0
DLG2	70	52	0	58
DLG3	262	107	21	36
DLG3-AS1	1	0	0	0
DLG4	962	651	526	187
DLG5	192	81	455	124
DLG5-AS1	6	1	0	2
DLGAP1	2	5	22	23
DLGAP1-AS1	13	7	32	29
DLGAP1-AS2	2	4	0	0
DLGAP1-AS3	0	2	0	8
DLGAP1-AS4	1	0	28	0
DLGAP1-AS5	14	13	0	26
DLGAP2	0	0	0	3
DLGAP2-AS1	0	0	0	0
DLGAP3	22	11	0	18
DLGAP4	500	282	194	208
DLGAP4-AS1	1	1	0	0
DLGAP5	44	54	18	43
DLK1	325	537	934	312
DLK2	28	3	1	7
DLL1	10	14	0	0
DLL3	315	107	119	28
DLL4	0	1	0	0
DLST	33	11	11	6
DLSTP1	3	0	0	3
DLX1	4	0	69	31
DLX2	3	0	46	3
DLX2-AS1	0	0	0	0
DLX3	2	0	38	3
DLX4	0	4	0	0
DLX5	2	0	0	3
DLX6	0	0	0	2
DLX6-AS1	0	0	0	0
DMAP1	472	115	189	69
DMBT1	7	0	29	2
DMBT1P1	9	0	0	13
DMBX1	17	6	0	0
DMC1	11	5	0	0
DMD	34	59	0	140
DMGDH	0	0	0	0
DMKN	37	5	49	26
DMP1	0	0	0	0
DMPK	16	7	26	20
DMRT1	5	0	0	0
DMRT2	0	0	0	0
DMRT3	0	0	0	0
DMRTA1	15	0	34	1
DMRTA2	0	0	0	0
DMRTB1	0	0	0	0
DMRTC1	0	0	0	0
DMRTC1B	0	0	0	0
DMRTC2	0	0	0	0
DMTF1	465	403	210	147
DMTN	165	74	0	72
DMWD	210	91	259	90
DMXL1	194	112	185	110
DMXL2	230	145	2	110
DNA2	32	8	0	0
DNAAF1	124	33	1	19
DNAAF2	27	1	76	3
DNAAF3	13	0	0	9
DNAAF5	42	11	111	9
DNAH1	5	11	0	12
DNAH10	16	7	1	0
DNAH11	41	18	0	27
DNAH12	32	45	0	14
DNAH14	263	81	286	79
DNAH17	1	6	1	0
DNAH17-AS1	8	5	0	0
DNAH2	18	7	0	0
DNAH3	0	0	0	0
DNAH5	0	3	0	0
DNAH6	6	3	0	0
DNAH7	9	4	0	8
DNAH8	1	2	0	10
DNAH9	0	0	0	0
DNAI1	2	0	0	0
DNAI2	0	0	0	0
DNAJA1	1035	352	293	148
DNAJA1P5	0	0	0	0
DNAJA2	513	339	182	127
DNAJA3	77	20	184	13
DNAJA4	18	6	29	25
DNAJB1	707	453	159	131
DNAJB11	479	332	375	129
DNAJB12	74	23	81	71
DNAJB13	6	0	0	0
DNAJB14	110	84	97	58
DNAJB2	607	376	441	77
DNAJB3	0	0	0	0
DNAJB4	70	18	114	31
DNAJB5	80	52	34	0
DNAJB5-AS1	0	0	0	0
DNAJB6	420	66	713	110
DNAJB7	7	1	0	15
DNAJB8	0	0	0	0
DNAJB8-AS1	0	0	0	0
DNAJB9	77	21	143	28
DNAJC1	360	296	162	121
DNAJC10	523	243	633	204
DNAJC11	162	44	194	96
DNAJC12	49	51	1	29
DNAJC13	350	113	140	82
DNAJC14	79	32	91	4
DNAJC15	20	2	28	22
DNAJC16	146	100	135	69
DNAJC17	27	15	0	12
DNAJC18	761	475	236	105
DNAJC19	61	25	186	35
DNAJC2	621	335	401	147
DNAJC21	713	386	364	112
DNAJC22	5	5	0	5
DNAJC24	170	82	119	20
DNAJC25	177	147	24	29
DNAJC25-GNG10	165	30	356	96
DNAJC27	77	85	1	24
DNAJC27-AS1	26	4	0	13
DNAJC28	13	3	0	0
DNAJC3	300	103	162	126
DNAJC3-AS1	113	23	0	54
DNAJC30	120	24	51	26
DNAJC4	131	79	133	84
DNAJC5	829	455	381	170
DNAJC5B	0	0	0	0
DNAJC5G	4	0	0	2
DNAJC6	96	28	29	59
DNAJC7	910	402	649	386
DNAJC8	1075	303	518	178
DNAJC9	133	25	250	55
DNAJC9-AS1	22	0	0	31
DNAL1	112	70	0	66
DNAL4	164	37	169	56
DNALI1	153	64	206	26
DNASE1	231	132	138	78
DNASE1L1	25	24	0	1
DNASE1L2	16	3	0	3
DNASE1L3	0	0	0	0
DNASE2	47	94	0	6
DNASE2B	4	0	0	0
DND1	0	2	0	4
DNER	265	299	1	237
DNHD1	15	25	0	12
DNLZ	215	113	18	91
DNM1	323	239	37	163
DNM1L	499	246	188	138
DNM1P35	0	1	0	6
DNM1P41	0	0	0	0
DNM1P46	0	0	0	0
DNM2	119	63	229	41
DNM3	189	153	70	217
DNM3-IT1	5	0	0	0
DNM3OS	281	90	810	330
DNMBP	34	17	0	9
DNMBP-AS1	17	2	0	0
DNMT1	527	215	330	158
DNMT3A	797	254	108	249
DNMT3B	153	74	152	35
DNMT3L	0	0	0	0
DNPEP	161	53	218	20
DNPH1	68	10	24	23
DNTT	0	0	0	0
DNTTIP1	134	38	45	48
DNTTIP2	554	286	258	91
DOC2A	481	145	52	134
DOC2B	0	0	0	0
DOC2GP	0	0	0	0
DOCK1	157	60	177	130
DOCK10	45	4	26	43
DOCK11	16	16	1	29
DOCK2	0	1	20	1
DOCK3	59	22	0	42
DOCK4	50	50	182	45
DOCK4-AS1	7	1	0	8
DOCK5	14	7	80	20
DOCK6	116	171	51	18
DOCK7	152	73	89	75
DOCK8	4	0	1	0
DOCK9	29	13	0	13
DOCK9-AS1	0	0	0	0
DOCK9-AS2	7	0	0	0
DOHH	321	82	3	90
DOK1	45	13	48	14
DOK2	16	0	0	0
DOK3	16	0	0	0
DOK4	700	141	207	116
DOK5	11	16	0	9
DOK6	149	25	0	68
DOK7	0	0	0	0
DOLK	52	6	61	20
DOLPP1	121	47	123	15
DONSON	254	170	40	41
DOPEY1	155	89	149	47
DOPEY2	47	10	7	24
DOT1L	205	149	174	13
DPAGT1	181	80	214	39
DPCD	377	107	132	130
DPCR1	117	75	34	22
DPEP1	5	0	1	0
DPEP2	0	0	0	0
DPEP3	5	0	0	0
DPF1	1639	1622	101	160
DPF2	316	136	204	51
DPF3	64	64	0	10
DPH1	614	169	290	114
DPH2	57	32	98	6
DPH3	130	35	97	46
DPH3P1	43	8	0	34
DPH5	93	49	83	48
DPH6	8	15	0	12
DPH6-AS1	0	3	0	0
DPH7	91	54	164	20
DPM1	105	46	20	45
DPM2	106	27	37	10
DPM3	260	99	164	91
DPP10	16	9	1	16
DPP10-AS1	6	0	0	0
DPP10-AS3	0	0	0	0
DPP3	192	81	471	17
DPP4	18	8	1	0
DPP6	13	174	1	127
DPP7	284	113	69	35
DPP8	116	52	205	114
DPP9	101	32	23	66
DPP9-AS1	0	0	0	0
DPPA2	0	0	0	0
DPPA2P3	0	0	0	0
DPPA3	0	0	0	0
DPPA4	32	10	65	19
DPPA5	0	0	0	0
DPRX	0	1	0	0
DPRXP4	1	0	0	0
DPT	0	2	0	0
DPY19L1	30	28	21	13
DPY19L1P1	39	12	0	2
DPY19L2	8	0	0	0
DPY19L2P1	0	0	0	0
DPY19L2P2	27	12	0	0
DPY19L2P3	0	0	0	0
DPY19L2P4	0	0	0	0
DPY19L3	136	126	109	94
DPY19L4	48	20	203	21
DPY30	135	43	95	31
DPYD	6	1	0	6
DPYD-AS1	3	0	0	0
DPYD-AS2	3	0	0	0
DPYS	0	0	0	0
DPYSL2	889	551	124	351
DPYSL3	2360	708	384	627
DPYSL4	260	84	60	89
DPYSL5	438	244	1	175
DQX1	4	0	0	0
DR1	204	103	468	50
DRAIC	2	9	0	9
DRAM1	84	10	57	4
DRAM2	33	15	29	7
DRAP1	641	169	345	146
DRAXIN	49	71	0	19
DRC1	0	2	0	11
DRC7	0	0	0	0
DRD1	0	0	0	0
DRD2	10	0	0	0
DRD3	0	0	0	0
DRD4	22	35	0	0
DRD5	0	0	0	0
DRD5P2	0	0	0	0
DRG1	1071	555	177	171
DRG2	107	40	82	22
DRGX	0	0	0	0
DRICH1	0	0	0	0
DROSHA	358	199	306	101
DRP2	25	22	0	20
DSC1	0	0	0	0
DSC2	2	6	49	1
DSC3	11	1	78	8
DSCAM	17	22	0	19
DSCAM-AS1	0	0	0	0
DSCAM-IT1	7	0	0	0
DSCAML1	5	2	0	1
DSCAS	0	0	0	0
DSCC1	22	4	33	30
DSCR10	0	0	0	0
DSCR3	72	70	20	4
DSCR4	0	0	0	0
DSCR8	0	0	0	0
DSCR9	4	0	0	0
DSE	144	14	86	50
DSEL	296	91	559	45
DSG1	1	0	0	0
DSG1-AS1	0	0	0	0
DSG2	26	13	0	28
DSG2-AS1	7	3	0	1
DSG3	0	0	0	0
DSG4	2	0	0	6
DSN1	47	18	0	2
DSP	249	43	1771	38
DSPP	3	0	0	0
DST	1412	563	824	957
DSTN	1396	545	775	406
DSTNP2	22	34	32	10
DSTYK	553	239	233	107
DTD1	116	31	32	16
DTD2	55	15	64	30
DTHD1	0	0	0	0
DTL	76	25	36	49
DTNA	288	233	60	57
DTNB	65	51	1	41
DTNBP1	252	41	227	58
DTWD1	65	19	36	16
DTWD2	2	1	0	13
