enteric_water_1	sensory_water_1	enteric_water_2	sensory_water_2
ABCA11P	0	6.96321380098779	2.97628272485382	0
ABCA12	3.86089444933592	26.4602124437536	13.8893193826512	19.834337886988
ABCA13	3.86089444933592	0	0	5.78501521703816
ABCA17P	0	0	0	0
ABCA2	38.6089444933592	29.2454979641487	44.6442408728073	31.4043683210643
ABCA3	35.5202289338904	83.5585656118534	86.3121990207608	66.9408903685844
ABCA4	0	0	0	0.826430745291165
ABCA5	61.7743111893747	18.1043558825682	38.6916754230997	40.4951065192671
ABCA6	0	0	1.98418848323588	0
ABCA7	15.4435777973437	1.39264276019756	10.9130366577973	19.834337886988
ABCA8	0	6.96321380098779	1.98418848323588	20.6607686322791
ABCA9	0	0	5.95256544970764	0
ABCA9-AS1	0	0	0	0
ABCB1	0	0	0	0
ABCB10	3.86089444933592	0	0.99209424161794	0.826430745291165
ABCB11	0	0	0	0.826430745291165
ABCB4	2.31653666960155	2.78528552039511	0.99209424161794	2.4792922358735
ABCB5	0	0	1.98418848323588	0
ABCB6	160.613209092374	34.8160690049389	102.185706886648	123.138181048384
ABCB7	50.1916278413669	111.411420815805	38.6916754230997	9.09073819820282
ABCB8	6.94961000880465	32.0307834845438	42.6600523895714	18.1814763964056
ABCB9	31.6593344845545	11.1411420815805	26.7865445236844	24.792922358735
ABCC1	3.08871555946873	0	9.9209424161794	13.2228919246586
ABCC10	6.17743111893747	32.0307834845438	7.93675393294352	9.09073819820282
ABCC11	0	0	0	0
ABCC12	0	0	0	0
ABCC13	0.772178889867184	25.067569683556	0	10.7435996887851
ABCC2	0	0	10.9130366577973	0
ABCC3	0	0	0	0.826430745291165
ABCC4	3.86089444933592	1.39264276019756	21.8260733155947	1.65286149058233
ABCC5	31.6593344845545	19.4969986427658	58.5335602554585	76.0316285667872
ABCC5-AS1	8.49396778853902	0	0	0
ABCC6	0	0	0	2.4792922358735
ABCC6P1	0	0	0	7.43787670762049
ABCC6P2	0	0	0	0
ABCC8	1.54435777973437	0	9.9209424161794	7.43787670762049
ABCC9	1.54435777973437	0	11.9051308994153	10.7435996887851
ABCD1	2.31653666960155	0	1.98418848323588	0
ABCD2	0	0	0	10.7435996887851
ABCD3	6.94961000880465	68.2394952496803	57.5414660138405	42.9743987551406
ABCD4	15.4435777973437	0	3.96837696647176	28.9250760851908
ABCE1	90.3449301144605	41.7792828059267	69.4465969132558	68.5937518591667
ABCF1	891.866617796597	1302.12098078472	484.141989909555	404.12463444738
ABCF2	50.1916278413669	52.9204248875072	34.7232984566279	51.2387062080522
ABCF3	33.9758711541561	79.3806373312607	34.7232984566279	38.8422450286848
ABCG1	7.72178889867183	0	13.8893193826512	1.65286149058233
ABCG2	186.095112457991	40.3866400457292	108.138272336356	81.8166437838253
ABCG4	0	0	9.9209424161794	0
ABCG5	1.54435777973437	1.39264276019756	0	0
ABCG8	0	0	0	0
ABHD1	39.3811233832264	15.3190703621731	12.8972251410332	24.792922358735
ABHD10	77.2178889867183	58.4909959282974	37.6995811814817	60.329444406255
ABHD11	30.8871555946873	20.8896414029634	53.5730890473688	24.792922358735
ABHD11-AS1	0	0	0	0
ABHD12	41.6976600528279	51.5277821273096	31.7470157317741	47.9329832268876
ABHD12B	11.5826833480078	0	0	0
ABHD13	15.4435777973437	9.7484993213829	5.95256544970764	7.43787670762049
ABHD14A	12.3548622378749	19.4969986427658	67.4624084300199	10.7435996887851
ABHD14A-ACY1	3.86089444933592	9.7484993213829	17.8576963491229	4.95858447174699
ABHD14B	81.0787834360543	86.3438511322485	33.73120421501	139.666795954207
ABHD15	1.54435777973437	0	10.9130366577973	5.78501521703816
ABHD16A	13.8992200176093	6.96321380098779	24.8023560404485	21.4871993775703
ABHD16B	1.54435777973437	0	10.9130366577973	0
ABHD17A	6.17743111893747	0	2.97628272485382	0.826430745291165
ABHD17B	51.7359856211013	116.981991856595	4.9604712080897	8.26430745291165
ABHD17C	82.6231412157886	154.583346381929	162.703455625342	88.4280897461547
ABHD2	70.2682789779137	51.5277821273096	135.916911101658	138.013934463625
ABHD3	0.772178889867184	0	8.92884817456146	0
ABHD4	10.0383255682734	0	10.9130366577973	0.826430745291165
ABHD5	116.599012369945	192.184700907263	77.3833508461994	31.4043683210643
ABHD6	1.54435777973437	1.39264276019756	13.8893193826512	2.4792922358735
ABHD8	64.0908478589762	164.331845703312	30.7549214901562	71.0730440950402
ABI1	40.9254811629607	44.5645683263218	46.6284293560432	42.9743987551406
ABI2	290.339262590061	126.730491177978	156.750890175635	167.765441294107
ABI3	0	0	0	0.826430745291165
ABI3BP	15.4435777973437	47.3498538467169	13.8893193826512	0
ABL1	57.9134167400388	64.0615669690876	101.19361264503	131.402488501295
ABL2	191.500364687062	91.9144221730388	55.5572775306047	86.7752282555723
ABLIM1	78.7622467664527	115.589349096397	250.999843129339	141.319657444789
ABLIM2	0	0	9.9209424161794	6.61144596232932
ABLIM3	14.6713989074765	40.3866400457292	92.2647644704685	76.0316285667872
ABO	0	1.39264276019756	0	0
ABR	32.4315133744217	16.7117131223707	31.7470157317741	28.9250760851908
ABRA	0	0	0	0
ABRACL	30.8871555946873	4.17792828059267	4.9604712080897	28.0986453398996
ABT1	27.7984400352186	19.4969986427658	16.865602107505	65.288028878002
ABTB1	3.08871555946873	26.4602124437536	16.865602107505	21.4871993775703
ABTB2	3.08871555946873	20.8896414029634	10.9130366577973	42.9743987551406
ACAA1	37.0645867136248	51.5277821273096	31.7470157317741	33.8836605569378
