	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ZC3H15	1617.38829117911	-0.868415290891609	0.754858472140054	-1.15043458203445	0.249964923594684	0.99949478450834
ZC3H18	430.876132584996	-0.497788275334695	0.771779212425627	-0.644987928309439	0.518935008670571	0.99949478450834
ZC3H3	53.2420449623128	-2.72255067382067	1.51305920797727	-1.79936823322354	0.0719604511351106	0.99949478450834
ZC3H4	101.982718670163	-0.588382237657466	0.959175152877361	-0.613425228846285	0.539595208575302	0.99949478450834
ZC3H6	183.799974204267	-1.06822703916166	1.27680664032547	-0.836639633147083	0.402795160724907	0.99949478450834
ZC3H7A	187.372053167788	0.873852374181082	0.877869941778488	0.995423504774218	0.319530331485804	0.99949478450834
ZC3H7B	58.3470543626253	0.556622412877587	1.05521209511701	0.52749813563866	0.597847710771508	0.99949478450834
ZC3H8	80.3233630262421	0.498950049616835	1.11782541634393	0.446357760632021	0.655338839153038	0.99949478450834
ZC3HAV1	52.3389052113179	-1.02759329170628	1.61972548069101	-0.634424353976263	0.525803920001308	0.99949478450834
ZC3HAV1L	0.791260418484056	-0.0428650100453904	4.8558568365252	-0.00882748637129592	0.992956776387062	NA
ZC3HC1	74.2342402205171	1.03401485284161	0.993771608708842	1.04049546573891	0.298109769553751	0.99949478450834
ZC4H2	131.510946522432	0.281924241977086	0.870943812179895	0.323699689962152	0.746165405603525	0.99949478450834
ZCCHC10	92.4751972724102	-1.16125628291677	1.10759096736149	-1.04845228711382	0.294430274079897	0.99949478450834
ZCCHC11	259.598263691378	-0.757417796901987	0.785282991907514	-0.964515728351839	0.334787426772956	0.99949478450834
ZCCHC12	7.89975869649085	0.0733110568266481	2.63495840042097	0.0278224721934645	0.977803742680392	NA
ZCCHC13	0	NA	NA	NA	NA	NA
ZCCHC14	32.0092150428957	1.44284965779161	1.35291559008019	1.0664742637093	0.286209306661626	0.99949478450834
ZCCHC16	0	NA	NA	NA	NA	NA
ZCCHC17	201.874102106	-0.615371246900537	0.880901399832317	-0.698569950073499	0.484820828720493	0.99949478450834
ZCCHC18	2.14612181558107	4.02032349175551	4.80173314759232	0.837265080790959	0.402443582707549	NA
ZCCHC2	119.002049143135	0.408480832348587	0.880941928464616	0.463686446461373	0.642872409080093	0.99949478450834
ZCCHC24	105.924704769256	-0.654945533159198	1.12654026983591	-0.581377826160263	0.56098583855779	0.99949478450834
ZCCHC3	177.885274819157	1.55798811130851	0.907548728024352	1.71669912942317	0.086034159310323	0.99949478450834
ZCCHC4	12.4695791487316	-0.552760002230825	1.84281943650411	-0.299953425322792	0.764212681899067	NA
ZCCHC5	0	NA	NA	NA	NA	NA
ZCCHC6	255.458954388857	-0.00780314238433752	0.845902898358634	-0.00922463133709379	0.992639913460167	0.99949478450834
ZCCHC7	92.8206758896654	-0.492975791602999	0.923525249934839	-0.533797848664973	0.593481402361853	0.99949478450834
ZCCHC8	59.6592032222311	0.727674241245418	1.06086410024195	0.685925974005017	0.492759790110355	0.99949478450834
ZCCHC9	58.4776786600503	0.703992512765189	1.07637881619138	0.654037874190211	0.513087405004074	0.99949478450834
ZCRB1	594.591150851352	-0.20657043162996	0.704133733338393	-0.293368179721459	0.769240744872482	0.99949478450834
ZCWPW1	26.7991785234748	-1.50359367109788	1.79057934985299	-0.839724679736382	0.401062773034478	0.99949478450834
ZCWPW2	4.3277927246692	-0.397834895312608	3.33564152329683	-0.119267880716211	0.905063129305543	NA
ZDBF2	225.021620616827	-1.30670909207787	0.788701741748115	-1.65678484388994	0.0975629822854689	0.99949478450834
ZDHHC1	8.03920366303906	-1.00492754255449	2.60672382647932	-0.385513621483928	0.699856916429611	NA
ZDHHC11	1.38884556636991	0.258452549923458	4.73838669772792	0.0545444191052173	0.956501419911577	NA
ZDHHC12	5.69940657685979	-3.30724824430664	2.90315433736579	-1.13919132777057	0.254623361880818	NA
ZDHHC13	2.02885953627566	-2.08615161701123	4.70943863662442	-0.442972459772087	0.657785654980237	NA
ZDHHC14	46.422722065675	-4.26857815589869	1.52063796293869	-2.80709692900834	0.00499901972053198	0.46267850213416
ZDHHC15	16.2838840787064	-0.236948793053806	2.09176857714446	-0.113276772412975	0.90981113162685	0.99949478450834
ZDHHC16	37.9716579955817	-0.714924526903282	1.26700640716455	-0.564262755784493	0.572575324328309	0.99949478450834
ZDHHC17	72.3546898601778	0.338321300448128	0.998266619405487	0.338908758313099	0.734678466329408	0.99949478450834
ZDHHC18	37.8285936998509	-0.262742875692857	1.72348382327179	-0.152448704272766	0.878833045503749	0.99949478450834
ZDHHC19	0	NA	NA	NA	NA	NA
ZDHHC2	7.89975869649085	0.0733110568266481	2.63495840042097	0.0278224721934645	0.977803742680392	NA
ZDHHC20	94.6244124836569	1.90891981827541	1.0694801689787	1.78490436161929	0.0742768310810291	0.99949478450834
ZDHHC21	117.535325759159	-0.205039252577407	0.916096916598645	-0.223818297892206	0.822898691472034	0.99949478450834
ZDHHC22	49.4619099896515	-1.20076453599946	1.42033156665429	-0.845411426592427	0.397881166881067	0.99949478450834
ZDHHC23	1.13618213766057	3.1075956743138	4.81665842693961	0.645176676206267	0.51881269909889	NA
ZDHHC24	14.8107565573353	2.19679094695551	1.84102208126061	1.19324530070345	0.232773317886432	0.99949478450834
ZDHHC3	124.734160850995	0.100896386757779	0.894675633838708	0.112774264707391	0.910209521946504	0.99949478450834
ZDHHC4	109.491684041972	-0.0764832231896593	0.940122634460936	-0.0813545173641252	0.935160019043403	0.99949478450834
ZDHHC5	119.298411085503	2.08982616925271	0.974681844620459	2.14411110742141	0.0320239852916301	0.99949478450834
ZDHHC6	49.9447815931186	0.872817956745429	1.10717916912192	0.78832584742146	0.430506132471358	0.99949478450834
ZDHHC7	99.051065656554	1.20753718977935	0.932657051693507	1.29472798987229	0.195414080778021	0.99949478450834
ZDHHC8	12.6805869516066	0.251613138164434	1.87878717092516	0.133923172383881	0.893463326432101	0.99949478450834
ZDHHC8P1	11.4012774368566	0.18443386974582	2.36862656709067	0.0778653217473432	0.937935184865173	NA
ZDHHC9	677.32257225678	-0.544985950066721	0.715197864018784	-0.762007239513243	0.446055683371829	0.99949478450834
ZEB1	399.946693403148	-0.670711767471928	0.769452539227585	-0.871673993233191	0.38338625181344	0.99949478450834
ZEB1-AS1	16.486711946388	0.985019676029219	1.72754116209427	0.570185936892582	0.568551593334046	0.99949478450834
ZEB2	484.316700095523	-0.873126651060294	0.732784057841836	-1.19151971405026	0.233449622129286	0.99949478450834
ZEB2-AS1	63.2205561637763	-2.66304523674634	1.45980336401815	-1.82424928068136	0.0681143943736234	0.99949478450834
ZER1	79.3319603824891	-1.15564267265115	1.00218112945492	-1.15312755218181	0.248858034280806	0.99949478450834
ZFAND1	75.5916530933351	-0.0510279709337452	1.02796764137757	-0.049639666541802	0.960409536250686	0.99949478450834
ZFAND2A	207.802869167239	-0.276624431494207	0.85585940963585	-0.323212467351273	0.746534339633041	0.99949478450834
ZFAND2B	83.8168121459889	0.224703804382577	1.06174584643209	0.211636151097435	0.83239090360858	0.99949478450834
ZFAND3	147.203039148268	1.6377467301565	0.950816694253252	1.72246316251604	0.0849856503501015	0.99949478450834
ZFAND4	14.7143872393172	-0.603860837541555	2.17176271059933	-0.278051020304566	0.780973193762825	0.99949478450834
ZFAND5	394.804196647451	-0.625561746352947	0.851268725539349	-0.734858133025623	0.462425898477998	0.99949478450834
ZFAND6	108.637635352197	0.769228888668695	0.950531153353162	0.809262154065238	0.418364370398013	0.99949478450834
ZFAS1	481.964673097338	0.313995226546216	0.734714245149173	0.427370543880586	0.669109458630998	0.99949478450834
ZFAT	9.49601756795477	-2.51360140869627	2.38801211921176	-1.05259156286274	0.292528225706845	NA
ZFAT-AS1	0.126242459740063	0.200948896083963	4.97920500414504	0.0403576265521662	0.967808011819682	NA
ZFC3H1	191.69058117867	-0.386245876452934	0.854147164694487	-0.452200618837256	0.651124462415995	0.99949478450834
ZFHX2	26.9065680761994	0.0190429480017409	1.8608304677855	0.010233574917979	0.991834931087284	0.99949478450834
ZFHX3	1172.71054413598	-0.641588791892132	0.727706722074911	-0.881658465463627	0.377961528172695	0.99949478450834
ZFHX4	1201.3971996469	-0.784435055212012	0.772105603816852	-1.01596860757675	0.309644335829674	0.99949478450834
ZFHX4-AS1	9.85309778761981	-1.16290051538338	2.47771541321742	-0.469343859742677	0.638823869655081	NA
ZFP1	39.1952753177991	0.0875067909406113	1.23969085375709	0.0705875909912598	0.94372598673099	0.99949478450834
ZFP14	49.6318819391715	0.295522131341552	1.12993752147815	0.261538470689033	0.793677286261774	0.99949478450834
ZFP2	0.88369721818044	2.74785005145154	4.82564027013822	0.569427039237807	0.569066371385818	NA
ZFP28	30.7546151188047	-0.919472659605855	1.76653862725789	-0.520493945288422	0.602719346848147	0.99949478450834
ZFP3	2.20968931852415	-1.31252570806655	4.67306078449093	-0.280870668839275	0.778809598299413	NA
ZFP30	23.3438024528705	-1.93535251349991	1.82416659790936	-1.06095162345258	0.28871188679892	0.99949478450834
ZFP36	13.2500212278006	-1.3748943426517	2.17003381823538	-0.633581988952474	0.526353658143199	0.99949478450834
ZFP36L1	1281.94986594863	-0.261059505555728	0.700432387308328	-0.372711928069098	0.709362857819076	0.99949478450834
ZFP36L2	189.903502659498	1.30784073815169	1.00545841887667	1.30074075028668	0.193347208729197	0.99949478450834
ZFP37	22.920197039346	0.556844103857661	1.64050218259869	0.339435149653732	0.734281943046803	0.99949478450834
ZFP41	17.0372950200025	-0.35672686436575	2.05714710725816	-0.173408534133083	0.862330317460128	0.99949478450834
ZFP42	2.47519823558321	-5.35827339009554	4.81673815237852	-1.1124277925404	0.265954260452701	NA
ZFP57	0	NA	NA	NA	NA	NA
ZFP62	121.9967847691	-0.289354583083804	0.887067341498011	-0.326192352651789	0.744278826954849	0.99949478450834
ZFP64	39.4439582176807	0.788501276543518	1.19288900032662	0.661001380956335	0.5086114279533	0.99949478450834
ZFP69	6.96001004966528	0.598609351594342	2.50544147095645	0.238923702083459	0.811164746128336	NA
ZFP69B	15.6188661199624	-0.217878212417397	2.1155635437524	-0.102988261950735	0.91797228701999	0.99949478450834
ZFP82	16.1673358363179	-2.02379990439095	2.01546457726535	-1.00413568525075	0.31531321697937	0.99949478450834
ZFP90	135.7155238542	0.479834547946578	0.85098720829881	0.563856357965479	0.572851893118866	0.99949478450834
ZFP91	635.274255709921	-0.191738518031284	0.707799242375167	-0.270893929453591	0.786472614118245	0.99949478450834
ZFP91-CNTF	249.00094647754	0.0333348659808173	0.793044959166627	0.042034017864318	0.966471579738098	0.99949478450834
ZFP92	0	NA	NA	NA	NA	NA
ZFPL1	37.1940557499711	-0.531162223927558	1.25670214926947	-0.42266357564227	0.672540734464242	0.99949478450834
ZFPM1	48.549268415156	0.0262071078176583	1.13945277865424	0.0229997313698338	0.981650487229243	0.99949478450834
ZFPM2	8.80050911962139	2.77008396992166	2.4781086758018	1.11782182798153	0.263643096977861	NA
ZFPM2-AS1	0.126242459740063	0.200948896083963	4.97920500414504	0.0403576265521662	0.967808011819682	NA
ZFR	394.527107710307	-0.478343799019134	0.735568918710126	-0.650304528714923	0.515495532366816	0.99949478450834
ZFR2	38.8538363365014	-0.927525652380213	1.54652049130468	-0.599749992059744	0.548672865588976	0.99949478450834
ZFX	72.6611503858	-1.50321125704143	1.0858475114249	-1.38436681138482	0.166246165887639	0.99949478450834
ZFX-AS1	3.51472124717389	-2.53458589724619	3.53128014221716	-0.717752711529373	0.472909775587972	NA
ZFY	0	NA	NA	NA	NA	NA
ZFYVE1	99.8239951223356	0.0253644983776049	0.911674523196286	0.0278218791161107	0.977804215704543	0.99949478450834
ZFYVE16	172.270739419132	0.0364852513458228	0.822897880945013	0.0443375201111507	0.964635364344392	0.99949478450834
ZFYVE19	52.309966994747	0.586438755107264	1.27542196146419	0.459799793970954	0.645659931117194	0.99949478450834
ZFYVE21	75.9086513876892	0.268675284913777	0.974368160118388	0.27574308758317	0.78274539897063	0.99949478450834
ZFYVE26	17.4456057328929	-0.460291949769266	2.04304501960527	-0.22529701761452	0.821748219635434	0.99949478450834
ZFYVE27	198.471574048514	-0.103662437180117	0.892258319676544	-0.116179849371084	0.907510006468261	0.99949478450834
ZFYVE28	3.82179348916244	-1.71593074739247	3.46627384908965	-0.495036117196316	0.620574626172913	NA
ZFYVE9	77.5250699265092	0.0646564564164982	1.0296045473864	0.0627973687379544	0.949927861178414	0.99949478450834
ZG16	0.378727379220189	1.54123088655209	4.87836435967549	0.315931892929501	0.752054203721473	NA
ZG16B	3.00123758152748	4.49419011450161	4.27415561055435	1.05148022767442	0.293038085786355	NA
