enteric_50uM_OXL_1	enteric_water_1	enteric_50uM_OXL_2	enteric_water_2
ABHD1	41.4075267947406	64.4018624088124	0	21.4517180417211
ABHD10	125.232520062142	126.278161585907	110.795876531755	62.7050219681079
ABHD11	45.4472855064226	50.5112646343627	16.9154009972145	89.1071364809954
ABHD11-AS1	0	0	0	0
ABHD12	51.5069235739456	68.1902072563896	28.7561816952646	52.8042290257751
ABHD12B	0.504969838960251	18.941724237886	0	0
ABHD13	29.7932204986548	25.2556323171813	27.9104116454039	9.90079294233282
ABHD14A	25.7534617869728	20.2045058537451	0	112.208986679772
ABHD14A-ACY1	16.6640046856883	6.31390807929533	20.2984811966574	29.7023788269985
ABHD14B	89.3796614959645	132.592069665202	0.845770049860724	56.104493339886
ABHD15	13.1292158129665	2.52556323171813	57.5123633905292	18.1514537276102
ABHD16A	39.8926172778599	22.7300690854632	7.61193044874652	41.2533039263868
ABHD16B	3.53478887272176	2.52556323171813	0	18.1514537276102
ABHD17A	7.06957774544352	10.1022529268725	13.5323207977716	4.95039647116641
ABHD17B	63.1212298700314	84.6063682625575	1.69154009972145	8.25066078527735
ABHD17C	116.143062960858	135.11763289692	0.845770049860724	270.621673757097
ABHD2	114.628153443977	114.913127043175	235.124073861281	226.068105516599
ABHD3	4.03975871168201	1.26278161585907	4.22885024930362	14.8511894134992
ABHD4	16.159034846728	16.4161610061679	80.3481547367688	18.1514537276102
ABHD5	136.846826358228	190.680023994719	49.9004329417827	128.710308250327
ABHD6	17.6739443636088	2.52556323171813	0	23.1018501987766
ABHD8	94.9343297245273	104.810874116303	0.845770049860724	51.1540968687196
ABI1	64.6361393869122	66.9274256405305	48.2088928420613	77.5562113816071
ABI2	325.705546129362	474.805887563009	101.492405983287	260.720880814764
ABI3	0	0	0	0
ABI3BP	18.1789142025691	25.2556323171813	16.0696309473538	23.1018501987766
ABL1	137.351796197188	94.70862118943	369.601511789136	168.313480019658
ABL2	248.950130607404	313.169840733048	345.919950393036	92.4074007951064
ABLIM1	264.099225776211	128.803724817625	307.860298149304	417.483435735034
ABLIM2	12.6242459740063	0	0	16.5013215705547
ABLIM3	44.9423156674624	23.9928507013223	0	153.462290606159
ABO	0	0	0.845770049860724	0
ABR	49.9920140570649	53.0368278660808	63.4327537395543	52.8042290257751
ABRA	0	0	0	0
ABRACL	65.6460790648327	50.5112646343627	55.8208232908078	8.25066078527735
ABT1	80.7951742336402	45.4601381709264	82.0396948364902	28.052246669943
ABTB1	9.59442694024478	5.05112646343627	27.0646415955432	28.052246669943
ABTB2	18.1789142025691	5.05112646343627	0	18.1514537276102
ACAA1	66.6560187427532	60.6135175612352	0	52.8042290257751
ACAA2	45.9522553453829	46.7229197867855	124.328197329526	92.4074007951064
ACACA	121.19276135046	154.059357134806	144.626678526184	235.968898458932
ACACB	0.504969838960251	5.05112646343627	0	21.4517180417211
ACAD10	26.2584316259331	31.5695403964767	16.0696309473538	47.8538325546087
ACAD11	117.657972477739	135.11763289692	72.7362242880223	70.9556827533852
ACAD8	7.57454758440377	35.3578852440539	0	6.60052862822188
ACAD9	85.8448726232428	46.7229197867855	54.1292831910863	92.4074007951064
ACADL	0	0	0	0
ACADM	104.528756664772	53.0368278660808	94.7262455844011	168.313480019658
ACADS	61.6063203531507	61.8762991770943	0.845770049860724	24.7519823558321
ACADSB	36.8627982440984	42.9345749392083	25.3731014958217	59.4047576539969
ACADVL	90.8945710128453	160.373265214101	139.552058227019	153.462290606159
ACAN	4.54472855064226	3.7883448475772	0.845770049860724	127.060176093271
ACAP1	9.59442694024478	15.1533793903088	16.0696309473538	21.4517180417211
ACAP2	120.18282167254	207.096185000887	94.7262455844011	198.015858846656
ACAP3	52.5168632518661	21.4672874696041	0	28.052246669943
ACAT1	40.3975871168201	18.941724237886	29.6019517451253	47.8538325546087
ACAT2	469.116980394074	757.66896951544	660.546408941225	523.091893786584
ACBD3	568.091068830283	1184.4891556758	267.263335755989	326.726167096983
ACBD4	35.3478887272176	1.26278161585907	0	19.8015858846656
ACBD5	77.7653551998787	133.854851281061	16.9154009972145	112.208986679772
ACBD6	165.630107178962	162.89882844582	402.586543733705	103.958325894495
ACBD7	9.08945710128453	3.7883448475772	0	13.2010572564438
ACCS	2.52484919480126	0	0	0
ACCSL	0	0	0	0
ACD	39.8926172778599	82.0808050308393	21.1442512465181	108.908722365661
ACE	0	6.31390807929533	0	1.65013215705547
ACE2	0	8.83947131101347	0	0
ACER1	0	0	0	0
