sensory_water_1	sensory_50uM_OXL_	sensory_water_2
ABCG1	0	0	2
ABCG2	29	84	99
ABCG4	0	0	0
ABCG5	1	0	0
ABCG8	0	0	0
ABHD1	11	19	30
ABHD10	42	65	73
ABHD11	15	34	30
ABHD11-AS1	0	0	0
ABHD12	37	51	58
ABHD12B	0	17	0
ABHD13	7	20	9
ABHD14A	14	35	13
ABHD14A-ACY1	7	19	6
ABHD14B	62	41	169
ABHD15	0	3	7
ABHD16A	5	16	26
ABHD16B	0	0	0
ABHD17A	0	2	1
ABHD17B	84	31	10
ABHD17C	111	38	107
ABHD2	37	95	167
ABHD3	0	0	0
ABHD4	0	10	1
ABHD5	138	93	38
ABHD6	1	9	3
ABHD8	118	86	86
ABI1	32	30	52
ABI2	91	141	203
ABI3	0	0	1
ABI3BP	34	17	0
ABL1	46	123	159
ABL2	66	48	105
ABLIM1	83	281	171
ABLIM2	0	12	8
ABLIM3	29	32	92
ABO	1	0	0
ABR	12	48	35
ABRA	0	0	0
ABRACL	3	49	34
ABT1	14	44	79
ABTB1	19	20	26
ABTB2	15	50	52
ACAA1	37	26	41
ACAA2	29	20	60
ACACA	150	73	153
ACACB	15	28	3
ACAD10	27	57	12
ACAD11	82	89	97
ACAD8	8	10	38
ACAD9	10	26	95
ACADL	0	0	0
ACADM	88	75	97
ACADS	10	20	24
ACADSB	76	18	7
ACADVL	14	109	116
ACAN	44	125	173
ACAP1	1	35	5
ACAP2	58	84	111
ACAP3	13	32	58
ACAT1	45	33	32
ACAT2	263	255	455
ACBD3	127	281	236
ACBD4	36	44	31
ACBD5	39	48	32
ACBD6	38	120	68
ACBD7	22	16	11
ACCS	0	0	0
ACCSL	0	0	0
ACD	28	54	41
ACE	1	0	0
ACE2	0	0	0
ACER1	0	0	0
ACER2	0	3	0
ACER3	158	100	66
ACHE	15	98	58
ACIN1	475	476	341
ACKR1	0	30	0
ACKR2	0	0	6
ACKR3	19	2	14
ACKR4	0	0	0
ACLY	59	138	147
ACMSD	0	0	0
ACO1	154	129	152
ACO2	36	120	125
ACOT1	0	0	2
ACOT11	0	0	9
ACOT12	0	0	0
ACOT13	69	52	71
ACOT2	1	29	24
ACOT4	0	0	0
ACOT6	0	0	1
ACOT7	62	64	111
ACOT8	13	14	13
ACOT9	38	50	96
ACOX1	50	136	71
ACOX2	0	0	1
ACOX3	22	41	23
ACOXL	12	0	2
ACP1	19	116	110
ACP2	14	70	115
ACP5	0	0	1
ACP6	4	23	2
ACPP	8	15	0
ACPT	0	0	0
ACR	0	1	0
ACRBP	0	0	0
ACRC	26	0	1
ACRV1	0	9	9
ACSBG1	0	0	0
ACSBG2	0	0	0
ACSF2	16	3	17
ACSF3	0	13	4
ACSL1	0	21	11
ACSL3	147	116	126
ACSL4	36	10	94
ACSL5	0	0	0
ACSL6	0	13	5
ACSM1	0	0	0
ACSM2A	0	17	0
ACSM2B	0	0	0
ACSM3	2	13	14
ACSM4	0	4	0
ACSM5	0	0	0
ACSM6	0	15	2
ACSS1	17	60	38
ACSS2	35	19	27
ACSS3	23	1	0
ACTA1	1	6	4
ACTA2	29	92	148
ACTA2-AS1	29	90	148
ACTB	433	486	703
ACTBL2	0	0	0
ACTC1	1	62	42
ACTG1	977	1616	3425
ACTG1P17	9	0	5
ACTG1P20	82	137	127
ACTG1P4	0	0	0
ACTG2	2	3	35
ACTL10	0	0	0
ACTL6A	24	119	68
ACTL6B	9	4	16
ACTL7A	0	0	1
ACTL7B	0	0	0
ACTL8	0	0	0
ACTL9	0	0	0
ACTN1	149	581	405
ACTN1-AS1	0	0	0
ACTN2	14	3	3
ACTN3	0	0	0
ACTN4	100	277	425
ACTR10	122	183	208
ACTR1A	246	251	186
ACTR1B	19	98	72
ACTR2	833	796	698
ACTR3	52	63	110
ACTR3B	15	45	46
ACTR3BP2	0	0	0
ACTR3BP5	0	0	0
ACTR3C	0	0	0
ACTR5	0	0	8
ACTR6	59	39	43
ACTR8	18	66	46
ACTRT1	0	2	0
ACTRT2	0	0	0
ACTRT3	0	0	2
ACVR1	0	14	26
ACVR1B	37	109	52
ACVR1C	45	1	0
ACVR2A	49	116	83
ACVR2B	57	64	77
ACVR2B-AS1	20	1	1
ACVRL1	31	41	25
ACY1	7	19	6
ACY3	0	0	0
ACYP1	7	5	9
ACYP2	0	6	4
ADA	76	19	19
ADAD1	0	0	0
ADAD2	14	0	0
ADAL	89	87	52
ADAM10	33	70	34
ADAM11	47	115	164
ADAM12	141	283	1228
ADAM15	632	693	414
ADAM17	38	39	27
ADAM18	0	0	3
ADAM19	26	36	48
ADAM1A	8	33	8
ADAM2	47	0	1
ADAM20	0	0	5
ADAM20P1	9	2	15
ADAM21	0	0	0
ADAM21P1	0	0	0
ADAM22	103	51	46
ADAM23	15	57	66
ADAM28	43	5	2
ADAM29	0	0	0
ADAM30	0	0	0
ADAM32	0	0	1
ADAM33	0	0	0
ADAM3A	0	0	0
ADAM5	0	0	0
ADAM6	0	0	0
ADAM7	0	5	0
ADAM8	0	4	5
ADAM9	76	127	67
ADAMDEC1	0	0	0
ADAMTS1	3	63	5
ADAMTS10	8	114	92
ADAMTS12	35	0	14
ADAMTS13	6	2	11
ADAMTS14	3	1	0
ADAMTS15	78	439	300
ADAMTS16	0	0	6
ADAMTS17	0	2	6
ADAMTS18	0	12	0
ADAMTS19	7	0	1
ADAMTS19-AS1	0	0	0
ADAMTS2	12	34	28
ADAMTS20	0	16	1
ADAMTS3	0	7	17
ADAMTS4	0	27	11
ADAMTS5	40	6	41
ADAMTS6	47	76	26
ADAMTS7	0	0	36
ADAMTS7P1	0	0	0
ADAMTS8	1	1	29
ADAMTS9	128	78	62
ADAMTS9-AS1	45	31	24
ADAMTS9-AS2	0	0	0
ADAMTSL1	0	34	43
ADAMTSL2	35	4	2
ADAMTSL3	13	11	5
ADAMTSL4	0	0	12
ADAMTSL4-AS1	6	10	3
ADAMTSL5	0	0	0
ADAP1	18	67	103
ADAP2	0	24	3
ADAR	182	207	218
ADARB1	120	103	80
ADARB2	18	0	0
ADARB2-AS1	0	0	0
ADAT1	22	44	33
ADAT2	26	26	61
ADAT3	4	5	33
ADCK1	6	4	5
ADCK2	43	49	40
ADCK3	15	32	15
ADCK4	63	26	28
ADCK5	26	43	56
ADCY1	65	54	58
ADCY10	0	23	11
ADCY10P1	50	9	3
ADCY2	12	51	28
ADCY3	8	34	58
ADCY4	0	2	0
ADCY5	12	36	34
ADCY6	4	20	42
ADCY7	5	10	18
ADCY8	3	0	0
ADCY9	3	3	9
ADCYAP1	0	3	0
ADCYAP1R1	30	34	4
ADD1	205	196	233
ADD2	79	85	28
ADD3	159	204	285
ADD3-AS1	0	0	6
ADGB	0	0	2
ADGRA1	0	6	0
ADGRA1-AS1	0	27	0
ADGRA2	70	100	253
ADGRA3	24	43	64
ADGRB1	0	4	17
ADGRB2	93	288	172
ADGRB3	36	33	55
ADGRD1	12	9	20
ADGRE1	5	0	0
ADGRE2	37	0	7
ADGRE3	0	0	0
ADGRE4P	0	0	0
ADGRE5	1	6	0
ADGRF1	0	8	0
ADGRF2	0	4	0
ADGRF3	0	0	0
ADGRF4	0	3	14
ADGRF5	3	0	0
ADGRG1	22	21	4
ADGRG2	0	0	31
ADGRG3	0	5	0
ADGRG4	16	16	1
ADGRG5	0	6	0
ADGRG6	39	28	45
ADGRG7	0	0	0
ADGRL1	100	352	334
ADGRL2	190	263	220
ADGRL3	60	26	63
ADGRL3-AS1	0	0	2
ADGRL4	0	0	10
ADGRV1	82	51	42
ADH1A	0	0	0
ADH1B	1	0	2
ADH1C	0	1	0
ADH4	0	0	0
ADH5	46	55	52
ADH6	0	0	3
ADH7	0	0	0
ADHFE1	0	1	0
ADI1	106	36	92
ADIG	0	0	0
ADIPOQ	0	23	28
ADIPOQ-AS1	0	7	28
ADIPOR1	20	47	26
ADIPOR2	49	80	143
ADIRF	0	3	0
ADK	35	13	27
ADM	9	23	29
ADM2	15	11	15
ADM5	0	0	1
ADNP	132	187	229
ADNP-AS1	0	0	0
ADNP2	1	58	67
ADO	0	24	9
ADORA1	0	40	54
ADORA2A	1	19	8
ADORA2A-AS1	18	0	6
ADORA2B	0	3	2
ADORA3	0	0	6
ADPGK	0	31	17
ADPGK-AS1	0	2	0
ADPRH	18	6	0
ADPRHL1	0	15	6
ADPRHL2	14	31	64
ADPRM	3	0	13
ADRA1A	0	1	0
ADRA1B	0	0	8
ADRA1D	0	0	5
ADRA2A	0	2	2
ADRA2B	1	0	0
ADRA2C	1	17	19
ADRB1	0	0	0
ADRB2	0	104	29
ADRB3	0	0	8
ADRBK1	16	59	109
ADRBK2	1	15	31
ADRM1	103	171	130
ADSL	68	94	99
ADSS	13	44	75
ADSSL1	22	43	18
ADTRP	0	0	4
AEBP1	249	233	217
AEBP2	11	31	50
AEN	100	577	134
AES	844	968	863
AFAP1	76	77	106
AFAP1-AS1	0	9	17
AFAP1L1	1	0	18
AFAP1L2	29	32	130
AFF1	5	15	10
AFF2	62	76	95
AFF3	27	142	102
AFF4	124	110	150
AFG3L1P	29	14	51
AFG3L2	54	114	95
AFM	0	0	0
AFMID	0	15	3
AFP	0	0	0
AFTPH	46	62	66
AGA	1	27	21
AGAP1	148	125	110
AGAP1-IT1	0	0	0
AGAP11	0	1	6
AGAP2	22	78	49
AGAP2-AS1	0	14	3
AGAP3	512	398	378
AGAP4	0	0	0
AGAP5	1	5	0
AGAP6	0	0	21
AGAP7P	0	8	0
AGAP9	0	9	0
AGBL1	0	0	0
AGBL1-AS1	0	0	0
AGBL2	27	12	0
AGBL3	0	5	0
AGBL4	0	0	19
AGBL4-IT1	0	5	0
AGBL5	68	217	297
AGBL5-AS1	0	0	0
AGER	5	13	0
AGFG1	52	134	78
AGFG2	1	34	17
AGGF1	45	62	76
AGK	13	54	17
AGL	49	49	76
AGMAT	8	5	10
AGMO	11	0	11
AGO1	160	57	60
AGO2	67	105	128
AGO3	9	28	12
AGO4	70	43	37
AGPAT1	54	223	230
AGPAT2	27	89	120
AGPAT3	124	158	124
AGPAT4	62	99	70
AGPAT4-IT1	0	16	0
AGPAT5	71	90	113
AGPS	34	78	48
AGR2	2	3	1
AGR3	0	0	0
AGRN	93	480	467
AGRP	0	0	0
AGT	0	6	17
AGTPBP1	24	60	77
AGTR1	0	0	0
AGTR2	0	0	0
AGTRAP	1	13	29
AGXT	0	0	0
AGXT2	0	18	0
AHCTF1	50	31	37
AHCTF1P1	0	0	0
AHCY	123	47	101
AHCYL1	114	206	255
AHCYL2	8	15	3
AHDC1	30	146	139
AHI1	43	87	68
AHNAK	272	535	442
AHNAK2	33	233	53
AHR	66	51	94
AHRR	31	0	15
AHSA1	38	199	179
AHSA2	15	73	85
AHSG	0	0	7
AHSP	0	0	0
AICDA	21	102	39
AIDA	0	6	3
AIF1	16	29	49
AIF1L	100	26	58
AIFM1	25	41	78
AIFM2	28	14	27
AIFM3	1	4	0
AIG1	5	23	65
AIM1	14	16	7
AIM1L	1	6	0
AIM2	0	0	0
AIMP1	51	44	63
AIMP2	40	57	92
AIP	27	53	84
AIPL1	0	29	0
AIRE	0	7	0
AIRN	0	0	0
AJAP1	1	18	0
AJUBA	24	26	36
AK1	1	97	33
AK2	40	101	67
AK3	48	144	59
AK4	10	14	20
AK5	2	8	0
AK6	3	21	16
AK7	0	12	4
AK8	0	0	0
AK9	26	17	17
AKAP1	20	30	17
AKAP10	29	46	27
AKAP11	25	95	82
AKAP12	1563	923	1053
AKAP13	241	373	266
AKAP14	4	3	26
AKAP17A	116	132	75
AKAP2	348	343	344
AKAP3	0	0	0
AKAP4	0	0	0
AKAP5	3	5	1
AKAP6	51	23	48
AKAP7	35	52	33
AKAP8	229	186	103
AKAP8L	130	128	126
AKAP9	515	684	478
AKIP1	5	60	29
AKIRIN1	197	97	68
AKIRIN2	16	59	73
AKNA	11	41	105
AKNAD1	16	0	0
AKR1A1	113	83	139
AKR1B1	61	98	121
AKR1B10	0	10	3
AKR1B15	0	0	0
AKR1C1	8	14	16
AKR1C2	1	4	30
AKR1C3	1	0	0
AKR1C4	0	0	0
AKR1C6P	0	0	0
AKR1C8P	0	0	0
AKR1D1	0	0	8
AKR1E2	0	0	13
AKR7A2	248	189	285
AKR7A2P1	0	0	1
AKR7A3	0	2	0
AKR7L	0	8	0
AKT1	0	41	33
AKT1S1	146	136	150
AKT2	245	434	595
AKT3	105	192	242
AKTIP	1	14	3
ALAD	13	10	25
ALAS1	1	33	10
ALAS2	0	0	0
ALB	7	29	1
ALCAM	525	982	1690
ALDH16A1	7	68	48
ALDH18A1	14	31	46
ALDH1A1	3	25	0
ALDH1A2	0	1	9
ALDH1A3	15	17	43
ALDH1B1	14	7	9
ALDH1L1	1	0	0
ALDH1L1-AS1	0	0	0
ALDH1L1-AS2	0	0	0
ALDH1L2	90	73	72
ALDH2	33	40	72
ALDH3A1	0	10	0
ALDH3A2	0	56	28
ALDH3B1	1	9	0
ALDH3B2	0	0	0
ALDH4A1	46	84	56
ALDH5A1	67	60	83
ALDH6A1	7	47	80
ALDH7A1	48	202	95
ALDH8A1	9	17	8
ALDH9A1	42	84	102
ALDOA	954	931	791
ALDOB	17	2	0
ALDOC	41	7	2
ALG1	3	64	23
ALG10	6	85	30
ALG10B	11	43	36
ALG11	485	226	290
ALG12	17	9	22
ALG13	56	55	57
ALG14	0	21	3
ALG1L	0	0	0
ALG1L2	0	0	0
ALG1L9P	0	12	0
ALG2	22	20	80
ALG3	4	18	57
ALG5	5	64	68
ALG6	5	42	18
ALG8	20	21	28
ALG9	18	50	51
ALK	5	0	41
ALKBH1	0	8	2
ALKBH2	13	30	20
ALKBH3	1	41	32
ALKBH3-AS1	1	0	0
ALKBH4	0	1	12
ALKBH5	42	124	93
ALKBH6	5	9	18
ALKBH7	87	99	148
ALKBH8	1	15	40
ALLC	0	0	0
ALMS1	152	56	64
ALMS1-IT1	29	39	7
ALMS1P	0	17	7
ALOX12	12	0	0
ALOX12-AS1	0	14	4
ALOX12B	0	0	2
ALOX12P2	0	3	0
ALOX15	0	0	10
ALOX15B	0	22	0
ALOX15P1	0	0	0
ALOX5	5	8	0
ALOX5AP	0	0	0
ALOXE3	0	0	1
ALPI	0	0	0
ALPK1	62	36	25
ALPK2	1	17	14
ALPK3	1	10	15
ALPL	13	36	2
ALPP	0	0	1
ALPPL2	0	1	0
ALS2	10	95	33
ALS2CL	0	8	0
ALS2CR11	0	0	0
ALS2CR12	13	0	0
ALX1	0	2	0
ALX3	0	0	0
ALX4	6	37	65
ALYREF	245	317	259
AMACR	48	7	14
AMBN	0	0	0
AMBP	0	8	0
AMBRA1	92	90	66
AMD1	102	108	155
AMDHD1	0	14	0
AMDHD2	34	17	17
AMELX	0	1	0
AMELY	0	0	0
AMER1	9	12	22
AMER2	12	22	31
AMER3	0	31	6
AMFR	3	33	20
AMH	47	24	46
AMHR2	0	0	0
AMICA1	0	0	1
AMIGO1	0	6	14
AMIGO2	0	28	1
AMIGO3	8	13	27
AMMECR1	25	33	37
AMMECR1L	36	68	57
AMN	1	0	0
AMN1	13	19	27
AMOT	25	184	176
AMOTL1	138	246	224
AMOTL2	0	26	12
AMPD1	0	0	0
AMPD2	14	66	128
AMPD3	0	1	0
AMPH	26	35	44
AMT	17	25	45
AMTN	0	0	0
AMY1A	0	0	0
AMY1B	0	0	0
AMY1C	0	0	0
AMY2A	0	0	0
AMY2B	0	0	1
AMZ1	11	56	17
AMZ2	0	34	54
AMZ2P1	5	49	15
ANAPC1	0	24	6
ANAPC10	0	20	25
ANAPC11	83	318	332
ANAPC13	209	163	328
ANAPC15	11	32	30
ANAPC16	131	91	160
ANAPC1P1	0	16	0
ANAPC2	0	0	1
ANAPC4	40	25	37
ANAPC5	73	198	227
ANAPC7	192	106	199
ANG	0	2	4
ANGEL1	0	0	6
ANGEL2	66	82	88
ANGPT1	1	11	35
ANGPT2	33	88	76
ANGPT4	0	0	0
ANGPTL1	0	7	13
ANGPTL2	21	144	119
ANGPTL3	0	0	4
ANGPTL4	2	23	22
ANGPTL5	0	0	5
ANGPTL6	0	30	55
ANGPTL7	0	0	29
ANHX	1	0	0
ANK1	0	18	28
ANK2	167	259	282
ANK3	52	150	174
ANKAR	7	11	6
ANKDD1A	4	9	11
ANKDD1B	0	5	17
ANKEF1	0	0	0
ANKFN1	0	3	2
ANKFY1	26	87	96
ANKH	7	31	72
ANKHD1	569	356	407
ANKHD1-EIF4EBP3	655	344	415
ANKIB1	75	110	71
ANKK1	0	0	0
ANKLE1	0	0	0
ANKLE2	77	64	66
ANKMY1	0	5	0
ANKMY2	22	26	57
ANKRA2	68	398	62
ANKRD1	3	12	7
ANKRD10	5	111	131
ANKRD11	572	1067	779
ANKRD12	113	308	245
ANKRD13A	67	37	53
ANKRD13B	30	57	61
ANKRD13C	24	46	14
ANKRD13D	53	22	76
ANKRD16	39	24	21
ANKRD17	582	456	486
ANKRD18A	0	0	0
ANKRD18B	0	0	0
ANKRD18DP	0	0	0
ANKRD19P	15	30	23
ANKRD2	0	0	0
ANKRD20A1	0	0	0
ANKRD20A11P	0	0	0
ANKRD20A12P	0	0	0
ANKRD20A19P	22	35	21
ANKRD20A2	0	0	0
ANKRD20A3	0	0	0
ANKRD20A4	0	0	0
ANKRD20A5P	0	0	0
ANKRD20A8P	0	0	0
ANKRD20A9P	31	100	33
ANKRD22	0	0	0
ANKRD23	6	87	19
ANKRD24	0	0	14
ANKRD26	14	84	91
ANKRD26P1	0	3	0
ANKRD26P3	9	13	0
ANKRD27	17	72	3
ANKRD28	79	69	38
ANKRD29	0	1	1
ANKRD30A	0	20	0
ANKRD30B	0	0	0
ANKRD30BL	0	0	0
ANKRD30BP2	0	13	20
ANKRD30BP3	0	0	0
ANKRD31	0	0	8
ANKRD33	0	0	0
ANKRD33B	0	10	13
ANKRD34A	0	16	4
ANKRD34B	0	0	0
ANKRD34C	0	5	0
ANKRD34C-AS1	0	0	0
ANKRD35	1	0	6
ANKRD36	82	107	127
ANKRD36B	22	110	59
ANKRD36BP1	0	3	5
ANKRD36BP2	0	3	16
ANKRD36C	179	190	214
ANKRD37	2	18	9
ANKRD39	6	9	25
ANKRD40	18	11	13
ANKRD42	63	17	28
ANKRD44	42	14	28
ANKRD44-IT1	23	15	0
ANKRD45	70	8	11
ANKRD46	1	55	54
ANKRD49	22	65	43
ANKRD50	347	267	290
ANKRD52	72	93	80
ANKRD53	0	0	0
ANKRD54	36	29	23
ANKRD55	0	0	3
ANKRD6	5	47	24
ANKRD60	0	0	0
ANKRD61	0	0	0
ANKRD62	6	15	8
ANKRD62P1-PARP4P3	1	0	0
ANKRD63	0	0	0
ANKRD65	0	0	0
ANKRD66	0	0	7
ANKRD7	0	0	0
ANKRD9	31	56	34
ANKS1A	20	11	43
ANKS1B	22	20	9
ANKS3	5	58	56
ANKS4B	8	22	0
ANKS6	34	37	34
ANKUB1	0	0	0
ANKZF1	75	105	105
ANLN	26	43	10
ANO1	0	0	0
ANO1-AS2	0	0	0
ANO10	169	78	79
ANO2	0	16	0
ANO3	0	0	15
ANO4	12	0	4
ANO5	1	5	12
ANO6	19	57	74
ANO7	1	0	0
ANO8	1	19	24
ANO9	1	0	0
ANOS1	0	37	2
ANP32A	44	199	199
ANP32A-IT1	0	0	0
ANP32AP1	0	0	0
ANP32B	1563	648	906
ANP32C	0	0	0
ANP32D	0	0	0
ANP32E	264	166	226
ANPEP	0	1	0
ANTXR1	53	46	100
ANTXR2	32	45	29
ANTXRL	0	0	0
ANTXRLP1	0	0	0
ANXA1	29	46	51
ANXA10	0	0	0
ANXA11	67	65	58
ANXA13	0	52	0
ANXA2	54	302	302
ANXA2P1	0	0	0
ANXA2P2	0	0	0
ANXA2P3	0	27	14
ANXA2R	0	2	0
ANXA3	1	0	4
ANXA4	0	13	18
ANXA5	97	132	115
ANXA6	271	440	568
ANXA7	0	35	24
ANXA8	0	0	0
ANXA8L1	0	0	0
ANXA9	0	0	1
AOAH	2	0	0
AOAH-IT1	0	0	0
AOC1	0	1	0
AOC2	0	0	20
AOC3	0	26	0
AOC4P	0	0	0
AOX1	27	8	7
AOX2P	0	0	0
AP1AR	31	30	45
AP1B1	90	117	158
AP1B1P1	0	14	0
AP1G1	57	90	143
AP1G2	0	28	32
AP1M1	83	90	135
AP1M2	1	0	1
AP1S1	286	681	374
AP1S2	437	159	362
AP1S3	3	41	30
AP2A1	52	34	74
AP2A2	126	156	230
AP2B1	826	796	673
AP2M1	360	554	592
AP2S1	1282	944	784
AP3B1	65	112	113
AP3B2	55	24	1
AP3D1	490	440	293
AP3M1	69	130	48
AP3M2	99	103	113
AP3S1	1	47	48
AP3S2	53	116	76
AP4B1	1	21	23
AP4B1-AS1	0	0	0
AP4E1	68	45	60
AP4M1	27	70	72
AP4S1	24	115	25
AP5B1	53	41	20
AP5M1	3	35	17
AP5S1	4	24	43
AP5Z1	22	72	47
APAF1	26	55	42
APBA1	11	48	56
APBA2	102	92	133
APBA3	0	19	17
APBB1	24	45	51
APBB1IP	0	39	10
APBB2	65	62	55
APBB3	2	29	14
APC	81	244	280
APC2	84	151	139
APCDD1	164	7	23
APCDD1L	0	4	12
APCDD1L-AS1	0	9	1
APCS	0	3	1
APEH	265	155	244
APELA	0	26	17
APEX1	200	108	212
APEX2	26	6	14
APH1A	76	402	553
APH1B	2	9	13
API5	50	56	63
APIP	0	16	6
APITD1	0	8	17
APITD1-CORT	0	9	16
APLF	0	7	11
APLN	0	0	0
APLNR	44	17	36
APLP1	66	158	162
APLP2	499	487	476
APMAP	18	108	121
APOA1	4	2	0
APOA1-AS	0	0	0
APOA1BP	122	161	71
APOA2	1	0	2
APOA4	0	0	0
APOA5	1	0	0
APOB	0	3	1
APOBEC1	0	0	0
APOBEC2	0	0	12
APOBEC3A	0	0	0
APOBEC3A_B	0	0	0
APOBEC3B	0	0	0
APOBEC3B-AS1	0	0	0
APOBEC3C	39	60	74
APOBEC3D	1	42	16
APOBEC3F	35	21	15
APOBEC3G	0	2	2
APOBEC3H	0	0	0
APOBEC4	48	7	0
APOBR	0	0	0
APOC1	5	4	0
APOC1P1	0	2	0
APOC2	0	0	0
APOC3	0	0	0
APOC4	0	0	0
APOC4-APOC2	0	0	0
APOD	23	76	123
APOE	121	223	135
APOF	0	1	19
APOH	0	2	0
APOL1	2	4	0
APOL2	15	30	32
APOL3	0	0	1
APOL4	22	27	0
APOL5	0	0	0
APOL6	0	9	1
APOLD1	3	30	27
APOM	9	11	5
APOO	10	17	41
APOOL	17	35	62
APOOP5	0	0	12
APOPT1	63	178	181
APP	1554	794	1376
APPBP2	59	96	87
APPL1	211	234	297
APPL2	46	21	9
APRT	88	133	130
APTR	10	29	25
APTX	46	103	62
AQP1	37	19	59
AQP10	0	10	0
AQP11	0	6	15
AQP12A	0	0	0
AQP12B	0	0	0
AQP2	0	0	0
AQP3	0	11	0
AQP4	0	1	0
AQP4-AS1	0	4	6
AQP5	27	0	0
AQP6	0	0	13
AQP7	0	0	0
AQP7P1	0	0	0
AQP7P3	0	0	0
AQP8	0	0	0
AQP9	0	0	0
AQR	22	65	47
AR	39	73	149
ARAF	33	22	57
ARAP1	7	68	84
ARAP2	0	5	8
ARAP3	3	8	15
ARC	0	2	0
ARCN1	54	102	141
AREG	2	0	1
AREL1	20	71	45
ARF1	392	539	602
ARF3	194	173	301
ARF4	51	145	154
ARF5	1937	1735	1690
ARF6	14	49	43
ARFGAP1	440	492	371
ARFGAP2	61	101	82
ARFGAP3	29	90	102
ARFGEF1	76	124	110
ARFGEF2	36	60	24
ARFGEF3	11	47	122
ARFIP1	76	37	73
ARFIP2	15	95	33
ARFRP1	88	133	110
ARG1	0	0	0
ARG2	113	113	213
ARGFX	0	20	0
ARGFXP2	0	0	0
ARGLU1	650	797	447
ARHGAP1	76	108	157
ARHGAP10	29	78	63
ARHGAP11A	21	5	61
ARHGAP11B	0	0	0
ARHGAP12	32	34	57
ARHGAP15	0	0	0
ARHGAP17	17	5	19
ARHGAP18	3	9	18
ARHGAP19	70	49	30
ARHGAP19-SLIT1	69	13	9
ARHGAP20	1	38	49
ARHGAP21	150	256	181
ARHGAP22	0	24	36
ARHGAP23	9	44	18
ARHGAP24	16	33	53
ARHGAP25	2	0	5
ARHGAP26	24	24	30
ARHGAP26-AS1	0	0	0
ARHGAP26-IT1	0	0	0
ARHGAP27	0	2	1
ARHGAP28	140	80	198
ARHGAP29	212	129	77
ARHGAP30	36	26	23
ARHGAP31	31	77	74
ARHGAP31-AS1	0	0	0
ARHGAP32	51	53	42
ARHGAP33	19	53	22
ARHGAP35	262	252	226
ARHGAP36	0	0	0
ARHGAP39	31	23	1
ARHGAP4	12	18	21
ARHGAP40	0	0	0
ARHGAP42	47	39	9
ARHGAP44	5	1	12
ARHGAP5	167	237	217
ARHGAP5-AS1	0	0	0
ARHGAP6	3	96	47
ARHGAP8	1	13	10
ARHGAP9	0	16	0
ARHGDIA	171	349	471
ARHGDIB	0	0	7
ARHGDIG	9	48	62
ARHGEF1	0	11	2
ARHGEF10	36	42	59
ARHGEF10L	16	26	28
ARHGEF11	114	127	97
ARHGEF12	168	143	196
ARHGEF15	0	4	10
ARHGEF16	6	2	3
ARHGEF17	21	151	195
ARHGEF18	4	51	46
ARHGEF19	34	39	46
ARHGEF2	1	39	34
ARHGEF25	1	43	67
ARHGEF26	17	71	47
ARHGEF26-AS1	0	15	7
ARHGEF28	1	11	0
ARHGEF3	17	52	18
ARHGEF3-AS1	0	0	0
ARHGEF33	0	0	0
ARHGEF34P	0	0	0
ARHGEF35	0	0	0
ARHGEF37	0	0	0
ARHGEF38	0	0	0
