enteric_50uM_OXL_1	enteric_50uM_OXL_2	sensory_50uM_OXL_
ACO2	298.985396721916	472.92321647472	197.25070032172
ACOT1	0	0	0
ACOT11	3.53132358332972	0	0
ACOT12	0	0	0
ACOT13	185.39448812481	135.259932283922	85.4753034727454
ACOT2	10.0054168194342	30.1658841784286	47.6689192444157
ACOT4	0	0	0
ACOT6	0	0	0
ACOT7	299.573950652471	92.4438386113135	105.200373504917
ACOT8	33.5475740416323	34.0582563304839	23.0125817042007
ACOT9	109.471031083221	183.914584184613	82.1877918007167
ACOX1	135.955957958194	178.07602595653	223.550793697949
ACOX2	0	0	0
ACOX3	84.7517659999133	25.3004189883595	67.3939892765877
ACOXL	4.11987751388467	0.973093038013827	0
ACP1	186.57159598592	158.614165196254	190.675676977663
ACP2	108.882477152666	91.4707455732997	115.062908521003
ACP5	1.17710786110991	0	0
ACP6	7.06264716665944	85.6321873452167	37.8063842283297
ACPP	13.5367404027639	0	24.656337540215
ACPT	7.06264716665944	0	0
ACR	0	24.3273259503457	1.64375583601433
ACRBP	1.76566179166486	0	0
ACRC	25.307819013863	56.4393962048019	0
ACRV1	5.88553930554953	0	14.793802524129
ACSBG1	0	0	0
ACSBG2	4.11987751388467	0	0
ACSF2	8.8283089583243	0	4.931267508043
ACSF3	5.29698537499458	0	21.3688258681863
ACSL1	45.3186526527314	0	34.518872556301
ACSL3	226.004709333102	308.470493050383	190.675676977663
ACSL4	110.648138944331	153.748700006185	16.4375583601433
ACSL5	9.41686288887925	0	0
ACSL6	5.88553930554953	0	21.3688258681863
ACSM1	0.588553930554953	0	0
ACSM2A	0	0	27.9438492122437
ACSM2B	0	0	0
ACSM3	15.8909561249837	1.94618607602765	21.3688258681863
ACSM4	1.17710786110991	0	6.57502334405734
ACSM5	0	0	0
ACSM6	1.17710786110991	0	24.656337540215
ACSS1	5.88553930554953	0	98.6253501608601
ACSS2	24.1307111527531	0.973093038013827	31.2313608842724
ACSS3	1.76566179166486	0	1.64375583601433
ACTA1	11.7710786110991	62.2779544328849	9.862535016086
ACTA2	181.274610610926	690.896056989817	151.225536913319
ACTA2-AS1	178.331840958151	685.057498761734	147.93802524129
ACTB	1200.06146440155	2774.28825137742	798.865336302966
ACTBL2	0	0	0
ACTC1	87.1059817221331	277.331515833941	101.912861832889
ACTG1	5076.86620496703	11208.0856118433	2656.30943099916
ACTG1P17	10.5939707499892	0	0
ACTG1P20	128.893310791535	59.3586753188434	225.194549533964
ACTG1P4	1.17710786110991	0	0
ACTG2	311.34502926357	291.927911404148	4.931267508043
ACTL10	0.588553930554953	0	0
ACTL6A	68.8608098749295	170.29128165242	195.606944485706
ACTL6B	47.0843144443963	0	6.57502334405734
ACTL7A	0	0	0
ACTL7B	0	0	0
ACTL8	0	0	0
ACTL9	0	0	0
ACTN1	905.195945193518	3820.36326724228	955.022140724328
ACTN1-AS1	0	0	0
ACTN2	10.0054168194342	0	4.931267508043
