	E	M	N	ORF10	ORF3a	ORF6	ORF7a	ORF7b	ORF8	S	TRS-L	disc-E	disc-M	disc-N	disc-ORF3a	disc-ORF7a	disc-ORF7b	disc-ORF8	disc-S	frameshift	nsp1	nsp10	nsp11	nsp12	nsp13	nsp14	nsp15	nsp16	nsp2	nsp3	nsp4	nsp5	nsp6	nsp7	nsp8	nsp9
COV00084	-118.62396136540441	-3.238643531309389	-2.7448770574762233e-83	-185.36598333464542	-64.435669312738	-98.48431196875683	-108.5406948136754	-193.87213958395904	-107.83156340561709	-1.6939262464263038e-94	-5.191285276974878e-05	-179.76987015893928	-205.2730188983722	-213.3259807440973	-191.16074326753562	-212.6735743983728	-232.6537594227214	-228.10762734495253	-129.07113154402904	-57.72201687504054	-1.1897151886079366e-160	-0.42996194185153847	-66.88179832832554	-1.8331855272615366e-214	-2.290249232784435e-55	-3.6441426233260224e-22	-5.897647922686326e-20	-9.955509890576925	-0.0	-0.0	-3.379773926995382e-42	-4.6145449609957834e-21	-5.835289683662374e-09	-11.125395151358742	-1.0004037852269467e-30	-0.054283110351776395
COV00087	-3.8210600979544007	-0.06189919088549402	-8.701120164408373	-7.531367341946762	-1.9977233830112568	-2.143830908973866	-4.576411252045075	-6.998794798406656	-4.0521845586865775	-1.929830468809561e-07	-0.29864036181843384	-4.7483314792825135	-5.929815249621671	-7.7721661303222715	-5.656415003224967	-5.852791726097407	-7.472646419179321	-6.978921449125383	-2.2211556912154364	-3.6731941003916115	-4.670200421385587e-09	-1.1566553075853856	-3.6731941003916115	-1.096927050973178e-09	-0.04412729913751343	-0.010158195738379224	-6.629928583963329e-05	-1.024921202859384	-8.39506911267297e-13	-1.1214260296840867e-08	-0.00038690905187598545	-2.0165153987927495	-0.34176190778941334	-3.052459046993434	-0.04791203646736232	-1.2821418448805217
COV00093	-309.3423261281691	-3.0268695381168784e-05	-88.77339602044965	-991.0188665069005	-360.7025826996975	-160.3465571448735	-419.2322129829219	-784.305924162344	-193.2085644047825	-18.15750406797022	-6.746854254113655e-07	-884.9964420560964	-1031.554254982068	-1044.2763767406798	-956.2147827458767	-994.4705001240043	-1141.8959744042636	-1088.1177067510948	-646.4281143031837	-136.41760616258088	-6.213834035516946e-184	-2.1186426131087765e-31	-113.80537691980429	-0.0	-1.240379431097325e-191	-2.0241513703782196e-127	-5.335357602406223e-126	-0.4343732758178961	-0.0	-0.0	-1.4719448880764996e-245	-10.004707369038766	-9.080301483942538e-50	-0.06111078228948786	-1.2356773909122576e-167	-1.3999481244311679e-13
COV00106	-260.6782153054172	-28.66909057394725	-3.7982665135235503	-819.6113930882157	-432.57543985945404	-66.36106778967331	-294.03278865858226	-496.2323332918658	-129.698437158918	-110.3452074404555	-2.227407702224592e-09	-643.4558173246428	-708.820861053818	-782.1644826544762	-657.1036024622927	-643.193628265498	-752.4474659627134	-735.1215553273655	-391.3636117082168	-115.64466795886267	-5.706083306037859e-78	-0.00025445228985121324	-97.05538237655034	-0.0	-2.9028453445270666e-55	-8.290583851302727e-70	-3.909483237539901e-63	-0.07847324598825545	-0.0	-0.0	-1.7799500033490032e-116	-117.04098912987969	-1.6825611548549283e-11	-18.702284248207363	-4.859625431458823e-56	-0.21434309388843367
COV00397	-314.15512760749	-3.3557752980953493e-06	-0.0	-249.6718834125063	-252.59343809668502	-70.06197178432322	-284.9066923863991	-531.9119274951338	-60.24948697494598	-1.4133383175767312e-134	-1.2798328689533991e-06	-655.743071750224	-723.189187996133	-669.0689339969721	-625.520791420017	-720.1510040614169	-807.4567482176436	-762.9294474750127	-417.482575761016	-182.09993432486667	-8.196215537281532e-84	-6.258213945111924	-171.68259955832184	-0.0	-2.1181351163237457e-37	-0.07293231568996779	-7.580037465737946e-43	-48.859679555276024	-0.0	-0.0	-1.297405541514908e-60	-31.45615659311041	-3.8569763282176267e-26	-23.18435041909093	-1.7402458486686293e-115	-6.871109438246554
COV00413	-813.5383509029015	-11.014414772384917	-0.0	-1938.278725411443	-816.7076524782607	-273.58424456618576	-1822.2496419560168	-1608.4752273827735	-111.95734976608537	-0.0	-5.729532419309801e-06	-2808.08470621538	-3201.224984122031	-2725.2299727386785	-2967.3727939465675	-3375.6821738639496	-3464.47701038039	-3008.7568655915106	-1753.4059445975176	-793.7743983512604	-7.145933538275314e-139	-0.8981488631297024	-732.7420449712466	-0.0	-4.021984200029259e-103	-1.2309079078070069	-1.8253313090105225e-208	-200.71455384978378	-0.0	-0.0	-1.9490621712457429e-265	-1.953350877535434	-4.8895507598658215e-51	-73.88243263033183	-0.0	-15.972751358241236
COV00417	-2.6233538409301604	-0.14596756624987928	-1.4371543535713074e-38	-3.285080647203121	-2.975250309089514	-3.7536151604707433	-5.715055507876713	-7.020102721168899	-1.3691534277871127	-0.07640377028747047	-1.0994947980302476	-5.73831826527889	-5.870890644214581	-7.908131265355829	-5.445094646980886	-8.814193466023756	-9.750991744296915	-9.708474037318275	-5.45235267858223	-1.5563961852371433	-0.0024087619287547915	-0.06079501126792643	-1.5563961852371433	-0.10747152468656329	-0.22725876328096548	-1.3239387030611287	-0.11731301296513677	-1.4827209777927477	-4.223474776870586e-09	-2.0645788494355135e-20	-0.005246980179752394	-0.10237439862043729	-0.24597552392916947	-0.7259972930048049	-0.003049956922892518	-0.4084732649842552
COV00419	-225.33944855719733	-0.009164109432996503	-0.0	-139.63178933907662	-182.0176035205063	-53.380401387963914	-241.6077680893798	-394.1552654649236	-18.89463588951767	-1.2197220754465738e-54	-2.9288792098844172e-12	-562.3083535550965	-641.184398463097	-459.3413359521996	-578.3216658896226	-595.1349371696333	-703.8623708958038	-640.2143386326117	-380.7560587351901	-168.69899983020758	-4.0337905064988017e-26	-2.2887339681997094	-154.80024343902028	-3.764202458094312e-166	-8.928726072038932e-21	-0.010117219609423007	-3.6169635434382514e-22	-43.3428011449616	-7.49060908753e-313	-0.0	-9.999976710672395e-36	-27.331731287625423	-4.3116383429738394e-07	-32.70331305373858	-1.3553221198432222e-21	-11.214010451831491
COV00422	-17.814021728347395	-4.293356634697188e-13	-65.74205857746145	-125.99964727856327	-72.06235158518858	-9.139184310585055	-30.351186647467458	-52.825296728529636	-7.596647899987094	-203.39816910836618	-1.2091051392076151e-08	-47.50869752420201	-52.75407020108888	-79.98935990854143	-64.82644578518483	-57.296496040053945	-66.50549584356277	-62.00125599840524	-33.36155876134807	-24.739732968276208	-1.3882110392624882e-27	-0.015112868884586945	-20.922111991078385	-5.3492911645988496e-160	-4.2221055232207985e-22	-4.818628004017163e-25	-1.496762260434974e-39	-2.544579806325e-06	-1.0459695607878383e-136	-0.0	-2.4966621851319494e-56	-139.7065654931175	-6.752809357317877e-05	-2.056495638464641	-1.1281580410671417e-30	-0.11320063324104906
COV00432	-499.16000795514407	-5.613742935848837e-103	-6.4065432310806e-35	-512.446789678965	-634.5473085011675	-109.27250866231522	-525.5376386809918	-913.4631505202553	-87.34602055927108	-4.6288276368327604e-08	-2.379865039298774e-112	-1643.5259859004584	-1656.3580038620967	-1605.6559008485276	-1657.0593959936796	-1621.5575360796506	-1910.0506251920579	-1767.1873365865247	-1245.8609792045809	-324.91788095327655	-0.0	-3.079077421769876e-25	-294.4116921421303	-0.0	-2.455960850583125e-79	-6.7090153991738184e-21	-6.37580284681941e-106	-173.20232960477094	-0.0	-0.0	-9.01752705982904e-218	-158.04231339020328	-7.2749137067650435e-78	-20.59675892708853	-2.7817884560436392e-161	-4.732406971134897
