0	S0008_IN	S0008_RIP	S0009_IN	S0009_RIP	S0014_IN	S0014_RIP	S0017_IN	S0017_RIP	S0025_IN	S0025_RIP	S0026_IN	S0026_RIP	S0030_IN	S0030_RIP	S0042_IN	S0042_RIP	S0057_IN	S0057_RIP	S0085_IN	S0085_RIP	COV00075_IN	COV00075_RIP	COV00079_IN	COV00079_RIP	COV00084_IN	COV00084_RIP	COV00087_IN	COV00087_RIP	COV00093_IN	COV00093_RIP	COV00106_IN	COV00106_RIP	COV00397_IN	COV00397_RIP	COV00413_IN	COV00413_RIP	COV00417_IN	COV00417_RIP	COV00419_IN	COV00419_RIP	COV00422_IN	COV00422_RIP	COV00432_IN	COV00432_RIP
ORF3a_peak_14	1732	421	153	1494	5356	537	2569	764	111	955	436	1579	295	975	362	2518	348	410	3338	7822	1636	4772	3	98	1155	4652	44	62	2397	4202	3747	1936	2713	4170	7139	3403	76	802	1687	1099	339	3640	8334	4868
ORF3a_peak_15	1872	421	143	1271	5907	157	2596	772	109	982	443	875	299	486	362	2624	347	410	3733	2202	1687	3436	2	98	1149	4537	41	61	2256	3622	3490	1577	2513	4139	7332	3397	74	802	1505	1122	330	2966	8202	4119
ORF3a_peak_16	2318	421	274	1495	11197	925	2597	772	125	982	998	3514	430	1827	362	2624	349	410	7787	11847	2448	6334	4	98	1430	4699	53	64	4113	5003	6567	2641	3647	4488	13376	3466	83	806	2832	1235	474	4978	13877	5352
E_peak	2003	422	149	1271	6285	154	2628	772	131	982	554	672	323	612	366	2627	349	411	4336	3727	1903	3748	3	98	1233	4663	43	63	2833	3643	4329	1695	3176	4247	13558	3493	88	834	2253	1125	377	3132	11051	4248
E_peak_2	1859	421	125	1270	5106	152	2605	772	122	982	438	670	292	610	366	2627	347	410	3480	3560	1715	3666	2	98	1157	4547	43	61	2459	3577	3701	1683	2813	4164	10527	3416	82	804	1891	1104	344	3064	9120	4220
E_peak_3	1942	421	144	1271	5930	152	2616	772	129	982	524	671	313	611	366	2627	347	410	4054	3563	1829	3686	3	98	1201	4556	43	61	2705	3591	4178	1685	3060	4173	12832	3437	83	810	2151	1105	363	3068	10367	4226
E_peak_4	2003	422	149	1271	6285	154	2628	772	131	982	554	672	323	612	366	2627	349	411	4336	3727	1903	3748	3	98	1233	4663	43	63	2833	3643	4329	1695	3176	4247	13558	3493	88	834	2253	1125	377	3132	11051	4248
E_peak_5	1924	421	142	1271	5755	152	2608	772	127	982	494	671	308	611	366	2627	347	410	3863	3562	1808	3679	3	98	1189	4550	43	61	2644	3579	4061	1683	2991	4164	12372	3425	82	810	2083	1105	358	3064	10032	4224
E_peak_6	2003	422	149	1271	6285	154	2628	772	131	982	554	672	323	612	366	2627	349	411	4336	3727	1903	3748	3	98	1233	4663	43	63	2833	3643	4329	1695	3176	4247	13558	3493	88	834	2253	1125	377	3132	11051	4248
M_peak	2013	423	144	1271	5799	616	2683	789	127	986	506	912	324	1373	366	2634	360	411	3932	3760	1840	3917	5	102	1216	4874	42	64	2719	3882	4367	1805	3230	4363	12748	3563	92	850	2229	1147	375	3174	11196	4261
M_peak_2	2127	423	166	1271	7318	134	2729	790	122	997	452	2286	347	1129	388	2837	367	411	4866	6917	2036	4254	5	105	1259	4909	47	64	3050	4346	4560	1952	3335	4583	8291	3610	78	858	2373	1227	388	3493	11726	4476
M_peak_3	2121	421	145	1271	6939	823	2726	790	118	994	480	449	349	926	388	2837	367	411	4627	5718	2100	3675	6	106	1293	4853	47	64	2837	3990	4428	1923	3317	4419	12317	3618	79	857	2338	1212	374	3270	11686	4263
M_peak_4	1995	423	142	1271	5660	611	2683	789	127	986	483	862	317	1371	366	2634	360	411	3825	3660	1803	3806	5	102	1178	4874	40	63	2552	3810	4096	1805	3081	4348	11968	3562	88	850	2078	1145	364	3174	10436	4261
M_peak_5	1821	423	123	1271	4798	615	2697	789	115	992	387	1730	307	1052	372	2830	364	411	2948	7662	2115	4625	7	106	1351	4920	53	63	3499	4482	5391	2036	3484	4641	8544	3557	89	855	2323	1162	441	3454	13693	4585
M_peak_6	2504	423	224	1271	9392	1086	2713	789	134	992	852	2290	434	1976	390	2836	364	411	6648	10497	3023	5434	13	107	1624	5026	71	66	5593	4751	8805	2382	5077	4782	18699	3622	106	856	3968	1182	616	3593	22146	4938
M_peak_7	2433	423	208	1271	8876	1086	2713	789	132	992	804	2215	421	1967	376	2830	364	411	6266	10084	2906	5285	12	107	1597	5024	65	66	5313	4659	8345	2382	4856	4769	17906	3592	106	855	3708	1180	588	3580	21014	4936
M_peak_8	2260	423	182	1271	7418	1082	2708	789	128	989	700	1339	384	1757	376	2727	364	411	5164	5540	2556	4681	10	106	1451	4958	55	64	4330	4422	6967	2093	4312	4631	16652	3581	102	854	3250	1158	518	3378	17658	4651
M_peak_9	2872	423	245	1271	12359	1502	2756	790	132	997	869	2980	488	1676	388	2837	368	411	8703	14042	3121	5113	12	107	1642	4948	71	65	5388	4841	8182	2394	5080	4745	18154	3655	87	861	4160	1313	576	3711	21195	4746
M_peak_10	3684	423	371	1271	18042	2439	2778	790	151	997	1490	4211	672	2976	392	2837	368	411	13275	17941	4513	6382	20	108	2068	5106	90	68	8608	5527	13331	3004	7427	5077	31394	3690	120	861	6554	1334	852	3990	34266	5265
