	E	M	N	ORF10	ORF3a	ORF6	ORF7a	ORF7b	ORF8	S	TRS-L	disc-E	disc-M	disc-N	disc-ORF3a	disc-ORF7a	disc-ORF7b	disc-ORF8	disc-S	frameshift	nsp1	nsp10	nsp11	nsp12	nsp13	nsp14	nsp15	nsp16	nsp2	nsp3	nsp4	nsp5	nsp6	nsp7	nsp8	nsp9
COV00075	-19.75012693318257	0.0	-inf	-403.2761270969955	-183.24249583663322	0.0	-44.16103817112917	-80.04303626514115	-19.143782677979434	-534.2495469360058	0.0	-102.68999189598185	-128.13827731898516	-168.89792435101248	-135.007403033249	-110.23087420127054	-132.35916729463145	-128.83776934711815	-56.81477058563504	-6.742805468095075	0.0	-26.953621578759762	-4.790429031190808	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-522.7347945184196	0.0	0.0	0.0	0.0
COV00079	-5.099978505662322	-8.215650382226192e-15	-8.215650382226192e-15	-1.0715682165005243	-4.217919570842339	-2.5548672199169324	-5.130221270994138	-2.856993030224887	-0.7630289510086938	-8.215650382226192e-15	-8.215650382226192e-15	-5.879275003972476	-5.879275003972476	-4.659407791557751	-5.099978505662322	-5.879275003972476	-5.879275003972476	-4.579777103100294	-5.111725115760506	-2.719807172251275	-8.215650382226192e-15	-1.0715682165005243	-2.719807172251275	-8.215650382226192e-15	-8.215650382226192e-15	-8.215650382226192e-15	-0.23965188554697386	-1.0715682165005243	-8.215650382226192e-15	-8.215650382226192e-15	-8.215650382226192e-15	-8.215650382226192e-15	-8.215650382226192e-15	-2.10621284478215	-8.215650382226192e-15	-2.118545238469941
COV00084	-117.43833769974667	-2.65085686640727	0.0	-183.86190593786915	-63.62473909652167	-97.53985035991597	-107.4420825250073	-192.08038011473099	-106.81299382462251	0.0	0.0	-178.3835757978194	-203.29893787235017	-210.8410740943093	-189.52313447813484	-210.4763498210366	-229.0702404842653	-225.21725558705637	-127.79019769856698	-56.97171128064064	0.0	0.0	-66.00632959097165	0.0	0.0	0.0	0.0	-9.316429931287256	0.0	0.0	0.0	0.0	0.0	-10.432247970798796	0.0	0.0
COV00087	-2.8306613939265235	-8.395506512218958e-13	-5.3035927188097975	-5.3035927188097975	-1.4381075950758342	-1.4788546053806169	-3.4189584633540315	-5.215332856864024	-2.9817431469851643	-8.395506512218958e-13	-8.395506512218958e-13	-3.4955685107871455	-4.376885206287829	-5.3035927188097975	-4.298291519071773	-4.376885206287829	-5.3035927188097975	-5.215332856864024	-1.499020973782239	-2.825896240004408	-8.395506512218958e-13	-0.6923496994542878	-2.825896240004408	-8.395506512218958e-13	-8.395506512218958e-13	-8.395506512218958e-13	-8.395506512218958e-13	-0.6050673572991198	-8.395506512218958e-13	-8.395506512218958e-13	-8.395506512218958e-13	-1.4381075950758342	-8.395506512218958e-13	-2.2696997077438015	-8.395506512218958e-13	-0.7713162211145311
COV00093	-308.3237565471745	0.0	-88.0802488398897	-inf	-359.60397041102937	-159.47108840751957	-418.0465893172642	-inf	-192.26410279594165	-17.51842410868055	0.0	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-645.1471804577217	-135.60667594636456	0.0	0.0	-113.0550713254044	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-9.416920704136647	0.0	0.0	0.0	0.0
COV00106	-259.65964572442266	-28.081303909045133	-3.305790028425756	-inf	-431.29450601399196	-65.72198783038364	-292.93417636991416	-494.8460389307459	-128.75397555007717	-109.5949018460556	0.0	-641.818208535242	-706.8467800277961	-inf	-655.3118429930646	-641.6895508687217	-inf	-732.9243703134642	-390.1779880425591	-114.83373774264633	0.0	0.0	-96.3622351959904	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-116.16552039252579	0.0	-18.163287747474676	0.0	0.0
COV00397	-312.8741937620279	0.0	0.0	-248.65331383151172	-251.4948258080169	-69.25104156810688	-283.72106872074136	-530.4078500983575	-59.499181380546084	0.0	0.0	-653.9513122809959	-720.7042813460519	-667.0948529709501	-623.8831826306161	-717.9537794840886	-inf	-inf	-416.0962813998961	-181.15547271602583	0.0	-5.7657374600141305	-170.80713082096793	0.0	0.0	0.0	0.0	-48.16653237471608	0.0	0.0	0.0	-30.81707663382074	0.0	-22.59656375418881	0.0	-6.332112937513867
COV00413	-inf	-10.47541827165223	0.0	-inf	-inf	-272.77331434996944	-inf	-inf	-111.26420258552542	0.0	0.0	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	0.0	-0.492683755021538	-731.8665753101967	0.0	0.0	-0.7828831852800465	0.0	-199.9642482553839	0.0	0.0	0.0	-1.46087439243764	0.0	-73.24335267104216	0.0	-15.384964693339118
COV00417	-1.678892232089309	0.0	0.0	-2.1864683585350115	-1.9566807280949408	-2.5679914948130036	-4.210978111100439	-5.04602169514689	-0.6848587437714593	0.0	-0.5117081331281287	-4.210978111100439	-4.210978111100439	-5.71090668801961	-4.164160801518822	-6.329286816235756	-6.818102279422111	-6.818102279422111	-4.164160801518822	-0.7454659690208144	0.0	0.0	-0.7454659690208144	0.0	0.0	-0.6848587437714593	0.0	-0.7324153833928538	0.0	0.0	0.0	0.0	0.0	-0.1870007922721179	0.0	0.0
COV00419	-224.15382489153959	0.0	0.0	-138.7563206017227	-180.9189912318382	-52.56947117174759	-240.32683424391772	-392.65118806814735	-18.30684922461555	0.0	0.0	-560.5165940858684	-638.2940267052007	-457.70372716279877	-576.3475848636007	-592.9377125922971	-700.2788519573477	-637.7294319828237	-379.3697643740702	-167.680430249213	0.0	-1.7962574831019151	-153.85578183017944	0.0	0.0	0.0	0.0	-42.5924955505617	0.0	0.0	0.0	-26.692651328335753	0.0	-32.010165873178636	0.0	-10.675013951098805
COV00422	-17.12087454778745	0.0	-64.10444978806065	-123.51474062877527	-70.08827055916657	-8.500104351295386	-29.47571791011356	-51.65545791242077	-7.008861235084975	-199.81465016991007	0.0	-46.49012794320744	-51.65545791242077	-77.79213533120522	-63.322368388408556	-56.01556219459188	-64.71373637433472	-60.614961637285354	-32.41709715250722	-23.92880275205988	0.0	0.0	-20.17180639667849	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-136.81619373522133	0.0	-1.517499137731954	0.0	0.0
COV00432	-498.1414383741495	0.0	0.0	-511.34817739029694	-633.2663746557055	-108.57936148175527	-524.352015015334	-inf	-86.70694059998141	0.0	0.0	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-323.9734193444357	0.0	0.0	-293.53622340477636	0.0	0.0	0.0	0.0	-172.39139938855462	0.0	0.0	0.0	-157.29200779580339	0.0	-20.00897226218641	0.0	-4.19341047040221
